Gene	C1	C2	C3	C4	C5	P1	P2	P3	P4	P5
A1BG	4.5	3.15	4.39	1.04	4.43	5.64	2.95	5.52	5.85	4.53
NAT2	0.07	0	0.08	0	0.06	0	0	0.09	0.08	0.04
ADA	14.62	13.85	13.5	9.3	16.27	26.15	7.08	20.45	20.74	7.9
CDH2	403.53	288.48	257.29	338.23	323.42	424.24	344.68	362.97	450.61	274.21
AKT3	61.03	48.18	54.55	52.01	56.76	96.17	103.1	93.73	130.34	61.22
LOC100009676	5.95	3.8	3.21	4.09	3.98	5.23	5.62	4.81	3.88	6.65
MED6	19.69	19.04	18.11	20.77	21.58	17.27	16.54	15.08	17.15	16.54
NR2E3	1	1.28	0.49	0.4	0.77	1.32	2.08	1.25	0.65	0.68
NAALAD2	8.56	3.15	6.12	9.82	12.18	5.86	8.52	9.54	5.84	4.55
SNORD116-1	0.04	0	0	0	0	0	0.03	0	0	0
SNORD116-2	0.02	0	0	0.01	0	0	0.02	0.02	0	0
SNORD116-4	0	0	0.1	0.01	0.03	0	0.03	0.06	0.08	0
SNORD116-6	0	0	0	0.03	0	0	0.02	0.02	0	0
SNORD116-11	0	0	0.02	0	0	0	0	0	0	0.06
SNORD116-13	0	0	0	0	0	0.04	0	0	0	0
SNORD116-14	0	0	0	0	0	0.15	0	0	0	0
SNORD116-16	0.04	0	0	0	0	0	0.03	0.01	0	0
SNORD116-21	0	0	0.04	0	0	0	0	0	0	0
SNORD116-23	0.02	0	0.06	0	0.05	0	0.02	0.04	0	0
SNORD116-24	0	0	0	0	0.01	0	0.03	0.01	0.07	0.18
SNORD116-26	0	0.03	0.06	0	0.02	0	0	0	0.11	0
SNORD116-27	0	0	0	0	0.01	0	0	0.01	0.03	0
SNORD116-28	0	0	0	0	0.01	0	0	0	0	0
DDTL	1.74	2.65	2.74	2.01	2.22	3.03	3.3	1.86	2.38	2.14
TLX1NB	0	0	0	0	0.03	0	0	0.02	0	0
NAALADL1	1.11	1.23	0.99	0.83	0.67	1.2	0.46	1.09	0.98	1.72
CDKN2B-AS1	6.81	4.41	7.09	5.03	7.78	6	10.26	8.62	5.89	5.35
GUSBP9	0.21	0	0.12	0.23	0.32	0	0.74	0.4	0.46	0.2
