	C1	C2	C3	C4	C5	P1	P2	P3	P4	P5
A1BG	2.4594316186372973	2.0531113364595623	2.430285272977781	1.0285691521967708	2.440952198029637	2.7311832415722	1.9818526532897407	2.704871964456353	2.776103988073164	2.4672794804599825
A1BG-AS1	1.875780063068488	1.4541758931858022	0.6415460290875237	0.48542682717024166	1.6735564239901446	2.130930869826449	1.7990873060740036	1.560714954474479	1.495695162624069	0.3103401206121505
A1CF	0.36737106564852945	0.45417589318580215	0.27500704749986976	0.5459683691052925	0.3785116232537299	0.056583528366367514	0.08406426478847456	0.34482849699744117	0.0	0.16349873228287956
A2LD1	2.344828496997441	2.538538163629804	2.851998837112446	2.403267722339301	3.2141248053528475	1.9335726382610239	2.5631581304028077	3.0823619695574735	2.3673710656485296	3.2387868595871163
A2M	3.674686619927999	4.520422248526446	4.45022149589718	4.342696959981934	4.544114402209474	4.726286289720674	4.125155131322289	5.1945598860226125	4.116863757690899	4.400537929583729
A2ML1	0.09761079662642233	0.27500704749986976	0.41142624572646497	0.29865831556451516	0.35614381022527536	0.08406426478847456	0.32192809488736235	0.5849625007211562	0.070389327891398	0.23878685958711648
A2MP1	0.0	0.0	0.056583528366367514	0.15055967657538138	0.070389327891398	0.0	0.11103131238874395	0.12432813500220177	0.11103131238874395	0.0
A3GALT2P	0.0	0.0	0.0	0.08406426478847456	0.070389327891398	0.15055967657538138	0.29865831556451516	0.18903382439001715	0.0	0.0
A4GALT	3.0426443374084937	2.821710215034674	1.7180875839605168	2.411426245726465	3.0874628412503395	2.7441610955704103	3.0738202332916713	3.488000770834068	3.168321115739723	1.4329594072761063
A4GNT	0.17632277264046287	0.4005379295837288	0.02856915219677092	0.15055967657538138	0.04264433740849372	0.5360529002402097	0.2016338611696504	0.18903382439001715	0.0	0.0
AAA1	0.23878685958711648	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34482849699744117	0.0
AAAS	4.051372101721025	4.018812185742817	3.894332742277694	3.993674361750585	4.362469888750209	4.229587922740652	3.7311832415722	4.325530331567558	4.260778431893426	4.724650271732967
AACS	5.317955218312439	5.526694845541976	5.413120146403495	5.57198012018773	6.028569152196771	4.94626298433245	4.66732447027863	5.4844604131288195	4.820178962415188	5.015693807105145
AACSP1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02856915219677092	0.0	0.0
AADAC	5.896271848807375	6.958958642852393	7.561784353081841	5.43028527297778	6.130724991118873	6.555049212807179	5.780047576061869	6.472812666192388	5.575312330687437	5.726013748860151
AADACL2	0.27500704749986976	0.0	0.32192809488736235	0.25096157353321874	0.43295940727610627	0.3785116232537299	0.15055967657538138	0.2630344058337938	0.0	0.0
AADACL3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22650852980867975	0.0	0.0
AADACL4	0.0	0.15055967657538138	0.0	0.0	0.0	0.0	0.0	0.02856915219677092	0.0	0.0
AADAT	1.2630344058337937	1.7782085763980877	1.3950627995175775	1.2203299548795556	1.3334237337251917	1.5260688116675876	1.6599245584023783	1.5109619192773793	1.01435529297707	1.0840642647884746
AAGAB	5.5786368624717415	5.725741156503952	5.932864335305521	5.756222712847288	5.897966431649445	5.517590657743283	5.486070743735668	5.506843098969815	5.464341532761104	5.2502036564992975
AAK1	7.671081029288617	7.349170630861103	7.510249887491491	7.776564629183024	7.787118982813345	7.944858445807539	8.115927989190793	7.804001915179304	7.466463983834974	6.553514104085101
AAMP	5.962780353804801	5.6455863859136075	5.919340082442012	5.4046306842176115	5.869377924031328	5.725741156503952	5.489928219405183	6.026136089841673	5.783456654360239	6.050501697446727
AANAT	0.6870606883398922	0.45417589318580215	0.21412480535284734	0.0	0.13750352374993502	0.46466826700344427	0.11103131238874395	0.2630344058337938	0.0	0.0
AARS	5.769771739249448	5.993674361750585	6.062208077560245	5.52387555132852	6.110196177754199	6.063287212206184	5.762614578754559	6.059182199211692	5.568944144654707	5.394719912994065
AARS2	4.114367024952	4.074676686294496	4.169925001442312	3.9155209007519587	4.395062799517578	4.452858964713811	4.106850796450224	4.650190123496775	3.997292407636508	4.004501392234941
AARSD1	0.6229303509201767	1.01435529297707	0.6229303509201767	0.9560566524124029	0.4005379295837288	0.6135316529179271	0.7990873060740036	0.45417589318580215	0.46466826700344427	0.2630344058337938
AASDH	3.6380738371807184	4.339850002884624	4.141596278383818	4.064365540263628	4.203984165855989	4.116863757690899	4.0259146987507926	3.9900472195737944	4.177120502846516	3.8349134297010385
AASDHPPT	4.252476214135217	4.804776377955828	4.491211756003092	4.898208352508718	4.545968369105292	4.648465443027314	4.548436624696042	4.3750394313469245	4.6519127446457835	4.511594541537413
AASS	7.59946657883123	7.385172157202236	7.2818836745629225	7.423746229114772	7.854868383260237	7.630157894768849	8.10789706166461	8.022145842870176	7.995314913096303	7.5861642459309095
AATF	6.029232003134638	5.60584986719498	5.870364719583405	5.724377421606217	5.416839741912829	6.078951341394822	6.222650022451478	5.633721812641012	6.031439309319335	6.027684876937159
AATK	2.669026765509631	3.0617761975866897	1.8639384504239715	2.0	2.7420062108667365	2.790772037862	2.4168397419128294	3.127633279725874	2.1210154009613658	2.6158870739160567
AATK-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.070389327891398	0.04264433740849372	0.0
ABAT	6.730639955916791	6.029011086659068	6.331812683819207	6.081723090644876	6.46532151358055	7.053002695694355	6.464178137886827	6.947198584262056	6.884231584272817	7.027795440989855
ABCA1	9.240195053979924	9.181972160555832	8.565254434147967	9.173077450109234	9.238428624806836	7.837880185659854	8.35935424725207	9.55380206142042	8.336640446408735	8.73342213484052
ABCA10	1.5360529002402097	2.1634987322828794	2.060047383669939	1.207892851641333	1.5360529002402097	2.3074285251922473	2.032100843167024	1.956056652412403	2.2078928516413328	1.875780063068488
ABCA11P	2.0214797274104517	2.0840642647884744	2.4356285940520905	2.2016338611696504	2.298658315564515	2.4905701304462013	2.0426443374084937	2.2600256559614555	2.3868109464722167	2.0874628412503395
ABCA12	1.2203299548795556	1.2868811477881617	0.903038270112912	0.6870606883398922	1.0772429989324606	0.44360665147561457	1.4541758931858022	1.9745293124838819	2.575312330687437	1.9818526532897407
ABCA13	1.1110313123887439	2.333423733725192	0.963474123974886	0.8953026213333066	1.070389327891398	0.5753123306874368	1.4222330006830475	1.6415460290875237	0.7484612330040358	0.8318772411916731
ABCA17P	0.23878685958711648	0.43295940727610627	0.36737106564852945	0.25096157353321874	0.5360529002402097	0.49569516262406876	0.7990873060740036	0.5360529002402097	0.7907720378619999	0.16349873228287956
ABCA2	5.701826258412055	5.067810783789621	4.1651079851445365	4.767125077269071	4.977737849242815	5.196134880765161	5.285772093249838	5.070818637533277	4.760220946466509	4.71918344048179
ABCA3	6.122258567811998	5.078097423026661	5.174725987706133	5.138732569720239	5.179112900678563	4.836934011321092	5.03121873061072	5.708187236020708	5.630813152299126	5.403608583543695
ABCA4	0.0	0.0	0.0	0.15055967657538138	0.17632277264046287	0.0	0.08406426478847456	0.44360665147561457	0.0	0.0
ABCA5	4.905928478173135	5.3892226163558945	5.266411766036114	5.221490455042056	5.200457271428572	5.596040632671138	5.91169158187234	5.371210343455566	5.134220939760634	5.035183996618336
ABCA6	7.3706874068072175	7.936461271650362	7.198101209324823	7.636552121483813	7.955243047936763	7.230164577884252	8.145626511674703	8.40798999332456	7.429615964201735	8.155476030433423
ABCA7	4.525442506018121	4.124328135002202	3.0738202332916713	3.327687364176047	3.9068905956085187	4.05484847699562	4.084914659767938	4.329123596291566	3.354734239970604	3.5185351389821804
