gene_name	C1	C2	C3	P1	P2	P3
MT-RNR2	9928.726949	5712.908258	5287.53464	7936.215303	4871.309309	3564.328436
MT-CO2	12533.27945	8318.374603	8464.593503	18032.54821	9861.026254	4869.294232
MT-ND3	9143.381135	4679.866378	5578.592116	8258.810661	5072.722091	3044.720939
MT-ATP6	8040.906516	5774.276279	6478.145987	9408.214746	6303.530514	2888.329674
TMSB10	6334.509941	4258.386731	3596.201803	7171.38618	3384.762118	2746.223018
MT-CO1	10994.50029	10205.94338	7228.17092	6340.194066	8075.422665	4966.58615
FTL	5655.653447	8008.736069	2731.666336	5153.87143	2090.894222	24999.32729
MT-CO3	5734.859863	5607.343416	5440.091856	8752.059688	4605.071252	3073.361471
MT-ND2	4273.014681	2947.02479	5604.087701	8327.383135	4113.469437	1902.427635
MT-ND4	7005.556736	4551.341707	4915.11673	4389.538242	4069.680927	2417.228039
CXCL8	835.2458211	476.6022846	337.2067296	2617.669239	1337.42432	1257.733374
MT-ND1	3182.918528	2514.659073	2941.522242	4624.994069	2087.579129	1353.516691
MT-RNR1	1595.708209	973.124416	1153.534273	2073.744206	1625.959176	1119.309835
MT-CYB	2390.957199	2278.497059	2874.189344	3863.441173	2413.418016	1114.22003
MT-ND6	3819.551758	2502.078576	2998.36733	2120.52761	2391.958364	1762.499028
MT-ND4L	2616.071605	2303.560557	2822.413522	1321.540091	2560.442252	1030.682373
TIMP1	3497.455639	2620.778197	1574.66632	4242.835478	2134.461553	756.2554193
FTH1	1552.732318	1434.904325	964.7318398	2098.459459	1471.196193	2632.762544
PI3	697.5933148	364.2298291	155.8412794	2424.412042	481.9657738	1729.2338
MT-TN	2750.309999	2832.818028	1861.471221	1714.741167	1506.509003	1493.308908
EEF1A1	1261.91875	1395.04134	1184.479969	1546.266736	1198.146334	1103.438638
MT-TP	1732.320837	1406.290529	630.967946	1572.478245	2275.159035	1060.054018
MT2A	1591.970689	441.8198071	564.0620297	1539.303757	1153.564593	305.3953016
GAPDH	942.2418082	1562.637385	1559.642519	1630.326201	1715.62468	490.4738649
ACTG1	1011.401006	1174.182545	1014.981214	1307.012496	1407.113955	698.5154055
PSAP	1439.615164	1617.787946	1148.934525	967.1158196	850.2309551	2413.377604
MT-ND5	1265.70367	1173.080804	1532.678226	868.1399746	1455.263098	693.6327749
ACTB	1071.443216	1165.629139	1009.154647	1109.584832	1320.25227	1476.881936
SERPINE1	667.5507002	464.901247	403.8776174	1717.257906	1357.894517	343.9510425
MT-TC	1520.09508	1747.432041	1000.135672	1273.210152	1014.227522	1094.775226
TMSB4X	647.9911852	714.5352213	482.5669299	1072.588419	659.2937628	2044.675032
SCARB1	2261.310377	1670.944049	1516.25146	926.7202521	868.3099488	85.66830656
RPS12	707.321715	662.360812	576.0778232	1039.400952	654.5313	762.9904094
HSD3B2	1377.326196	1658.830746	2055.876088	1046.295095	1359.646818	67.08033857
RPL13A	741.1565542	727.4601664	511.5379295	950.0756158	602.5219389	647.3346755
STAR	1460.208364	962.1250604	1144.489232	1183.285686	802.9123837	116.7852097
MTATP6P1	1046.329969	255.0099572	345.6036194	842.1738896	324.2694335	149.3312357
CTSL	828.2036968	624.7428165	366.3442889	728.3620593	353.2123866	1775.445183
RPL41	551.6821294	604.5972908	510.8031401	926.9285366	593.158334	551.621281
S100A9	453.7028563	252.9980872	216.3951248	1206.789654	256.1282086	1799.814753
MT-ATP8	705.3935174	629.2763807	828.2732777	572.7110434	800.6292723	285.2671734
CXCL5	338.8445295	334.1663347	308.3482664	2054.14864	859.3454864	153.563439
RPS28P7	669.0133771	54.44357219	632.7212989	632.605068	41.76998802	464.1163962
GJA1	879.3201992	941.2073542	1223.91952	821.7857703	1177.380772	84.96289271
RPS2	489.0416527	468.3861768	393.2542647	631.1428483	514.2077059	413.0259074
RPS11	521.3095994	485.0503734	382.861951	722.7252091	417.9629808	421.6496624
RPL8	421.7515121	450.3553822	403.8911758	697.6829189	506.4852884	436.0765966
S100A11	537.3966053	518.1493322	353.9638551	656.7074519	445.934043	853.5829262
G0S2	243.1058006	159.0260612	139.6623089	382.9110963	238.6307257	202.6838606
SAT1	726.7010337	286.1909085	209.9626364	394.9984668	159.6629784	373.5791062
CALR	765.5831189	789.5663759	719.8578983	470.7950291	511.3254846	464.4513918
AREG	2052.976167	397.2594806	287.8829349	641.4762741	329.1723717	44.87470301
LGALS1	422.4158791	514.7471542	512.8317431	771.2134046	611.5320025	482.9733132
EEF2	486.334701	525.7455273	448.8092639	503.7259091	529.6749496	335.2496898
DHCR24	1296.418046	1024.450211	1029.395881	493.9819789	507.0917046	40.77090255
RPS27	563.4850773	415.2836644	255.7924477	656.1492026	295.9807943	471.2685031
