GeneName	decidua_induced abortion_rep1	decidua_induced abortion_rep2	decidua_induced abortion_rep3	decidua_recurrent spontaneous abortion_rep1	decidua_recurrent spontaneous abortion_rep2	decidua_recurrent spontaneous abortion_rep3
A1BG	11.7619	6.68397	29.6663	16.2692	1.91153	8.72689
A1BG-AS1	0	1.74288	2.53416	3.82997	1.29503	1.96431
A1CF	0	0	0	0.00253921	0	0
A2LD1	6.64864	8.93312	0	10.079	0	9.00116
A2M	180.223	181.139	270.497	174.737	274.189	212.984
A2ML1	0.0514512	0.0261905	0.0658955	0.0193721	0.164336	0.0477486
A2MP1	0.964164	0.0930114	0.354159	0.308211	0.152772	0.464292
A4GALT	5.5216	14.4344	11.2813	202.012	15.5915	10.3404
A4GNT	0	0	5.96713	0.0298521	0	0.225042
AA06	0	0.0727637	0	0	0	0
AAA1	0	0	0	0	0	0
AAAS	19.1297	27.9886	26.9975	0	25.1736	25.9792
AACS	9.09862	26.5406	12.7763	13.2053	11.938	11.2667
AACSP1	0.0133709	0.0156549	0	0	0	0
AADAC	3.50882	6.18524	9.28994	1.37095	0.706748	5.61308
AADACL2	4.99298	0.80987	7.92611	10.8992	2.10315	4.43235
AADACL3	0	1.90758	0	0.00638024	0.0441241	0
AADACL4	4.35246	1.72049	2.95631	5.61457	1.57224	1.98579
AADAT	1.96927	2.81115	4.6542	4.42038	2.56159	4.10676
AAGAB	10.9211	17.1246	16.7655	17.9669	14.435	18.5129
AAK1	2.63356	1.12105	2.5375	3.09736	0	1.28994
AAMP	38.4962	68.4236	77.787	68.3834	76.8611	96.6534
AANAT	0.184807	0.216533	0.277853	0.428338	0.0376451	0.790316
AARS	11.1846	30.6738	40.2272	26.8048	38.0258	29.9424
AARS2	3.6698	5.58376	5.63784	4.27367	6.65461	5.95109
AARSD1	52.7692	41.1267	26.7226	23.4953	20.8145	37.6868
AASDH	14.7451	10.0178	7.31095	8.09564	5.23264	7.31468
AASDHPPT	3.36404	5.61913	13.446	9.67183	12.9737	12.9848
AASS	7.1944	3.46305	10.7484	7.98921	7.96081	10.5906
AATF	29.7828	18.2695	24.7139	21.4543	21.5489	20.0912
AATK	0	0	0	0	0	0
AATK-AS1	0	0	0	0	0	0
ABAT	2.46227	6.51166	8.16926	4.73292	44.0627	4.32015
ABCA1	2.11759	5.02533	2.52769	8.30372	15.2336	10.9095
ABCA10	1.00111	1.28483	2.05827	1.41652	2.29402	1.77613
ABCA11P	1.49444	1.80526	2.60275	2.80547	3.71035	2.9341
ABCA12	0.00334547	0.0663482	0.0405795	0.113708	0.225883	0.00774981
ABCA13	0.0353948	0.0497955	0.382991	0.0528393	0.16787	0.245499
ABCA17P	0.0595328	0.0463551	0.0681608	0.0522544	0.0212857	0
ABCA2	2.46844	5.29804	12.6401	12.8238	9.83618	9.49495
ABCA3	2.21367	4.39691	2.27066	2.68099	3.0781	2.94902
ABCA4	5.13884	36.9447	10.3675	40.2697	51.8439	39.3603
ABCA5	1.00111	1.28483	2.05827	1.41652	2.29402	1.77613
ABCA6	1.13628	5.23109	2.42531	3.02877	38.4065	3.74329
ABCA7	5.78908	20.4775	5.1347	6.62217	30.9459	5.32073
ABCA8	3.93408	9.23859	7.09166	12.9579	38.4065	20.4012
ABCA9	0.689304	5.01386	7.09166	3.8803	38.4065	20.4012
ABCB1	4.86923	3.27954	5.17159	3.94566	7.2546	4.86185
ABCB10	2.26504	1.77809	5.94516	3.63602	5.25955	4.56751
ABCB11	0.017298	0	0.0053958	0	0	0
ABCB4	1.08256	1.03109	0.225203	0.455468	0.47349	0.68891
ABCB5	0.0358771	0.0524427	0.0492888	0.10685	0.117425	0.0876197
ABCB6	17.3082	8.12068	8.53461	3.4131	4.68079	7.93924
ABCB7	12.2044	4.85598	5.82398	7.54065	6.01519	7.78424
ABCB8	52.5514	15.1436	20.1926	16.5801	18.6558	12.6778
ABCB9	0.364878	1.33547	0.443889	0.26523	0.665485	0.394103
ABCC1	14.1533	7.03549	8.50306	14.1221	14.176	13.7126
ABCC10	9.91291	5.30049	8.40351	9.75587	7.41021	5.44115
ABCC11	0.00602823	0.0289121	0.0753358	0.076019	0.0348338	0.0216045
ABCC12	0	0	0	0	0	0
ABCC13	0.0100535	0	0.00094572	0.0396172	0	0
ABCC2	0.0108759	0.0571381	0.178037	0.0524285	0.126652	0.107431
ABCC3	36.1772	18.6289	21.4925	21.3577	23.9821	29.4099
ABCC4	1.04813	1.83021	1.58586	2.78938	1.49152	2.21649
ABCC5	11.7162	10.2628	11.3839	10.1431	13.3485	20.5092
ABCC6	0.144853	0.233532	0.183035	0.328398	0.0452363	0.433691
ABCC6P1	0	0.0122242	0.00491835	0	0	0
ABCC6P2	0	0.185764	0.310269	0.0242398	0.0673463	0.0654691
ABCC8	1.08772	2.54465	3.1453	0.179063	0.616007	3.42357
ABCC9	1.56286	1.6763	2.42296	1.2975	1.62586	2.33589
ABCD1	0	12.8368	0	6.98927	0	0
ABCD2	0.0102624	0.0419291	0.0191921	0.040461	0.0576676	0.111824
ABCD3	4.40459	3.64536	11.9251	6.89713	9.3622	7.35288
ABCD4	30.3997	28.9406	16.6088	33.2397	17.9081	21.1543
ABCE1	4.13523	6.85794	16.2752	9.7819	7.87558	9.20508
ABCF1	0	0	0	0	0	0
ABCF2	6.69981	10.2965	18.5935	25.557	14.5703	17.4109
ABCF3	12.434	37.2905	24.6073	19.0237	22.014	22.192
ABCG1	5.45813	7.52596	6.52197	7.81366	20.816	8.74019
ABCG2	1.36417	1.1941	1.90388	1.93615	2.07039	1.30077
ABCG4	0.0805002	0.143809	0.094309	0.0611781	0.113651	0.0721639
ABCG5	0	0	0	0.0641098	0	1.20895
ABCG8	0.010702	0.0625899	0.0201505	0	0	0.0313552
ABHD1	0	0	0	0	0	0
ABHD10	8.82073	6.18672	9.04503	6.10431	6.68765	7.14189
ABHD11	35.3414	21.201	15.6406	13.8792	15.7705	16.0717
ABHD11-AS1	16.0127	0.465566	1.2117	1.23227	3.24213	0
ABHD12	23.2394	37.9769	18.3372	23.054	20.7735	20.7294
ABHD12B	0.165276	0.024252	0.236269	0.336069	0	0.21765
ABHD13	1.58214	1.18301	2.43197	2.38744	2.54744	2.79537
ABHD14A	34.8713	40.9315	23.5306	25.6368	16.6864	23.0604
ABHD14A-ACY1	34.8713	40.9315	23.5306	25.6368	16.6864	23.0604
ABHD14B	58.5216	39.6201	67.1343	48.7754	30.1369	44.107
ABHD15	3.66368	5.19815	9.45189	6.45997	7.74544	7.09706
ABHD16A	0	0	0	0	0	0
ABHD16B	3.33637	91.4189	84.7299	94.3613	106.732	91.9768
ABHD2	3.74282	3.91713	8.03027	6.58486	11.5377	9.6747
ABHD3	3.628	4.09396	7.08259	5.15291	6.9933	6.67753
ABHD4	7.51756	14.9713	21.7862	20.5791	21.9353	20.2886
ABHD5	9.03032	3.97351	11.6059	34.6608	12.9576	15.9425
ABHD6	1.07062	1.85991	2.75677	2.52122	1.73945	2.8296
ABHD8	4.91328	10.4507	3.53068	3.52897	4.0401	4.28938
ABI1	8.9146	14.0074	17.4503	19.4817	23.8984	22.6262
ABI2	2.79528	3.57567	5.00897	5.56488	5.70183	5.58338
ABI3	23.051	15.9396	10.1343	16.0316	13.0876	19.9935
ABI3BP	39.7741	28.703	29.3118	269.177	25.8088	40.2155
ABL1	7.13083	12.9097	29.624	30.7462	51.0103	34.8508
ABL2	0.983721	1.4252	1.28365	2.7567	1.97895	1.68042
ABLIM1	10.8154	70.6115	14.7836	20.2392	24.6499	20.0353
ABLIM2	3.83229	7.23767	0.653881	3.93663	2.05679	4.48552
ABLIM3	28.6221	26.1333	13.7165	35.3291	25.1588	24.7229
ABO	8.02635	8.22977	4.21073	1.92991	14.7389	3.79524
ABP1	6.80828	83.1736	59.9878	41.3899	273.535	17.9471
ABR	9.14106	16.2679	15.1945	19.4127	26.217	25.1207
ABRA	0	0	0.0680378	0.0182154	0	0.0120977
ABT1	5.15339	10.508	15.6786	7.43054	7.39033	17.5246
ABTB1	37.4109	29.2843	19.6205	15.0514	16.3021	25.284
ABTB2	5.3454	4.53182	14.9828	38.6371	31.5208	39.8994
ACAA1	67.3251	58.0525	45.3846	41.8483	42.8691	49.6894
ACAA2	16.1573	32.833	41.1742	32.1929	29.7916	33.6782
ACACA	2.22305	5.10941	6.79368	5.27514	5.22815	9.59134
ACACB	6.56488	4.45007	1.79815	5.01953	3.15487	5.99055
ACAD10	21.4272	6.38257	10.469	5.43981	7.043	7.55934
ACAD11	15.8415	8.76366	12.1514	13.2222	17.4927	12.3311
ACAD8	5.26035	7.84863	11.9929	10.3949	13.1495	12.7255
ACAD9	12.396	13.0116	15.5762	12.2584	16.8426	13.3124
ACADL	0.115199	0.188701	0.460868	0.457771	0.848465	0.44625
ACADM	3.0755	4.70983	8.42726	6.57802	7.19004	8.22644
ACADS	13.6285	15.8599	18.1265	12.133	22.5491	16.8225
ACADSB	1.69644	4.60666	10.4231	2.80244	6.57171	3.78083
ACADVL	141.57	270.128	178.77	178.57	192.476	151.215
ACAN	1.4414	0.989442	1.28878	0.451026	0.986763	0.395109
ACAP1	30.3626	15.7018	15.5612	26.8291	24.8504	28.3318
ACAP2	2.04528	2.91165	4.04901	5.28522	6.15044	6.28177
ACAP3	20.0946	19.6314	17.1599	12.9069	20.6482	21.3252
ACAT1	21.5794	18.1603	36.5292	46.4377	34.2286	45.1755
ACAT2	0	0	0	0	0	0
ACBD3	6.24023	9.33483	12.525	13.0385	17.4878	12.2526
ACBD4	8.48587	7.44853	6.76104	6.3477	6.81785	11.6352
ACBD5	3.27203	2.87703	7.26486	4.51061	8.73981	5.07341
ACBD6	13.4704	19.6695	17.1095	15.9817	16.9502	21.3798
ACBD7	0.0818306	0.166955	0.136965	0.021959	0.0689015	0.155852
ACCN1	0.0244108	0.13631	0.105685	0.0373795	0.052483	0.0804881
ACCN2	0.294911	1.18879	1.11973	0.220232	0.616529	0.438948
ACCN3	3.06551	15.1436	20.1926	1.90209	18.6558	12.6778
ACCN4	0	0.0933393	0.365415	0	0.0564599	0
ACCN5	0	0	0	0	0	0
ACCS	27.7599	32.9363	64.6047	67.6952	7.85613	53.3824
ACCSL	0	0	0	0.0144654	0	0.0577724
ACD	10.7303	20.5265	6.34971	5.66921	7.19609	7.31546
ACE	19.0494	31.3068	17.9337	25.6679	16.0525	26.3663
ACE2	1.4917	6.71145	8.5328	1.44477	2.61698	1.51717
ACER1	0.59423	0.664855	0.286365	0.536787	0.346156	0.377125
ACER2	0.207931	1.62885	0.40009	2.34574	2.86327	0.854354
ACER3	2.47604	2.25308	2.31504	3.56317	2.77493	2.85067
ACHE	0.989534	0.809106	1.79352	1.44665	2.00918	1.18452
ACIN1	45.8182	110.098	88.8208	91.9835	84.3098	95.8429
ACLY	12.5204	39.1544	49.019	22.6641	33.5805	30.8627
ACMSD	1.01705	5.66101	9.47236	0	4.33182	2.67288
ACN9	1.34959	2.82843	4.91604	2.93268	5.8325	4.86387
ACO1	6.20888	6.9973	12.2861	11.7893	12.1545	11.3985
ACO2	14.6918	62.3713	83.1357	45.6446	82.5849	41.9692
ACOT1	2.79708	6.78312	8.01261	11.3134	3.83407	16.2251
ACOT11	1.04157	2.55453	4.80741	2.43854	4.54907	3.67751
ACOT12	0	0	0.0279033	0	0.0240075	0
ACOT13	4.26156	4.9432	0	5.89682	0	0
ACOT2	4.6537	11.3069	29.051	11.3134	17.5282	16.2251
ACOT4	2.43184	4.12735	29.051	2.70737	17.5282	4.68289
ACOT6	0.0656328	0	0.317523	0	0	0.0797503
ACOT7	15.1905	22.2631	10.3967	12.0185	10.1004	15.131
ACOT8	21.6031	39.14	19.5551	18.2957	18.7407	22.9477
ACOT9	37.506	29.48	22.2743	31.6039	22.4288	30.8893
ACOX1	2.63395	3.29722	5.62721	4.72866	5.35855	3.72749
ACOX2	1.13892	1.61048	2.43124	1.62752	1.01768	1.79946
ACOX3	9.42837	6.52972	6.73358	0	7.66214	0
ACOXL	1.44998	1.63021	0.993039	0.958332	0.777906	5.44721
ACP1	21.129	31.4152	43.0148	29.3114	28.3677	34.831
ACP2	57.0731	30.8015	24.4748	29.7524	22.1622	24.8448
ACP5	34.7897	31.923	13.5797	31.4255	12.2401	24.202
ACP6	4.52	7.37967	4.59229	3.01049	4.02401	3.50053
ACPL2	3.42772	9.17461	7.91949	3.81582	3.54354	4.75903
ACPP	4.78868	4.63457	8.54295	3.79151	9.07411	5.77849
ACPT	0	0.0810719	0	0	0	0
ACR	0.180393	0.145686	0.150782	0.171588	22.9059	0.215511
ACRBP	0.842682	0.913917	1.55387	0.976956	1.34928	0.949372
ACRC	1.27391	1.10591	1.24812	1.17815	0.589829	1.98437
ACRV1	0	0	0	0	0.0477654	0.126077
ACSBG1	1.01123	0.861105	0	0	0.542954	0
ACSBG2	0	0.509138	0.44557	0	0.481585	0.300613
ACSF2	9.65777	13.1467	7.58798	6.08204	4.56414	9.07155
ACSF3	5.05395	11.5359	6.34139	12.2549	7.13722	5.0268
ACSL1	8.97909	14.6337	32.444	38.4656	37.3897	18.5727
ACSL3	3.1797	3.89161	6.52896	5.28915	7.40369	12.8168
ACSL4	34.4087	81.1939	156.104	44.8582	121.019	45.9639
ACSL5	26.6765	33.2692	61.9521	70.1248	119.317	58.5666
ACSL6	0.0314244	0.0185286	0.0228352	0.0478696	0.0370603	0.0378806
ACSM1	0.0855139	1.04999	1.10475	1.26201	1.49848	1.60264
ACSM2A	0	0	0.00897257	0.00840755	0	0
ACSM2B	0	0.0139941	0.0338266	0	0	0.0561722
ACSM3	1.87687	18.3901	32.1034	11.7933	13.0021	5.3472
ACSM4	0	0	0	0	0	0
ACSM5	1.34742	0.306059	2.20599	2.88794	0.955285	2.99443
