	decidua_induced abortion_rep1	decidua_induced abortion_rep2	decidua_induced abortion_rep3	decidua_recurrent spontaneous abortion_rep1	decidua_recurrent spontaneous abortion_rep2	decidua_recurrent spontaneous abortion_rep3
A1BG	3.6737712293598666	2.9418518863985836	4.938582205618114	4.110129346094351	1.5417774841782783	3.2819786026646582
A1BG-AS1	0.0	1.4556915061847704	1.8213673556737173	2.272014228194456	1.1985130122745287	1.5676963289111177
A1CF	0.0	0.0	0.0	0.0036586625817721873	0.0	0.0
A2LD1	2.935203245886063	3.312246940466354	0.0	3.4697557632646827	0.0	3.322095437806404
A2M	7.501622257080495	7.508896058176028	8.08479244633462	7.457274160840908	8.104278992799399	7.741359117318821
A2ML1	0.07238189319688615	0.037298574896177925	0.09206600374264338	0.02768077263641673	0.21950744620489668	0.0672925937430189
A2MP1	0.9739153940664357	0.12830844825382212	0.43739714441071476	0.38759525039519205	0.2051071990294191	0.5502032755795578
A4GALT	2.7052259566163643	3.9480774953104745	3.6183913758142467	7.665421197130083	4.052372417874043	3.5033996229839817
A4GNT	0.0	0.0	2.800564482856328	0.042437162731327215	0.0	0.29283121220988717
AA06	0.0	0.10133232550564447	0.0	0.0	0.0	0.0
AAA1	0.0	0.0	0.0	0.0	0.0	0.0
AAAS	4.331253766315149	4.857413755232903	4.8072261042495015	0.0	4.710040465775094	4.753775664332018
AACS	3.336086253687986	4.783488085282364	3.784116559967604	3.828357394837345	3.6935427127520186	3.6166752808101266
AACSP1	0.01916230607841259	0.022410285345268725	0.0	0.0	0.0	0.0
AADAC	2.172749916209447	2.8450363461087935	3.3631626648787365	1.24546523873192	0.7712500613014482	2.7253223543046974
AADACL2	2.5832735592998057	0.8558860746063416	3.1580315856035095	3.572792677258429	1.6337334355149649	2.441576433742716
AADACL3	0.0	1.539818886974665	0.0	0.00917550068648107	0.06229319448853577	0.0
AADACL4	2.420202109103589	1.443866525336957	1.9841554741102854	2.7256473728257524	1.363025258006538	1.5781126997615997
AADAT	1.5701082856284914	1.9302263911459974	2.4993229149881593	2.4383939963943217	1.8325214470932	2.352408258982601
AAGAB	3.5754454591543365	4.179877250876496	4.151006387967946	4.245411995034034	3.9481335778404	4.286356301573646
AAK1	1.8613837293544684	1.08477863025169	1.82273014794452	2.0346946556685293	0.0	1.195309797956949
AAMP	5.30364195058533	6.117354273760111	6.299885696869088	6.116518633738135	6.2828308217114595	6.6095983702103505
AANAT	0.24465206940200243	0.2827754557392416	0.35372188294467644	0.5143374171983174	0.05331309107496172	0.8402142530744157
AARS	3.6069869854653573	4.9852180570523865	5.365524576892216	4.797262054758046	5.286356301573646	4.951513196451756
AARS2	2.22336076295701	2.7189117456743834	2.730713854787029	2.3988072973574157	2.936328874733665	2.7972392244970603
AARSD1	5.748708101657547	5.396663001528032	4.7929906637334945	4.614433055659459	4.4472155016392625	5.273769495287543
AASDH	3.976831015208951	3.461764274699427	3.0550133966049486	3.1851751543518882	2.6398433844616234	3.055660740806979
AASDHPPT	2.125664325203492	2.726641605677762	3.852598170379068	3.4157356848779705	3.804642167523535	3.8057877165190286
AASS	3.034638317999009	2.1580299693385863	3.5543923862102873	3.168194332740577	3.163629148595972	3.534883345840836
AATF	4.944052559899509	4.268247232329038	4.684476533684152	4.488919842510536	4.494985151283642	4.3985692755949835
AATK	0.0	0.0	0.0	0.0	0.0	0.0
AATK-AS1	0.0	0.0	0.0	0.0	0.0	0.0
ABAT	1.7917182355284327	2.9091317638150573	3.196805306621976	2.519270147097131	5.493861852311399	2.4114669226447694
ABCA1	1.6404312090299205	2.5910402581601657	1.8187237879042837	3.2178076788521897	4.02091106558169	3.574040940275577
ABCA10	1.0008004736368004	1.19208682730488	1.6127157809517485	1.272930935084866	1.7198493145704072	1.4730751277014635
ABCA11P	1.3187159679057687	1.4881344903803637	1.849098544555775	1.9280746468417507	2.2358342624928524	1.9760336296221617
ABCA12	0.004818437495960558	0.09267860543992945	0.05738719080542794	0.15537102605988498	0.29382129275254504	0.011137511184940259
ABCA13	0.0501809777705749	0.07010831849139264	0.467791767986877	0.07428524758329808	0.22387969134687208	0.3167238632522781
ABCA17P	0.08342824997047321	0.06537253998806865	0.09512884543395107	0.07348354231846285	0.03038651001136035	0.0
ABCA2	1.7942869278424471	2.6549029203215886	3.7697823161537913	3.789082345026307	3.4377843583747865	3.3916233882516957
ABCA3	1.6842217915498476	2.432133628826891	1.7095817924965944	1.8800938304147192	2.0278971524352456	1.9814946744145572
ABCA4	2.617966068567297	5.2458264833555965	3.506843098969815	5.3670110459513465	5.723665039576375	5.334864992991289
ABCA5	1.0008004736368004	1.19208682730488	1.6127157809517485	1.272930935084866	1.7198493145704072	1.4730751277014635
ABCA6	1.095100751958677	2.639484554909811	1.7762345618612063	2.0103394452653847	5.3003617130036496	2.245888076043812
ABCA7	2.7632160856092525	4.424754167004552	2.6169927947284854	2.9302017854554983	4.997558879604984	2.6600911891873125
ABCA8	2.30278110734205	3.355945144202774	3.016435701183992	3.8030099957841923	5.3003617130036496	4.419619788033018
ABCA9	0.7564289727974549	2.588291283000596	3.016435701183992	2.2869698353310453	5.3003617130036496	4.419619788033018
ABCB1	2.553171244724145	2.0974557322843084	2.6256422218869067	2.3061630619732383	3.0451983069619004	2.551356051100652
ABCB10	1.7071006663346908	1.4740933381423595	2.796007930858593	2.2128867902094793	2.646058945320219	2.47703224429056
ABCB11	0.024742353872633533	0.0	0.007763567358740415	0.0	0.0	0.0
ABCB4	1.058358061235716	1.022254168573947	0.29302080459915236	0.5414831206363493	0.5592372694884731	0.7560924506892122
ABCB5	0.05085284690643917	0.07374168823116854	0.06941181136071933	0.14645972174097133	0.1601780029887513	0.12117418817346177
ABCB6	4.194418052121673	3.189141389747039	3.2531739283048884	2.141792438877352	2.5060915723057184	3.160152180979186
ABCB7	3.7229468426861363	2.5499106263763798	2.7706134183527005	3.094345872666739	2.8104821784489804	3.1349174717019177
ABCB8	5.742852386887272	4.012890428336391	4.405488689534773	4.135871371801772	4.296883178188675	3.7737642940928313
ABCB9	0.4487720012102914	1.2237129132908764	0.5299598382744005	0.3393996692655291	0.7359423606030391	0.4793371552520216
ABCC1	3.9215601047702124	3.006386001375885	3.2483921382843506	3.918586594843988	3.9237196787493884	3.878980316031374
ABCC10	3.447963952073592	2.6554640338633644	3.233199364704684	3.427052318292906	3.072141824520381	2.6873182894549217
ABCC11	0.008670788950177772	0.04111973800374256	0.10478724711246695	0.10570355276792594	0.049399081570561325	0.03083678500192911
ABCC12	0.0	0.0	0.0	0.0	0.0	0.0
ABCC13	0.014431710937985943	0.0	0.0013637407971907654	0.05605240786218063	0.0	0.0
ABCC2	0.015605895911613493	0.08016385654169195	0.236384852307783	0.07372222265096483	0.17204196501855878	0.14721681249683516
ABCC3	5.216346212691023	4.294907421587995	4.491372117815172	4.482699876571845	4.642822850145699	4.926469167101476
