	HC02A	HC04A	HC06A	RSA03A	RSA04A	RSA-1A
A1BG	2.25321483283842	3.52412246562331	3.39101608485939	2.91399874908842	2.98710739767197	2.7068368987323
A1BG-AS1	7.06395873804247	7.2437838123896	7.11491594397167	6.44154042980543	7.18339278755413	7.0265338161315
A1CF	0.957439223542008	0.0	0.962773549420808	0.0	0.0	0.0
A2M	13.256778885411	14.1367939348956	13.284455192549	12.9004150696158	13.2877775545098	14.0925063576518
A2M-AS1	3.50594940643674	5.51235308173518	3.73743724184233	3.36997364725383	4.00112287269343	5.1407416285834
A2ML1	3.50594940643674	1.85842555506275	1.53511066935104	3.36997364725383	2.76001272995983	0.0
A2ML1-AS2	0.957439223542008	1.85842555506275	0.0	0.951485877153058	1.10755695246591	0.0
A2MP1	3.91913988698411	5.23900236104298	3.92939331294606	3.99474390254203	6.8639439672404	6.72858500425193
A3GALT2	1.9356785405249	2.17040248629421	0.962773549420808	2.91399874908842	1.10755695246591	2.11013994903199
A4GALT	9.51917843470185	8.33600233461353	9.95530220404887	9.51796240356353	9.40699197829709	8.35404783913346
A4GNT	3.24439091492229	3.9074635584699	3.73743724184233	4.07687351319777	3.18326912977685	4.22438268000409
AAAS	9.69832041280044	9.93872258065658	10.21579353598	9.89290561815937	10.236750723555	9.67235078003477
AACS	9.35042464458581	9.49646805689244	9.94700330796405	9.39727994268783	9.08988182921595	9.08141705244986
AACSP1	0.957439223542008	0.0	0.0	0.0	1.10755695246591	0.0
AADAC	7.74052535118855	10.3883615226778	8.79817026287471	6.36187561047283	8.0460075900793	8.05137624103388
AADACL2	6.10462858804956	8.47025396600228	6.21095580631368	5.11349554974642	6.66488082810173	8.61634719826306
AADACL2-AS1	1.52793113248798	1.85842555506275	0.962773549420808	1.51990756854094	2.15847061327983	1.07435283090471
AADACL3	7.87394414243513	0.0	8.19159899676779	6.45695879170051	7.05145593499319	0.0
AADACL4	7.10401900246692	6.90749936109446	6.21095580631368	6.77252113281477	6.64836740572219	7.64414400599033
AADACP1	0.957439223542008	1.45982229981518	0.0	2.50317491358933	1.10755695246591	0.0
AADAT	7.61445240849165	7.63542184219474	7.50992683918446	7.03129604445246	7.41579461484334	7.18840902413226
AAGAB	8.89675416416144	8.78851505089133	8.96910181963818	8.94039662999596	8.84378719407224	9.10768019954883
AAK1	9.91367156639318	9.62837495668315	9.8164262525853	9.7640305079261	10.0083316482184	9.77424314568474
AAMDC	6.77233311485264	6.86479475648279	7.29135253800656	6.72236626874222	7.26147616733502	7.3535813752686
AAMP	10.150868342075	10.5394086503704	10.3809705652715	10.2467671881032	10.3002286039227	10.1293430036538
AANAT	3.50594940643674	3.9074635584699	3.39101608485939	3.71591795684791	2.15847061327983	3.59189150147646
AAR2	9.20143946233864	9.31802553184882	9.47541107263301	9.34851300729754	9.09598375809998	9.1047855708199
AARD	1.9356785405249	1.85842555506275	3.63094587863681	0.0	2.49036932429533	1.68327177306147
AARS1	10.1304052935021	10.358852512926	10.4054054255252	10.1022688196754	10.174681619463	10.2972243528305
AARS2	8.0585574941332	8.42687685061957	8.39645438550498	8.18238267089594	7.87203148560287	8.12750877841679
AARSD1	5.67012034461706	5.76547418341911	6.17350721162468	5.48837293152572	5.78857633895381	5.81477758034403
AARSD1P1	4.00627653814455	3.28595314889765	1.53511066935104	3.71591795684791	4.36678909768645	3.83484537966523
AASDH	7.71488379896221	7.72768054134212	7.4088094019397	7.70909438618369	7.53736373195716	7.91921754245408
AASDHPPT	8.87954698586857	8.7654840598911	8.91339816119132	8.87015412537217	8.9620883319232	8.93591211471645
AASS	9.16165857991523	9.89429397326169	8.81650776795693	9.26338245229179	9.26527740840489	10.3964299800017
AATBC	3.24439091492229	3.15029184304949	4.25035624510711	3.49473524316921	4.36678909768645	3.94252427921394
AATF	9.08115761773538	9.30610470221289	9.43444226597346	9.35057821707302	9.19879041866395	9.36399773416163
AATK	6.88008115662959	7.06669849030451	7.02315830211397	7.40963932714885	6.76017854654326	7.0265338161315
ABALON	3.50594940643674	3.40994705039772	2.26189579936271	1.92660299877737	2.76001272995983	3.12770602381717
ABAT	9.64161006986066	8.84727822882198	8.83761103336713	8.1352424895608	8.9620883319232	9.26634651538665
ABCA1	11.2213897623359	9.88096203703685	10.6371341829448	11.4160323823328	11.7355487252488	10.1406927632966
ABCA10	4.1661916707944	3.72848801317765	4.32056165924876	4.54922071404515	4.19551035006333	5.27039536616577
ABCA11P	4.31013656141799	4.06666642830611	4.3875086404419	4.42928081485425	4.59072710366537	3.71847667276106
ABCA12	3.72728667806547	2.17040248629421	1.53511066935104	4.15457841588732	2.49036932429533	1.07435283090471
ABCA13	4.50225300128573	4.90146014399266	3.63094587863681	4.36535176510608	3.18326912977685	5.18526682167969
ABCA17P	1.9356785405249	3.52412246562331	2.52237382456651	3.71591795684791	3.893134376079	4.94747847114041
ABCA2	10.0326057571009	10.3732064502696	9.46962913471431	9.5216330545574	9.35705516906966	9.63270859818511
ABCA3	8.57201650172685	8.32422972764221	7.4641361576645	8.63961492903586	9.4599969307622	9.09606667387256
ABCA4	10.4624659574509	9.09138680908487	7.41684431805625	8.73439746869283	6.93374337799841	8.63251635033515
ABCA5	8.20848893897758	7.43836241238186	7.22883185992959	7.86169561412245	7.67416107545498	7.98995068502992
ABCA6	7.79660495601142	6.90749936109446	6.95857510194283	7.18734043076928	6.5271571830484	7.14398220874641
ABCA7	9.5914129752772	9.91667929570398	9.85980518424694	9.49013073063851	9.92166384214675	9.35428101452025
ABCA8	9.68352445173162	9.99673364212829	9.4599407771226	9.03332248428793	9.63363220442253	10.1005717082057
ABCA9	8.07376728790112	5.83349312666377	6.41727438215417	7.10165063701186	5.00807987968803	6.89866988575127
ABCA9-AS1	0.0	0.0	0.962773549420808	0.0	0.0	1.07435283090471
ABCB1	8.280176655811	8.68798807473093	7.07485344137059	7.80859966060106	5.05894525221346	8.37341938249982
ABCB10	8.50627233401124	8.01811591263551	8.2690952135251	8.28529357500542	8.18987753470328	8.11029294013712
ABCB10P1	1.52793113248798	0.0	0.0	0.0	0.0	1.07435283090471
ABCB10P3	0.957439223542008	1.45982229981518	0.0	1.92660299877737	0.0	1.68327177306147
ABCB10P4	1.52793113248798	0.907177105483059	0.962773549420808	0.951485877153058	0.0	1.07435283090471
