	GSM3119483	GSM3119484	GSM3119485	GSM3119486	GSM3119487	GSM3119488	GSM5393469	GSM5393470	GSM5393471	GSM5393472	GSM5393473	GSM5393474
A1BG	3.6737712293598666	2.941851886398584	4.938582205618114	4.110129346094351	1.5417774841782783	3.2819786026646582	2.25321483283842	3.52412246562331	3.39101608485939	2.91399874908842	2.98710739767197	2.7068368987323
A1BG-AS1	0.0	1.4556915061847704	1.821367355673717	2.272014228194456	1.1985130122745289	1.5676963289111177	7.06395873804247	7.2437838123896	7.11491594397167	6.44154042980543	7.18339278755413	7.0265338161315
A1CF	0.0	0.0	0.0	0.0036586625817721	0.0	0.0	0.957439223542008	0.0	0.962773549420808	0.0	0.0	0.0
A2M	7.501622257080495	7.508896058176028	8.08479244633462	7.457274160840908	8.104278992799399	7.741359117318821	13.256778885411	14.1367939348956	13.284455192549	12.9004150696158	13.2877775545098	14.0925063576518
A2ML1	0.0723818931968861	0.0372985748961779	0.0920660037426433	0.0276807726364167	0.2195074462048966	0.0672925937430189	3.50594940643674	1.85842555506275	1.53511066935104	3.36997364725383	2.76001272995983	0.0
A2MP1	0.9739153940664356	0.1283084482538221	0.4373971444107147	0.387595250395192	0.2051071990294191	0.5502032755795578	3.91913988698411	5.23900236104298	3.92939331294606	3.99474390254203	6.8639439672404	6.72858500425193
A4GALT	2.7052259566163643	3.9480774953104745	3.618391375814247	7.665421197130083	4.052372417874043	3.5033996229839817	9.51917843470185	8.33600233461353	9.95530220404887	9.51796240356353	9.40699197829709	8.35404783913346
A4GNT	0.0	0.0	2.800564482856328	0.0424371627313272	0.0	0.2928312122098871	3.24439091492229	3.9074635584699	3.73743724184233	4.07687351319777	3.18326912977685	4.22438268000409
AAAS	4.331253766315149	4.857413755232903	4.8072261042495015	0.0	4.710040465775094	4.753775664332018	9.69832041280044	9.93872258065658	10.21579353598	9.89290561815937	10.236750723555	9.67235078003477
AACS	3.336086253687986	4.783488085282364	3.784116559967604	3.828357394837345	3.6935427127520186	3.616675280810127	9.35042464458581	9.49646805689244	9.94700330796405	9.39727994268783	9.08988182921595	9.08141705244986
AACSP1	0.0191623060784125	0.0224102853452687	0.0	0.0	0.0	0.0	0.957439223542008	0.0	0.0	0.0	1.10755695246591	0.0
AADAC	2.172749916209447	2.845036346108793	3.3631626648787365	1.24546523873192	0.7712500613014482	2.7253223543046974	7.74052535118855	10.3883615226778	8.79817026287471	6.36187561047283	8.0460075900793	8.05137624103388
AADACL2	2.5832735592998057	0.8558860746063416	3.158031585603509	3.572792677258429	1.6337334355149649	2.441576433742716	6.10462858804956	8.47025396600228	6.21095580631368	5.11349554974642	6.66488082810173	8.61634719826306
AADACL3	0.0	1.539818886974665	0.0	0.009175500686481	0.0622931944885357	0.0	7.87394414243513	0.0	8.19159899676779	6.45695879170051	7.05145593499319	0.0
AADACL4	2.420202109103589	1.443866525336957	1.9841554741102851	2.7256473728257524	1.363025258006538	1.5781126997615995	7.10401900246692	6.90749936109446	6.21095580631368	6.77252113281477	6.64836740572219	7.64414400599033
AADAT	1.5701082856284914	1.9302263911459971	2.4993229149881597	2.4383939963943217	1.8325214470932	2.352408258982601	7.61445240849165	7.63542184219474	7.50992683918446	7.03129604445246	7.41579461484334	7.18840902413226
AAGAB	3.5754454591543365	4.179877250876496	4.151006387967946	4.245411995034034	3.9481335778404	4.286356301573646	8.89675416416144	8.78851505089133	8.96910181963818	8.94039662999596	8.84378719407224	9.10768019954883
AAK1	1.8613837293544684	1.08477863025169	1.82273014794452	2.0346946556685293	0.0	1.195309797956949	9.91367156639318	9.62837495668315	9.8164262525853	9.7640305079261	10.0083316482184	9.77424314568474
AAMP	5.30364195058533	6.117354273760111	6.299885696869088	6.116518633738135	6.28283082171146	6.609598370210351	10.150868342075	10.5394086503704	10.3809705652715	10.2467671881032	10.3002286039227	10.1293430036538
AANAT	0.2446520694020024	0.2827754557392416	0.3537218829446764	0.5143374171983174	0.0533130910749617	0.8402142530744157	3.50594940643674	3.9074635584699	3.39101608485939	3.71591795684791	2.15847061327983	3.59189150147646
AARS2	2.22336076295701	2.7189117456743834	2.730713854787029	2.398807297357416	2.936328874733665	2.7972392244970603	8.0585574941332	8.42687685061957	8.39645438550498	8.18238267089594	7.87203148560287	8.12750877841679
AARSD1	5.748708101657547	5.396663001528032	4.792990663733495	4.614433055659459	4.447215501639263	5.273769495287543	5.67012034461706	5.76547418341911	6.17350721162468	5.48837293152572	5.78857633895381	5.81477758034403
AASDH	3.976831015208951	3.461764274699427	3.0550133966049486	3.185175154351888	2.639843384461624	3.055660740806979	7.71488379896221	7.72768054134212	7.4088094019397	7.70909438618369	7.53736373195716	7.91921754245408
AASDHPPT	2.125664325203492	2.726641605677762	3.852598170379068	3.4157356848779705	3.804642167523535	3.8057877165190286	8.87954698586857	8.7654840598911	8.91339816119132	8.87015412537217	8.9620883319232	8.93591211471645
AASS	3.034638317999009	2.1580299693385863	3.5543923862102877	3.168194332740577	3.163629148595972	3.534883345840836	9.16165857991523	9.89429397326169	8.81650776795693	9.26338245229179	9.26527740840489	10.3964299800017
AATF	4.944052559899509	4.268247232329038	4.684476533684152	4.488919842510536	4.494985151283642	4.398569275594984	9.08115761773538	9.30610470221289	9.43444226597346	9.35057821707302	9.19879041866395	9.36399773416163
AATK	0.0	0.0	0.0	0.0	0.0	0.0	6.88008115662959	7.06669849030451	7.02315830211397	7.40963932714885	6.76017854654326	7.0265338161315
ABAT	1.791718235528433	2.9091317638150573	3.196805306621976	2.519270147097131	5.493861852311399	2.4114669226447694	9.64161006986066	8.84727822882198	8.83761103336713	8.1352424895608	8.9620883319232	9.26634651538665
ABCA1	1.6404312090299205	2.5910402581601657	1.818723787904284	3.2178076788521897	4.02091106558169	3.574040940275577	11.2213897623359	9.88096203703685	10.6371341829448	11.4160323823328	11.7355487252488	10.1406927632966
ABCA10	1.0008004736368004	1.19208682730488	1.6127157809517485	1.272930935084866	1.7198493145704072	1.4730751277014635	4.1661916707944	3.72848801317765	4.32056165924876	4.54922071404515	4.19551035006333	5.27039536616577
ABCA11P	1.3187159679057687	1.4881344903803635	1.849098544555775	1.928074646841751	2.2358342624928524	1.9760336296221617	4.31013656141799	4.06666642830611	4.3875086404419	4.42928081485425	4.59072710366537	3.71847667276106
ABCA12	0.0048184374959605	0.0926786054399294	0.0573871908054279	0.1553710260598849	0.293821292752545	0.0111375111849402	3.72728667806547	2.17040248629421	1.53511066935104	4.15457841588732	2.49036932429533	1.07435283090471
ABCA13	0.0501809777705749	0.0701083184913926	0.467791767986877	0.074285247583298	0.223879691346872	0.3167238632522781	4.50225300128573	4.90146014399266	3.63094587863681	4.36535176510608	3.18326912977685	5.18526682167969
ABCA17P	0.0834282499704732	0.0653725399880686	0.095128845433951	0.0734835423184628	0.0303865100113603	0.0	1.9356785405249	3.52412246562331	2.52237382456651	3.71591795684791	3.893134376079	4.94747847114041
ABCA2	1.7942869278424471	2.6549029203215886	3.7697823161537913	3.789082345026307	3.4377843583747865	3.391623388251696	10.0326057571009	10.3732064502696	9.46962913471431	9.5216330545574	9.35705516906966	9.63270859818511
