Gene	Labels	Color
A2M	15	midnightblue
A2ML1	2	blue
A4GALT	18	lightgreen
A4GNT	1	turquoise
AAAS	4	yellow
AACS	33	darkolivegreen
AADAC	3	brown
AADAT	3	brown
AAGAB	24	darkgrey
AAK1	6	red
AAMP	4	yellow
AANAT	7	black
AARS	6	red
AARS2	1	turquoise
AARSD1	25	orange
AASDH	19	lightyellow
AASDHPPT	6	red
AASS	14	cyan
AATF	11	greenyellow
AATK	15	midnightblue
ABAT	38	plum1
ABCA1	9	magenta
ABCA10	22	darkgreen
ABCA12	5	green
ABCA13	2	blue
ABCA2	14	cyan
ABCA3	0	grey
ABCA5	6	red
ABCA6	15	midnightblue
ABCA7	7	black
ABCA8	5	green
ABCA9	26	darkorange
ABCB1	3	brown
ABCB10	2	blue
ABCB11	22	darkgreen
ABCB5	1	turquoise
ABCB6	22	darkgreen
ABCB7	4	yellow
ABCB8	4	yellow
ABCB9	22	darkgreen
ABCC1	1	turquoise
ABCC10	12	tan
ABCC2	3	brown
ABCC3	3	brown
ABCC4	9	magenta
ABCC5	1	turquoise
ABCC6	15	midnightblue
ABCC9	1	turquoise
ABCD1	36	yellowgreen
ABCD2	6	red
ABCD3	7	black
ABCD4	24	darkgrey
ABCE1	3	brown
ABCF1	1	turquoise
ABCF2	20	royalblue
ABCG1	15	midnightblue
ABCG2	6	red
ABCG4	35	sienna3
ABHD10	10	purple
ABHD11	16	lightcyan
ABHD12	17	grey60
ABHD14A	2	blue
ABHD14B	15	midnightblue
ABHD15	28	skyblue
ABHD16A	11	greenyellow
ABHD16B	11	greenyellow
ABHD2	9	magenta
ABHD3	12	tan
ABHD4	16	lightcyan
ABHD5	24	darkgrey
ABHD6	9	magenta
ABHD8	3	brown
ABI1	1	turquoise
ABI2	35	sienna3
ABI3	2	blue
ABI3BP	35	sienna3
ABL1	1	turquoise
ABL2	3	brown
ABLIM1	5	green
ABLIM3	3	brown
ABO	3	brown
ABR	7	black
ABRA	10	purple
ABT1	13	salmon
ABTB1	2	blue
ABTB2	3	brown
ACAA1	1	turquoise
ACAA2	13	salmon
ACACB	14	cyan
ACAD10	14	cyan
ACAD11	1	turquoise
ACADM	4	yellow
ACADS	4	yellow
ACADSB	8	pink
ACAN	2	blue
ACAP1	2	blue
ACAP2	2	blue
ACAP3	1	turquoise
ACAT2	33	darkolivegreen
ACBD4	14	cyan
ACBD5	8	pink
ACBD7	1	turquoise
ACCS	14	cyan
ACCSL	26	darkorange
ACD	4	yellow
ACE	7	black
ACE2	43	ivory
ACER2	9	magenta
ACER3	25	orange
ACHE	1	turquoise
ACIN1	1	turquoise
ACLY	8	pink
ACO1	9	magenta
ACO2	10	purple
