Gene	Labels	Color
A1BG	11	greenyellow
A2M	6	red
A2ML1	17	grey60
A4GALT	18	lightgreen
A4GNT	16	lightcyan
AAAS	18	lightgreen
AACS	5	green
AADAC	10	purple
AADACL2	2	blue
AADACL3	2	blue
AADACL4	2	blue
AADAT	21	darkred
AAK1	11	greenyellow
AANAT	4	yellow
AARS2	7	black
AARSD1	13	salmon
AASDH	1	turquoise
AASS	2	blue
AATK	8	pink
ABAT	11	greenyellow
ABCA1	2	blue
ABCA10	6	red
ABCA12	25	orange
ABCA13	3	brown
ABCA2	1	turquoise
ABCA3	40	mediumpurple3
ABCA4	3	brown
ABCA5	1	turquoise
ABCA6	11	greenyellow
ABCA7	28	skyblue
ABCA8	1	turquoise
ABCA9	1	turquoise
ABCB1	3	brown
ABCB10	1	turquoise
ABCB4	6	red
ABCB6	15	midnightblue
ABCB7	7	black
ABCB8	2	blue
ABCB9	2	blue
ABCC1	5	green
ABCC10	3	brown
ABCC3	27	white
ABCC4	3	brown
ABCC6	9	magenta
ABCC8	3	brown
ABCC9	6	red
ABCD1	45	darkorange2
ABCD3	1	turquoise
ABCD4	1	turquoise
ABCF1	8	pink
ABCF2	1	turquoise
ABCG1	11	greenyellow
ABCG5	4	yellow
ABHD1	8	pink
ABHD10	2	blue
ABHD11	1	turquoise
ABHD12	46	brown4
ABHD12B	3	brown
ABHD14A	13	salmon
ABHD14A-ACY1	6	red
ABHD14B	2	blue
ABHD16A	8	pink
ABHD2	6	red
ABHD3	1	turquoise
ABHD4	6	red
ABHD5	5	green
ABHD6	1	turquoise
ABHD8	3	brown
ABI1	5	green
ABI3	2	blue
ABI3BP	5	green
ABL1	6	red
ABL2	5	green
ABLIM1	19	lightyellow
ABLIM2	9	magenta
ABLIM3	16	lightcyan
ABO	3	brown
ABRA	24	darkgrey
ABT1	21	darkred
ABTB1	1	turquoise
ABTB2	6	red
ACAA1	1	turquoise
ACACA	4	yellow
ACACB	9	magenta
ACAD10	1	turquoise
ACAD11	2	blue
ACAD8	1	turquoise
ACADL	3	brown
ACADM	1	turquoise
ACADSB	6	red
ACADVL	2	blue
ACAN	2	blue
ACAP1	4	yellow
ACAP2	1	turquoise
ACAT1	6	red
ACAT2	8	pink
ACBD5	1	turquoise
ACCS	11	greenyellow
ACD	1	turquoise
ACE	37	skyblue3
ACE2	34	darkmagenta
ACER1	40	mediumpurple3
ACER2	2	blue
ACHE	37	skyblue3
ACLY	7	black
ACMSD	3	brown
ACO1	1	turquoise
ACO2	6	red
ACOT1	6	red
ACOT11	1	turquoise
ACOT13	1	turquoise
ACOT2	1	turquoise
ACOT4	29	saddlebrown
ACOT6	9	magenta
ACOT7	6	red
ACOX1	2	blue
ACOX2	39	orangered4
ACOX3	30	steelblue
ACOXL	4	yellow
ACP2	1	turquoise
ACP5	29	saddlebrown
ACR	11	greenyellow
ACRBP	13	salmon
ACRV1	4	yellow
ACSBG1	1	turquoise
ACSBG2	4	yellow
ACSF2	6	red
ACSF3	45	darkorange2
ACSL1	1	turquoise
ACSL3	1	turquoise
ACSL4	6	red
ACSL5	6	red
ACSM1	3	brown
ACSM2A	42	lightcyan1
ACSM3	3	brown
ACSM4	8	pink
ACSM5	2	blue
ACSS1	1	turquoise
ACSS3	6	red
ACTA2	4	yellow
ACTB	2	blue
ACTC1	47	bisque4
ACTG2	2	blue
ACTL10	5	green
ACTL6A	1	turquoise
ACTL7B	4	yellow
ACTL9	3	brown
ACTN1	2	blue
ACTN4	1	turquoise
ACTR10	1	turquoise
ACTR1B	7	black
ACTR2	1	turquoise
ACTR3	1	turquoise
ACTR3B	10	purple
ACTR3C	3	brown
ACTR5	10	purple
ACTR6	1	turquoise
ACVR1	1	turquoise
ACVR1B	1	turquoise
ACVR1C	33	darkolivegreen
ACVR2A	1	turquoise
ACVR2B	2	blue
ACVRL1	16	lightcyan
ACY3	2	blue
ACYP1	16	lightcyan
ADA	23	darkturquoise
ADAD2	3	brown
ADAL	1	turquoise
ADAM10	1	turquoise
ADAM11	33	darkolivegreen
ADAM12	2	blue
ADAM15	1	turquoise
ADAM17	1	turquoise
ADAM19	2	blue
ADAM20	12	tan
ADAM22	4	yellow
ADAM23	4	yellow
ADAM28	2	blue
ADAM32	16	lightcyan
ADAM33	23	darkturquoise
ADAM8	2	blue
ADAM9	10	purple
ADAMDEC1	2	blue
ADAMTS1	21	darkred
ADAMTS10	4	yellow
ADAMTS12	2	blue
ADAMTS13	1	turquoise
ADAMTS14	2	blue
ADAMTS15	47	bisque4
ADAMTS16	4	yellow
ADAMTS17	44	floralwhite
ADAMTS18	4	yellow
ADAMTS19	5	green
ADAMTS2	11	greenyellow
ADAMTS20	2	blue
ADAMTS3	26	darkorange
ADAMTS4	15	midnightblue
ADAMTS5	5	green
ADAMTS6	6	red
ADAMTS7	6	red
ADAMTS8	47	bisque4
ADAMTS9	35	sienna3
ADAMTSL1	3	brown
ADAMTSL2	2	blue
ADAMTSL3	3	brown
ADAMTSL4	9	magenta
ADAMTSL5	43	ivory
ADAP1	2	blue
ADAP2	7	black
ADAR	1	turquoise
ADARB1	5	green
ADAT1	12	tan
ADAT2	1	turquoise
ADAT3	2	blue
ADCK1	11	greenyellow
ADCK2	2	blue
ADCK5	10	purple
ADCY1	2	blue
ADCY10	2	blue
ADCY2	36	yellowgreen
ADCY3	19	lightyellow
ADCY4	2	blue
ADCY5	6	red
ADCY6	13	salmon
ADCY9	5	green
ADCYAP1	26	darkorange
ADD1	29	saddlebrown
ADD3	6	red
ADH1B	47	bisque4
ADH1C	6	red
ADH5	2	blue
ADHFE1	1	turquoise
ADI1	13	salmon
ADIPOR1	1	turquoise
ADIPOR2	1	turquoise
ADK	10	purple
ADM	4	yellow
ADM2	26	darkorange
ADNP	1	turquoise
ADORA1	5	green
ADORA2A	9	magenta
ADORA2B	36	yellowgreen
ADORA3	16	lightcyan
ADPRHL1	12	tan
ADRA1B	14	cyan
ADRA1D	14	cyan
ADRA2A	3	brown
ADRA2B	14	cyan
ADRA2C	12	tan
ADRB1	32	violet
ADRB2	49	plum2
ADRB3	37	skyblue3
ADTRP	2	blue
AEBP1	5	green
AEBP2	1	turquoise
AFAP1	2	blue
AFAP1L1	2	blue
AFAP1L2	4	yellow
AFF1	1	turquoise
AFF3	6	red
AFF4	5	green
AFMID	1	turquoise
AFP	3	brown
AFTPH	1	turquoise
AGA	5	green
AGAP1	1	turquoise
AGAP2	16	lightcyan
AGAP4	7	black
AGAP5	2	blue
AGAP6	7	black
AGBL2	32	violet
AGBL3	2	blue
AGBL5	16	lightcyan
AGER	8	pink
AGFG2	6	red
AGL	1	turquoise
AGMAT	8	pink
AGMO	2	blue
AGPAT1	8	pink
AGPAT2	6	red
AGPAT4	2	blue
AGPAT5	1	turquoise
AGPS	1	turquoise
AGR2	3	brown
AGR3	14	cyan
AGRN	1	turquoise
AGRP	32	violet
AGT	31	paleturquoise
AGTPBP1	2	blue
AGTR1	4	yellow
AGTRAP	1	turquoise
AGXT	2	blue
AGXT2	5	green
AHCTF1	1	turquoise
AHCY	13	salmon
AHCYL1	2	blue
AHCYL2	1	turquoise
AHDC1	6	red
AHI1	4	yellow
AHNAK	1	turquoise
AHNAK2	4	yellow
AHR	6	red
AHRR	32	violet
AHSA1	11	greenyellow
AHSG	36	yellowgreen
AHSP	25	orange
AIDA	1	turquoise
AIF1	8	pink
AIF1L	2	blue
AIFM2	28	skyblue
AIFM3	11	greenyellow
AIM2	4	yellow
AIMP1	12	tan
AIMP2	7	black
AIP	22	darkgreen
AIRE	40	mediumpurple3
AJAP1	2	blue
AJUBA	19	lightyellow
AK1	35	sienna3
AK2	35	sienna3
AK3	1	turquoise
AK4	2	blue
AK5	3	brown
AK7	3	brown
AK8	5	green
AKAP1	4	yellow
AKAP12	2	blue
AKAP13	6	red
AKAP14	11	greenyellow
AKAP17A	7	black
AKAP3	32	violet
AKAP6	9	magenta
AKAP7	1	turquoise
AKAP8	21	darkred
AKAP9	4	yellow
AKIRIN1	1	turquoise
AKNA	4	yellow
AKNAD1	49	plum2
AKR1A1	22	darkgreen
AKR1B1	4	yellow
AKR1B10	43	ivory
AKR1C1	30	steelblue
AKR1C2	2	blue
AKR1C3	4	yellow
AKR1C4	20	royalblue
AKR1D1	4	yellow
AKR1E2	12	tan
AKR7A2	45	darkorange2
