Term	Category	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
cholesterol biosynthetic process	GOTERM_BP_DIRECT	8	9.523809523809524	1.5833944862029107e-10	FDPS, EBP, MVK, APOA1, MVD, DHCR7, HSD17B7, LSS	80	38	19453	51.1921052631579	7.141109059638495e-08	7.141109132775129e-08	7.125275187913099e-08
isoprenoid biosynthetic process	GOTERM_BP_DIRECT	3	3.571428571428571	0.0010467748177368	FDPS, MVK, MVD	80	12	19453	60.790625	0.3764602133915324	0.2111600850875284	0.2106918809077334
protein glycosylation	GOTERM_BP_DIRECT	5	5.952380952380952	0.0014046125393848	GMPPB, B3GALNT2, DPM3, TUSC3, MPI	80	119	19453	10.216911764705882	0.4694948268221952	0.2111600850875284	0.2106918809077334
cellular oxidant detoxification	GOTERM_BP_DIRECT	4	4.761904761904762	0.003662361205676	PRDX3, PRDX4, DUOX2, PTGES	80	76	19453	12.798026315789476	0.8088614871333786	0.4129312259399753	0.4120156356385563
hydrogen peroxide catabolic process	GOTERM_BP_DIRECT	3	3.571428571428571	0.0057482172223531	PRDX3, PRDX4, DUOX2	80	28	19453	26.053125	0.9257208967717848	0.5184891934562498	0.5173395500117791
isopentenyl diphosphate biosynthetic process, mevalonate pathway	GOTERM_BP_DIRECT	2	2.380952380952381	0.0121344221834182	MVK, MVD	80	3	19453	162.10833333333335	0.9959380781072296	0.6620201324801822	0.6605522386165897
lipid metabolic process	GOTERM_BP_DIRECT	5	5.952380952380952	0.012545924231499	HMGCL, FADS2, PLCXD3, ACAT2, FADS1	80	221	19453	5.5014140271493215	0.9966339161291696	0.6620201324801822	0.6605522386165897
response to oxidative stress	GOTERM_BP_DIRECT	4	4.761904761904762	0.0143689351892753	PRDX3, CYB5B, PRDX4, DUOX2	80	125	19453	7.781200000000001	0.9985371940102216	0.6620201324801822	0.6605522386165897
cholesterol biosynthetic process via lathosterol	GOTERM_BP_DIRECT	2	2.380952380952381	0.0161468324995166	EBP, DHCR7	80	4	19453	121.58125	0.9993520224458982	0.6620201324801822	0.6605522386165897
GDP-mannose biosynthetic process	GOTERM_BP_DIRECT	2	2.380952380952381	0.0161468324995166	GMPPB, MPI	80	4	19453	121.58125	0.9993520224458982	0.6620201324801822	0.6605522386165897
cholesterol biosynthetic process via desmosterol	GOTERM_BP_DIRECT	2	2.380952380952381	0.0161468324995166	EBP, DHCR7	80	4	19453	121.58125	0.9993520224458982	0.6620201324801822	0.6605522386165897
ketone body biosynthetic process	GOTERM_BP_DIRECT	2	2.380952380952381	0.024123441660349	HMGCL, AACS	80	6	19453	81.05416666666667	0.9999835148261116	0.8368978606782627	0.8350422113197742
leucine catabolic process	GOTERM_BP_DIRECT	2	2.380952380952381	0.024123441660349	MCCC2, HMGCL	80	6	19453	81.05416666666667	0.9999835148261116	0.8368978606782627	0.8350422113197742
small molecule metabolic process	GOTERM_BP_DIRECT	2	2.380952380952381	0.0359687786730251	MCCC2, PCCB	80	9	19453	54.03611111111111	0.9999999331524064	0.9921573584699228	0.98995745301877
carbohydrate metabolic process	GOTERM_BP_DIRECT	4	4.761904761904762	0.0374457724080565	DPM3, MDH1, HYAL3, MPI	80	181	19453	5.3737569060773485	0.9999999665213596	0.9921573584699228	0.98995745301877
alpha-linolenic acid metabolic process	GOTERM_BP_DIRECT	2	2.380952380952381	0.0398855893334843	FADS2, FADS1	80	10	19453	48.6325	0.9999999893421972	0.9921573584699228	0.98995745301877
fructose metabolic process	GOTERM_BP_DIRECT	2	2.380952380952381	0.0398855893334843	PFKFB4, ALDOC	80	10	19453	48.6325	0.9999999893421972	0.9921573584699228	0.98995745301877
peroxisome fission	GOTERM_BP_DIRECT	2	2.380952380952381	0.0437866868213548	PEX19, PEX11B	80	11	19453	44.21136363636364	0.9999999983009408	0.9921573584699228	0.98995745301877
hexose transport	GOTERM_BP_DIRECT	2	2.380952380952381	0.0476721333684975	SLC50A1, SLC2A6	80	12	19453	40.52708333333334	0.9999999997291628	0.9921573584699228	0.98995745301877
cellular response to UV-B	GOTERM_BP_DIRECT	2	2.380952380952381	0.0476721333684975	MAPK11, HYAL3	80	12	19453	40.52708333333334	0.9999999997291628	0.9921573584699228	0.98995745301877
cholesterol metabolic process	GOTERM_BP_DIRECT	3	3.571428571428571	0.0478024542195084	EBP, CYP11A1, APOA1	80	86	19453	8.482412790697675	0.9999999997453738	0.9921573584699228	0.98995745301877
spermatogenesis	GOTERM_BP_DIRECT	6	7.142857142857142	0.048397919925362	TDRKH, PRDX4, TBP, TSPAN8, CETN2, SPAG4	80	488	19453	2.9897028688524587	0.9999999998079664	0.9921573584699228	0.98995745301877
