Term	Category	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
protein dephosphorylation	GOTERM_BP_DIRECT	10	2.4752475247524752	0.0006460354577888851	PPP3CA, PPP1CC, PPM1L, PTPRA, FBXW11, MTMR4, PTPN14, MTM1, PPM1G, CDC14B	383	121	19453	4.197613447554107	0.725768035694494	1.0	1.0
phosphorylation	GOTERM_BP_DIRECT	14	3.4653465346534658	0.0051661841191215	CDKL2, PDXK, CDK19, SGMS1, CHKA, AGK, PANK1, FN3KRP, CASK, BAZ1B, PAPSS2, PIK3C2B, GK5, CDK15	383	291	19453	2.443559168438714	0.9999686253126652	1.0	1.0
negative regulation of transforming growth factor beta receptor signaling pathway	GOTERM_BP_DIRECT	8	1.98019801980198	0.0072863152946534	TGFBR3, ZNF451, SPRED1, VEPH1, HTRA3, WFIKKN2, MTMR4, DNM2	383	114	19453	3.564289313361733	0.9999995618069484	1.0	1.0
response to hypoxia	GOTERM_BP_DIRECT	10	2.4752475247524752	0.008143536167149	TGFBR3, PRKAA1, VCAM1, CLDN3, ITPR1, ITPR2, PLOD1, MAP3K7, HK2, HSP90B1	383	176	19453	2.8858592451934486	0.9999999222762932	1.0	1.0
positive regulation of substrate adhesion-dependent cell spreading	GOTERM_BP_DIRECT	5	1.2376237623762376	0.0124814943650713	DOCK5, P4HB, CALR, UNC13D, DNM2	383	46	19453	5.520774208196163	0.999999999987989	1.0	1.0
regulation of autophagy	GOTERM_BP_DIRECT	6	1.4851485148514851	0.0159993869119554	ACER2, USP13, USP33, ITPR1, MTMR4, DCAF12	383	75	19453	4.063289817232375	0.9999999999999906	1.0	1.0
endosome to lysosome transport	GOTERM_BP_DIRECT	5	1.2376237623762376	0.0165750053273017	PXK, SNX27, KIF13A, HOOK3, MTM1	383	50	19453	5.0791122715404695	0.9999999999999972	1.0	1.0
protein folding in endoplasmic reticulum	GOTERM_BP_DIRECT	3	0.7425742574257426	0.0188145303291697	P4HB, CALR, HSP90B1	383	11	19453	13.852124376928552	1.0	1.0	1.0
negative regulation of cell adhesion	GOTERM_BP_DIRECT	5	1.2376237623762376	0.0214212440119029	EPHA4, PODXL, PLXNB3, PLXNC1, CBLL1	383	54	19453	4.7028817329078425	1.0	1.0	1.0
glucose 6-phosphate metabolic process	GOTERM_BP_DIRECT	3	0.7425742574257426	0.0222876957821874	GPI, HOOK3, HK2	383	12	19453	12.697780678851174	1.0	1.0	1.0
fatty acid catabolic process	GOTERM_BP_DIRECT	3	0.7425742574257426	0.0222876957821874	ACOX1, NUDT19, LPIN1	383	12	19453	12.697780678851174	1.0	1.0	1.0
protein N-linked glycosylation	GOTERM_BP_DIRECT	5	1.2376237623762376	0.0227542769057534	B4GALT1, RPN2, MGAT4A, MGAT5, RPN1	383	55	19453	4.617374792309517	1.0	1.0	1.0
establishment or maintenance of cell polarity	GOTERM_BP_DIRECT	5	1.2376237623762376	0.0241367407111557	PARD6B, RHOU, CDC42BPB, SPINT2, RHOBTB2	383	56	19453	4.534921671018277	1.0	1.0	1.0
viral protein processing	GOTERM_BP_DIRECT	4	0.99009900990099	0.0244624645706772	GSK3B, MAN2A1, MGAT4A, MGAT5	383	32	19453	6.348890339425587	1.0	1.0	1.0
carbohydrate metabolic process	GOTERM_BP_DIRECT	9	2.2277227722772275	0.0268732441752717	GK5, GSK3B, GPI, B4GALT1, GLB1, MAN2A1, EDEM1, SLC2A4, LCT	383	181	19453	2.525525438887527	1.0	1.0	1.0
cholesterol metabolic process	GOTERM_BP_DIRECT	6	1.4851485148514851	0.0271685011329434	ABCA1, LIPE, FECH, HDLBP, VLDLR, CYP7B1	383	86	19453	3.543566701074746	1.0	1.0	1.0
in utero embryonic development	GOTERM_BP_DIRECT	10	2.4752475247524752	0.0280246006257142	TMEM100, GPI, DNAAF2, MAN2A1, GNA12, CELF4, IGF2, SLC30A1, APBA2, GLI2	383	217	19453	2.340604733428788	1.0	1.0	1.0
actin cytoskeleton reorganization	GOTERM_BP_DIRECT	5	1.2376237623762376	0.0301674782860667	CLDN3, CXADR, AUTS2, S1PR1, CDC42BPB	383	60	19453	4.232593559617058	1.0	1.0	1.0
lipid metabolic process	GOTERM_BP_DIRECT	10	2.4752475247524752	0.0309933142766548	ACSS3, B4GALT1, CHKA, ACOX1, LIPH, TECR, GDE1, ACOT13, FAH, HMGCLL1	383	221	19453	2.2982408468508915	1.0	1.0	1.0
positive regulation of cell adhesion	GOTERM_BP_DIRECT	5	1.2376237623762376	0.0318017106958871	EPB41L4B, PPP3CA, EPHA4, BAG4, P4HB	383	61	19453	4.163206779951205	1.0	1.0	1.0
positive regulation of cell cycle	GOTERM_BP_DIRECT	4	0.99009900990099	0.0381953059824562	SRPK2, C6ORF89, CALR, MAP3K7	383	38	19453	5.3464339700426	1.0	1.0	1.0
protein stabilization	GOTERM_BP_DIRECT	10	2.4752475247524752	0.0384650043796696	USP13, EPHA4, BAG4, DNAAF2, FBXW7, USP33, TBL1X, CALR, SUGT1, TAF9B	383	230	19453	2.208309683278465	1.0	1.0	1.0
striated muscle cell differentiation	GOTERM_BP_DIRECT	3	0.7425742574257426	0.038491030762014	CASP7, IGF2, MAPK14	383	16	19453	9.52333550913838	1.0	1.0	1.0
fatty acid oxidation	GOTERM_BP_DIRECT	3	0.7425742574257426	0.038491030762014	PRKAA1, ACOX1, MAPK14	383	16	19453	9.52333550913838	1.0	1.0	1.0
