Term	Category	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
maintenance of location in cell	GOTERM_BP_DIRECT	2	2.941176470588235	0.0137068351070241	GM2A, HEXB	68	4	19453	143.03676470588235	0.9998600821682904	1.0	1.0
negative regulation of endopeptidase activity	GOTERM_BP_DIRECT	3	4.411764705882353	0.0149022848011479	SERPINB1, SPOCK3, SERPINB6	68	54	19453	15.892973856209151	0.9999358498794324	1.0	1.0
paraxial mesoderm formation	GOTERM_BP_DIRECT	2	2.941176470588235	0.0204906813255138	FOXC1, WNT5A	68	6	19453	95.3578431372549	0.9999983460901444	1.0	1.0
ganglioside catabolic process	GOTERM_BP_DIRECT	2	2.941176470588235	0.0238653470509829	GM2A, HEXB	68	7	19453	81.73529411764706	0.9999998202136317	1.0	1.0
single fertilization	GOTERM_BP_DIRECT	3	4.411764705882353	0.027595979572168	GNPDA1, HEXB, CD9	68	75	19453	11.442941176470589	0.9999999846729868	1.0	1.0
transferrin transport	GOTERM_BP_DIRECT	2	2.941176470588235	0.0339207752661403	STEAP3, REP15	68	10	19453	57.21470588235294	0.9999999997692224	1.0	1.0
glycosaminoglycan metabolic process	GOTERM_BP_DIRECT	2	2.941176470588235	0.0339207752661403	FOXC1, HEXB	68	10	19453	57.21470588235294	0.9999999997692224	1.0	1.0
response to endoplasmic reticulum stress	GOTERM_BP_DIRECT	3	4.411764705882353	0.0370006258556811	BCAP31, SRPX, PDIA6	68	88	19453	9.752506684491978	0.9999999999703844	1.0	1.0
cell differentiation	GOTERM_BP_DIRECT	7	10.294117647058822	0.0379677810267528	FOXC1, SFMBT1, NR1H4, TXNDC2, ZFPM2, PDLIM7, FSTL3	68	723	19453	2.769729883654706	0.9999999999844787	1.0	1.0
oligosaccharide catabolic process	GOTERM_BP_DIRECT	2	2.941176470588235	0.0405676345758089	GM2A, HEXB	68	12	19453	47.67892156862745	0.9999999999972758	1.0	1.0
axon extension involved in axon guidance	GOTERM_BP_DIRECT	2	2.941176470588235	0.0405676345758089	NELL2, WNT5A	68	12	19453	47.67892156862745	0.9999999999972758	1.0	1.0
