Term	Category	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
cell-cell adhesion	GOTERM_BP_DIRECT	21	3.230769230769231	2.8182959485682764e-06	DSP, VEZT, NEGR1, JUP, LRP5, PRICKLE1, ARVCF, NFASC, CDH3, DLG3, CDHR1, ITGA11, BCL2, CNTN1, NRCAM, FAT3, PKP4, FAT4, CTNNA2, CD24, ITGA9	602	195	19453	3.479964221824688	0.0086847064121085	0.0087226259608188	0.0087085344810759
cell adhesion	GOTERM_BP_DIRECT	38	5.846153846153846	1.619179681508525e-05	SEMA5A, PCDHGB7, TNFAIP6, CLDN1, PCDH17, ARVCF, CDH4, CDH3, HES1, NRCAM, IGFBP7, PGM5, CTNNA2, FARP2, NLGN4X, PCDHGA5, JUP, SIGLEC11, PARVA, S100B, PARD3B, PTPRD, PCDHGA10, NFASC, BCAM, PPFIBP1, COL6A2, CDHR1, COL4A3, ITGA11, ADAM12, CNTN1, MXRA8, CLDN18, PCDHB4, CNTN4, CD24, ITGA9	602	566	19453	2.169488043388939	0.0488790255104918	0.0250568055713444	0.0250163260793067
extracellular matrix organization	GOTERM_BP_DIRECT	19	2.923076923076923	2.6024193032974808e-05	CSGALNACT1, VIT, ECM2, COL11A1, NDNF, TNFRSF11B, ADAMTS12, COLQ, ADAMTS15, EGFLAM, MMP16, COL4A4, ADAMTS18, COL4A3, ITGA11, IMPG1, MATN3, ITGA9, MATN2	602	190	19453	3.231395348837209	0.0773874688430288	0.026848292479019	0.026804918823964
nervous system development	GOTERM_BP_DIRECT	30	4.615384615384616	6.259339510932002e-05	SEMA5A, PCDHGB7, SEMA3C, ZC4H2, CRMP1, GRIK1, MSI1, NDRG2, ATXN3, MOBP, MDK, ATOH8, DPF3, HES1, NDP, SOX4, GPM6B, PCDHGA5, CRIM1, NRG1, GFRA1, PCDHGA10, NRN1L, DOK4, NRG4, PCDHB4, CNTN4, MDGA2, FGF12, NGEF	602	425	19453	2.280984952120383	0.1761218375567191	0.0484316394658363	0.0483533977219497
osteoblast differentiation	GOTERM_BP_DIRECT	14	2.1538461538461537	0.000168484490788019	BMPR2, IGFBP5, TPM4, MSX2, IGFBP3, BMP3, WNT11, FGF9, LOX, SMO, HAND2, ITGA11, RDH14, ASF1A	602	128	19453	3.5343386627906974	0.4063726021834479	0.1042918997977837	0.1041234153069957
axonogenesis	GOTERM_BP_DIRECT	12	1.8461538461538465	0.00024033537696484857	NTNG1, PTPRZ1, SLITRK4, STMN1, BCL2, SLITRK6, NRCAM, PRICKLE1, CTNNA2, CNTN4, PAK3, S100B	602	99	19453	3.916842847075405	0.5247562227444631	0.123972998617701	0.123772719136897
homophilic cell adhesion via plasma membrane adhesion molecules	GOTERM_BP_DIRECT	16	2.4615384615384617	0.0003392887894646553	PCDHGB7, PCDHGA5, CLSTN2, CADM1, PCDH17, PCDHGA10, IGSF11, CDH4, CDH3, CDHR1, DCHS1, PCDHB4, FAT3, CNTN4, FAT4, CDH18	602	174	19453	2.9713980219192733	0.6501591656993481	0.1470808374682544	0.1468432270684673
axon guidance	GOTERM_BP_DIRECT	17	2.6153846153846154	0.0003801766396594623	SEMA5A, NRP1, SEMA3C, LRTM2, CRMP1, UNC5D, GDF7, TTC8, NFASC, CDH4, EFNA3, RPS6KA5, CNTN1, NRCAM, FYN, PRKCQ, CNTN4	602	195	19453	2.8171138938580804	0.691758102647769	0.1470808374682544	0.1468432270684673
response to ischemia	GOTERM_BP_DIRECT	9	1.3846153846153846	0.0009398083114614368	NQO1, GPR151, CASR, KCNJ8, MYB, BCL2, PPIF, NDNF, CPEB3	602	66	19453	4.406448202959831	0.9455283226647484	0.2988102111643723	0.2983274806132183
negative regulation of osteoblast differentiation	GOTERM_BP_DIRECT	9	1.3846153846153846	0.0010389018426274	TWSG1, CDK6, IGFBP5, CITED1, TNFAIP6, HAND2, CRIM1, CHRD, LRP5	602	67	19453	4.340680319333565	0.9599278060845884	0.2988102111643723	0.2983274806132183
