Term	Category	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
angiogenesis	GOTERM_BP_DIRECT	7	10.0	0.0002068954338573846	ID1, FLNA, AMOTL2, EPHB4, RHOB, ACTG1, FGF10	66	255	19453	8.090968508615568	0.1479871191553095	0.1529973029741447	0.1527996320400696
integrin-mediated signaling pathway	GOTERM_BP_DIRECT	5	7.142857142857142	0.0005200249347754358	TEC, ITGB5, ITGA3, FERMT2	66	111	19453	13.276685776685778	0.3314231904249203	0.1529973029741447	0.1527996320400696
cytoplasmic sequestering of protein	GOTERM_BP_DIRECT	3	4.285714285714286	0.0005930128022253672	PTPRM, FLNA, DBN1	66	11	19453	80.38429752066115	0.3681656709567166	0.1529973029741447	0.1527996320400696
positive regulation of fibroblast proliferation	GOTERM_BP_DIRECT	4	5.714285714285714	0.0008697855399776204	PDGFC, PDGFB, CDC6, FGF10	66	56	19453	21.053030303030305	0.4900828175109524	0.1683035019856695	0.1680860556006751
tissue regeneration	GOTERM_BP_DIRECT	3	4.285714285714286	0.0031385378268098	TEC, FGF10	66	25	19453	35.36909090909091	0.9122311289889214	0.4724925296515296	0.4718820741868635
positive regulation of peptidyl-tyrosine phosphorylation	GOTERM_BP_DIRECT	4	5.714285714285714	0.0040773696214215	TEC, PDGFB, FGF10	66	96	19453	12.280934343434344	0.957673227875416	0.4724925296515296	0.4718820741868635
transforming growth factor beta receptor signaling pathway	GOTERM_BP_DIRECT	4	5.714285714285714	0.0049639371919881	TGFB2, ITGB5, ID1, FERMT2	66	103	19453	11.446307737569876	0.978755452441028	0.4724925296515296	0.4718820741868635
regulation of cell migration	GOTERM_BP_DIRECT	4	5.714285714285714	0.0065763340236903	FLNA, AMOTL2, RHOB, FGF10	66	114	19453	10.341839447102606	0.9939451357309368	0.4724925296515296	0.4718820741868635
positive regulation of epithelial cell migration	GOTERM_BP_DIRECT	3	4.285714285714286	0.0075226774813192	TGFB2, ITGA3, FGF10	66	39	19453	22.67249417249417	0.9971044014023194	0.4724925296515296	0.4718820741868635
actin cytoskeleton organization	GOTERM_BP_DIRECT	5	7.142857142857142	0.0075617184406775	SPECC1, CSRP1, FLNA, AMOTL2, FGF10	66	232	19453	6.352207419017764	0.9971912360343128	0.4724925296515296	0.4718820741868635
positive regulation of gene expression	GOTERM_BP_DIRECT	7	10.0	0.0076567244848831	ITGA3, ID1, PDGFB, SLC38A2, NR0B2, ACTG1, FGF10	66	519	19453	3.975331348163718	0.997391837353784	0.4724925296515296	0.4718820741868635
sarcomere organization	GOTERM_BP_DIRECT	3	4.285714285714286	0.0079016580594612	CSRP1, WDR1, ACTG1	66	40	19453	22.105681818181814	0.9978454517167644	0.4724925296515296	0.4718820741868635
centromere complex assembly	GOTERM_BP_DIRECT	2	2.857142857142857	0.0099912154116747	CENPV, CENPO	66	3	19453	196.4949494949495	0.999578669092816	0.4724925296515296	0.4718820741868635
L-serine import into cell	GOTERM_BP_DIRECT	2	2.857142857142857	0.0099912154116747	SLC1A4, SLC38A2	66	3	19453	196.4949494949495	0.999578669092816	0.4724925296515296	0.4718820741868635
positive regulation of substrate adhesion-dependent cell spreading	GOTERM_BP_DIRECT	3	4.285714285714286	0.0103510652721719	CSPG5, FLNA, FERMT2	66	46	19453	19.22233201581028	0.999682005935312	0.4724925296515296	0.4718820741868635
heart morphogenesis	GOTERM_BP_DIRECT	3	4.285714285714286	0.0107880103503392	TGFB2, FLNA, EPHB4	66	47	19453	18.813346228239848	0.9997740701694274	0.4724925296515296	0.4718820741868635
cell adhesion	GOTERM_BP_DIRECT	7	10.0	0.0114395764710643	VCAN, ITGB5, ITGA3, PTPRM, EPHB4, FERMT2, RHOB	66	566	19453	3.645224328086519	0.9998643274232992	0.4724925296515296	0.4718820741868635
positive regulation of cell division	GOTERM_BP_DIRECT	3	4.285714285714286	0.0116859919491983	TGFB2, PDGFC, PDGFB	66	49	19453	18.045454545454547	0.9998881355622452	0.4724925296515296	0.4718820741868635
