Term	Category	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
histone deacetylation	GOTERM_BP_DIRECT	4	4.395604395604396	0.0017222698217374	MBD2, CHD4, RBBP7, SIRT1	88	53	19453	16.68353344768439	0.7397863796947526	0.7705700556435067	0.7705700556435067
negative regulation of I-kappaB kinase/NF-kappaB signaling	GOTERM_BP_DIRECT	4	4.395604395604396	0.002018404795482	PPM1N, TNFAIP3, NLRC3, SIRT1	88	56	19453	15.789772727272728	0.7936057635164608	0.7705700556435067	0.7705700556435067
positive regulation of transcription from RNA polymerase II promoter	GOTERM_BP_DIRECT	14	15.384615384615383	0.003174108103594	TCF7L2, RARG, SS18L1, SIRT1, IKZF4, NFKB2, PHF8, CDK9, NR4A2, IRF1, HIVEP1, PRKD2, BRD8, ARHGEF2	88	1232	19453	2.512009297520661	0.9165010353614796	0.7705700556435067	0.7705700556435067
negative regulation of cell proliferation	GOTERM_BP_DIRECT	8	8.791208791208792	0.0046495300722395	TBRG1, CYP27B1, FABP3, RARG, SCIN, IRF1, BRD7, THBS1	88	462	19453	3.827823691460055	0.9737411216668672	0.7705700556435067	0.7705700556435067
negative regulation of transcription, DNA-templated	GOTERM_BP_DIRECT	9	9.89010989010989	0.0049332269887548	TCF7L2, IRF1, TCF7, MBD2, CHD4, RBBP7, BRD7, SIRT1, IKZF4	88	591	19453	3.3663474850023074	0.97898219076952	0.7705700556435067	0.7705700556435067
regulation of transcription from RNA polymerase II promoter	GOTERM_BP_DIRECT	16	17.582417582417584	0.0096837347007351	ZNF100, TCF7L2, BATF3, ZNF182, TCF7, PBX4, IKZF4, NFKB2, POU6F1, PHF8, NR4A2, IRF1, HIVEP1, CCNL1, BRD7, ZNF763	88	1736	19453	2.0373900293255134	0.9994994754777476	1.0	1.0
canonical Wnt signaling pathway	GOTERM_BP_DIRECT	4	4.395604395604396	0.010791192457543	NR4A2, TCF7L2, RARG, TCF7	88	102	19453	8.668894830659537	0.9997911146004476	1.0	1.0
Wnt signaling pathway	GOTERM_BP_DIRECT	5	5.494505494505495	0.0114191999943838	TCF7L2, TMEM88, TCF7, MBD2, BRD7	88	195	19453	5.668123543123543	0.9998727944992029	1.0	1.0
chromatin organization	GOTERM_BP_DIRECT	6	6.593406593406594	0.0147630720906686	SS18L1, GATAD1, CHD4, BRD8, SIRT1, PHF8	88	322	19453	4.119071146245059	0.9999909786371526	1.0	1.0
positive regulation of double-strand break repair	GOTERM_BP_DIRECT	3	3.296703296703297	0.0151605063408729	ZCWPW1, BRD7, SIRT1	88	42	19453	15.789772727272725	0.9999934170390286	1.0	1.0
positive regulation of transcription, DNA-templated	GOTERM_BP_DIRECT	9	9.89010989010989	0.0161387116555867	SS18L1, IRF1, MBD2, CHD4, BRD8, RBBP7, PBX4, BRD7, PHF8	88	728	19453	2.73284527972028	0.9999969706133242	1.0	1.0
chromatin remodeling	GOTERM_BP_DIRECT	6	6.593406593406594	0.0174286355579327	MBD2, GATAD1, CHD4, RBBP7, BRD7, PHF8	88	336	19453	3.947443181818181	0.99999891266206	1.0	1.0
negative regulation of plasma membrane long-chain fatty acid transport	GOTERM_BP_DIRECT	2	2.197802197802198	0.0177709803889104	IRS2, THBS1	88	4	19453	110.5284090909091	0.999999171740568	1.0	1.0
positive regulation of blood vessel endothelial cell migration	GOTERM_BP_DIRECT	3	3.296703296703297	0.0202943583556505	PRKD2, THBS1, SIRT1	88	49	19453	13.534090909090908	0.9999998889111206	1.0	1.0
cellular response to tumor necrosis factor	GOTERM_BP_DIRECT	4	4.395604395604396	0.0249349268387969	ARHGEF2, THBS1, SIRT1, ZFP36L2	88	140	19453	6.315909090909091	0.9999999972757824	1.0	1.0
positive regulation of actin nucleation	GOTERM_BP_DIRECT	2	2.197802197802198	0.0265390387974156	SCIN, WHAMM	88	6	19453	73.68560606060606	0.9999999992470268	1.0	1.0
brain development	GOTERM_BP_DIRECT	5	5.494505494505495	0.03073485128264	IRS2, RBBP7, PBX4, POU6F1, PHF8	88	264	19453	4.186682162534435	0.9999999999741972	1.0	1.0
regulation of cell cycle	GOTERM_BP_DIRECT	5	5.494505494505495	0.0322215264481205	TBRG1, CDK9, IRF1, BRD8, CCNL1	88	268	19453	4.124194369063772	0.9999999999922192	1.0	1.0
actin filament organization	GOTERM_BP_DIRECT	4	4.395604395604396	0.0323425205033253	HIP1, WHAMM, RHOV, ARHGEF2	88	155	19453	5.704692082111437	0.9999999999929432	1.0	1.0
negative regulation of transcription from RNA polymerase II promoter	GOTERM_BP_DIRECT	10	10.989010989010987	0.0375965618364483	NR4A2, TCF7L2, BATF3, RARG, MBD2, HIVEP1, CHD4, RBBP7, SIRT1, POU6F1	88	1016	19453	2.1757560844667143	0.9999999999998996	1.0	1.0
positive regulation of angiogenesis	GOTERM_BP_DIRECT	4	4.395604395604396	0.038426681133522	TMIGD2, PRKD2, THBS1, SIRT1	88	166	19453	5.326670317634173	0.9999999999999488	1.0	1.0
response to glucose	GOTERM_BP_DIRECT	3	3.296703296703297	0.039245016118164	TCF7L2, IRS2, THBS1	88	70	19453	9.473863636363635	0.9999999999999736	1.0	1.0
regulation of cell proliferation	GOTERM_BP_DIRECT	4	4.395604395604396	0.0438083684701403	MBD2, CHRNA10, ARHGEF2, SIRT1	88	175	19453	5.052727272727273	0.9999999999999992	1.0	1.0
malate metabolic process	GOTERM_BP_DIRECT	2	2.197802197802198	0.043843696396675	FH, MDH1B	88	10	19453	44.21136363636364	0.9999999999999992	1.0	1.0
