Term	Category	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
cytoplasmic translation	GOTERM_BP_DIRECT	37	13.962264150943396	3.2181086537241794e-45	RPL4, RPL3, RPL12, RPLP0, RPL11, RPL10A, RPL8, RPL6, RPS14, RPS15A, RPS16, RPL14, RPL35, RPS27A, RPS11, RPL39, RPL17, RPS10, RPS13, RPS12, RPL19, RPL41, RPS7, RPS8, RPS5, RPL35A, RPL13A, RPSA, RPS3A, RPS29, RPL37A, RPL24, RPL27, FAU, RPL29, RPS21, RPS24	244	91	19453	32.41582597730139	4.7080929603984727e-42	4.7080929603984727e-42	4.7080929603984727e-42
translation	GOTERM_BP_DIRECT	39	14.716981132075473	1.8174132847479118e-32	RPL4, RPL3, MRPS11, RPL12, RPLP0, RPL11, RPL10A, RPL8, RPL6, RPS14, RPS15A, RPS16, RPL14, RPL35, RPS27A, RPS11, RPL39, RPL17, RPS10, RPS13, RPS12, RPL19, RPL41, RPS7, RPS8, RPS5, RPL35A, RPL13A, RPSA, RPS3A, MRPL24, RPS29, RPL37A, RPL24, RPL27, FAU, RPL29, RPS21, RPS24	244	219	19453	14.197675724230857	2.6588756355861946e-29	1.3294378177930976e-29	1.3294378177930976e-29
ribosomal small subunit biogenesis	GOTERM_BP_DIRECT	13	4.905660377358491	1.2178362127779882e-10	RPS7, RPS8, RPS5, RPS3A, RRP9, RPS14, RPS15A, RPS16, DHX37, RPS11, RPS24, RPS13, RPS12	244	74	19453	14.005815241470978	1.7816936637160555e-07	5.938981264313989e-08	5.938981264313989e-08
rRNA processing	GOTERM_BP_DIRECT	12	4.528301886792453	1.2233858558419489e-06	EXOSC5, RPS16, DDX49, RPS7, PES1, MRTO4, RPL11, RPL14, RPL35A, RPL27, RPS24, RRP9	244	137	19453	6.983247576881656	0.0017882138389246	0.0004474533767741928	0.0004474533767741928
ribosomal large subunit assembly	GOTERM_BP_DIRECT	6	2.2641509433962264	8.172464155522205e-06	RPL3, MRTO4, RPL11, RPLP0, RPL24, RPL6	244	23	19453	20.79793300071276	0.0118851706171674	0.0023912630119057	0.0023912630119057
maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	GOTERM_BP_DIRECT	5	1.8867924528301887	0.0004413100294361361	RPS14, RPS16, RPS8, MRPS11, DHX37	244	29	19453	13.745760316563029	0.4757460517220451	0.1076060955108445	0.1076060955108445
ribosomal large subunit biogenesis	GOTERM_BP_DIRECT	5	1.8867924528301887	0.0008205886236499925	PES1, MRTO4, RPL11, RPL14, RPL35A	244	34	19453	11.724324975891996	0.6991110421307067	0.1715030223428484	0.1715030223428484
ribosomal small subunit assembly	GOTERM_BP_DIRECT	4	1.509433962264151	0.000955932111221763	RPS14, RPS5, MRPS11, RPSA	244	16	19453	19.931352459016395	0.7532050759582288	0.1748160848396799	0.1748160848396799
positive regulation of cell growth	GOTERM_BP_DIRECT	5	1.8867924528301887	0.0282557669193696	DDX49, BRAT1, MLST8, KLHL22, EGFR	244	92	19453	4.332902708481825	1.0	1.0	1.0
translational initiation	GOTERM_BP_DIRECT	4	1.509433962264151	0.0313843059202724	RPS5, EIF3G, RPS3A, EIF3F	244	55	19453	5.798211624441133	1.0	1.0	1.0
U2-type prespliceosome assembly	GOTERM_BP_DIRECT	3	1.1320754716981132	0.0358079695884445	SF3B5, SNRPD2, BUD13	244	24	19453	9.965676229508198	1.0	1.0	1.0
negative regulation of endothelial cell migration	GOTERM_BP_DIRECT	3	1.1320754716981132	0.0386074409141582	SP100, APOE, DCN	244	25	19453	9.567049180327867	1.0	1.0	1.0
melanosome organization	GOTERM_BP_DIRECT	3	1.1320754716981132	0.0386074409141582	PMEL, ASIP, APOE	244	25	19453	9.567049180327867	1.0	1.0	1.0
regulation of cytochrome-c oxidase activity	GOTERM_BP_DIRECT	2	0.7547169811320755	0.0490418219517062	TACO1, PHB2	244	4	19453	39.86270491803279	1.0	1.0	1.0
