Term	Category	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
defense response to virus	GOTERM_BP_DIRECT	29	4.166666666666666	5.010599414035351e-09	IFI6, ADARB1, IFIT1, IFI44L, IFIT3, IFIT2, OASL, IFIH1, HERC5, DHX36, ZC3H12A, BNIP3L, GBP5, DTX3L, RSAD2, STAT1, ELMOD2, STAT2, MX2, MX1, PARP9, DNAJC3, MAVS, PLSCR1, ZNFX1, OAS1, OAS2, OAS3, SERINC3	643	236	19453	3.7175910061417614	1.6930672021464588e-05	1.693081542002545e-05	1.690075182354124e-05
positive regulation of endothelial cell proliferation	GOTERM_BP_DIRECT	15	2.155172413793104	2.2998297991150134e-07	SEMA5A, BMPR2, CAV2, ITGB3, WNT5A, HTR2B, FGF2, F3, TGFBR1, VEGFA, NR4A1, BMP2, LRG1, CDH13, PRKD1	643	78	19453	5.817980619691351	0.0007768107046060013	0.0003885562445604816	0.000387866295620747
negative regulation of viral genome replication	GOTERM_BP_DIRECT	11	1.5804597701149428	1.6050862487566852e-06	IFIH1, MAVS, PLSCR1, ZNFX1, RSAD2, OAS1, OAS2, OAS3, MX1, IFIT1, OASL	643	45	19453	7.395299809918782	0.0054089096722975	0.0018078621448496	0.001804651972352
cell division	GOTERM_BP_DIRECT	30	4.310344827586207	3.129724741574568e-05	CDCA3, CDCA5, CCNF, CEP164, BUB1B, KLHL13, KIF11, AURKB, CDC20, CCNB2, SYCE1, CCNB1, RPS3, ANKRD53, E4F1, CDT1, BORA, USP9X, UBE2C, PRPF40A, PARD3B, PPP1CA, ASPM, LATS2, KIF18B, KATNAL1, BIRC5, CDK14, ARL8B, SPC25	643	383	19453	2.369725787654963	0.1003550144228453	0.0256766009572313	0.02563100770309
interleukin-27-mediated signaling pathway	GOTERM_BP_DIRECT	5	0.7183908045977011	3.7994378451067375e-05	OAS1, STAT1, OAS2, MX1, OASL	643	7	19453	21.60964230171073	0.1204856895036514	0.0256766009572313	0.02563100770309
response to virus	GOTERM_BP_DIRECT	14	2.0114942528735638	6.862195841683403e-05	RSAD2, MX2, MX1, IFI44, IFIT1, IFIT3, IFIT2, OASL, IFIH1, CCL8, OAS1, OAS2, OAS3, ITGB8	643	110	19453	3.850445355577549	0.2069599495683325	0.038645599581747	0.0385769776233302
mitotic spindle organization	GOTERM_BP_DIRECT	10	1.4367816091954022	0.00011018151156843718	SUN2, PLK3, CCNB1, BIRC5, TACC2, WDR62, KIF11, EML1, AURKB, SPC25	643	58	19453	5.216120555585349	0.3108689615127623	0.0531861896556784	0.0530917483600483
negative regulation of axon extension involved in axon guidance	GOTERM_BP_DIRECT	7	1.0057471264367817	0.0002555681212193865	SEMA5A, SEMA7A, SEMA3C, SEMA3A, WNT5A, SEMA3G, WNT3	643	28	19453	7.563374805598757	0.5783902054655385	0.1079455852000383	0.1077539091091238
regulation of ribonuclease activity	GOTERM_BP_DIRECT	4	0.5747126436781609	0.000340430192421889	OAS1, OAS2, OAS3, OASL	643	5	19453	24.20279937791602	0.6835245050095923	0.1278126244659514	0.1275856710043368
intracellular protein transport	GOTERM_BP_DIRECT	24	3.4482758620689653	0.0008637689184770594	NGFR, TMED10, STXBP1, STX7, PAM16, EXOC6B, SYTL1, TIMM44, TBC1D3C, FAM91A1, AP3B2, STX11, RHOB, SYTL2, RAB21, RAB31, AP1G2, TBC1D4, BLOC1S2, SGSM2, TIMM17A, SYNDIG1, RAB18, SEC61B	643	337	19453	2.154551873404987	0.9460628841516088	0.2918675175533983	0.2913492562023121
