ID	FC
MTRNR2L10	1.8790978834807657
MYH11	1.7706247044047358
ID3	1.7189900794662696
FAM71A	1.6403152169256738
SOX4	1.4678084019485094
SFRP4	1.4155397910728098
CXCL6	1.380599297806015
CXCL1	1.3110234091857205
DCHS2	1.2300022450737844
GSTM1	1.2281464908150213
KCTD15	1.216390855961985
DAPK1	1.1908566786121044
GPX3	1.1724144518636597
HES1	1.1295003293808903
C3	1.1276493197877846
HTRA1	1.112744911613749
VWC2	1.1110338892608949
APOBEC4	1.1091698404033
ACE	1.0938086233103004
SPRR2F	1.0885164014854793
S100B	1.0803589966258844
FIBIN	1.073533640785803
NNMT	1.0595333083455452
PGF	1.057101484248395
FAM78A	1.04266718789254
PRR15	1.035366179380238
JDP2	1.00203142298128
FSCN1	0.9981745638641106
HBA2	0.9980935111435807
PDGFB	0.9979137551762927
WNT5A	0.9696105265668598
CPXM1	0.9672657491725296
IL10	0.9637332144492152
NOS2	0.9497436028399716
VIT	0.9388698659342942
NELL2	0.9363647806986908
AKAP12	0.9272447928242249
BUB1	0.9257384595993452
MARCO	0.9196435369836502
TGM2	0.9170446873212557
PIM1	0.9138278269349103
MEGF6	0.9104228096216556
PRRT1	0.9082282267983496
ID1	0.9060708861011046
NPNT	0.9051182293666136
CEACAM21	0.893613361873151
STON1	0.8887547618140852
TSPAN7	0.8862133931788301
HMOX1	0.8862033513371701
MAOB	0.8810238293088999
ACSM3	0.8809704505235203
VCAN	0.8741910475558541
ZFPM2	0.8614132600140398
AHRR	0.8594125409708686
KLHDC8A	0.856662268607725
KRT18	0.8552451486546051
CDH3	0.8537305295570434
NFKBIZ	0.843298712116396
SOCS3	0.8400923878473705
THBS1	0.8395688487828643
CHST1	0.839302586915105
FOSB	0.8384441906663547
ORM1	0.8382106875229449
CRHBP	0.8368696173493734
DENND2A	0.835588522401232
HBEGF	0.8353413481006156
HOMER2	0.8326928062925298
ZNF436	0.8249329067623403
RIMS4	0.8216484211467847
CAMK1	0.8189567045993602
COL4A3	0.8132178051205603
IL1B	0.8126461832868199
PLIN5	0.81146155997047
COL4A4	0.8111056072535296
SIK1	0.8069409280817395
NDP	0.8016466485127252
DBN1	0.8013194824478109
SEMA4A	0.8009204059302606
ARID5A	0.7983927668609452
SOCS2	0.7981005805530952
CD24	0.7893007733363104
FSTL3	0.786879296092085
APCDD1L	0.7868368250451954
FAM118A	0.78577535454261
TMEM173	0.7802984985816499
SLC22A23	0.77837753740577
MEX3B	0.7774203994417794
TMEM88	0.7749196694128551
SMTN	0.7733145789541402
MCM5	0.7646183020682455
