ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:1902652	secondary alcohol metabolic process	139	-0.697722995201768	-2.68713980316406	6.22183963139301e-21	3.86873988280017e-17	3.00154642428149e-17	1355	tags=36%, list=8%, signal=33%	SREBF2/SMPD1/APP/CYB5R3/ABCA5/ERLIN2/CEBPA/LDLR/LIPE/FDX1/SCAP/SEC14L2/ABCG1/CYP11A1/FDXR/DHCR24/APOA1/CAT/PMVK/DGAT2/TM7SF2/STAR/LPCAT3/ACLY/HSD17B7/SREBF1/VLDLR/MVK/STARD4/ABCA1/APOE/INSIG1/FDFT1/LSS/SQLE/PCSK9/HMGCR/IDI1/EBP/HMGCS1/NR1H4/DHCR7/SCARB1/NSDHL/CYP51A1/MVD/FDPS/IDH1/APOC1/MT3
GO:0008203	cholesterol metabolic process	129	-0.713319645294328	-2.71370707706129	3.20515310256554e-20	9.96482099587627e-17	7.7311666679252e-17	1355	tags=38%, list=8%, signal=35%	SREBF2/SMPD1/APP/CYB5R3/ABCA5/ERLIN2/CEBPA/LDLR/LIPE/FDX1/SCAP/SEC14L2/ABCG1/CYP11A1/FDXR/DHCR24/APOA1/CAT/PMVK/DGAT2/TM7SF2/STAR/LPCAT3/ACLY/HSD17B7/SREBF1/VLDLR/MVK/STARD4/ABCA1/APOE/INSIG1/FDFT1/LSS/SQLE/PCSK9/HMGCR/IDI1/EBP/HMGCS1/NR1H4/DHCR7/SCARB1/NSDHL/CYP51A1/MVD/FDPS/APOC1/MT3
GO:0016125	sterol metabolic process	142	-0.695187073495677	-2.69318529610097	5.29546710568509e-20	1.09757381543833e-16	8.51548271766834e-17	1355	tags=36%, list=8%, signal=33%	SREBF2/SMPD1/APP/CYB5R3/ABCA5/ERLIN2/CEBPA/LDLR/CYP19A1/LIPE/FDX1/SCAP/SEC14L2/ABCG1/CYP11A1/FDXR/DHCR24/APOA1/CAT/PMVK/DGAT2/TM7SF2/STAR/LPCAT3/ACLY/HSD17B7/SREBF1/VLDLR/MVK/STARD4/ABCA1/APOE/INSIG1/FDFT1/LSS/SQLE/LIPA/PCSK9/HMGCR/IDI1/EBP/HMGCS1/NR1H4/DHCR7/SCARB1/NSDHL/CYP51A1/MVD/FDPS/APOC1/MT3
GO:0006066	alcohol metabolic process	341	-0.540952217581526	-2.30765785850422	7.84366841871999e-20	1.21929825569002e-16	9.45987693762993e-17	2515	tags=33%, list=15%, signal=28%	SPR/FECH/GOT1/SRD5A3/IPPK/PCBD1/DKK3/ACER2/PPIP5K2/BMP6/SOAT1/AKR1C1/G6PD/PECR/PLCG2/PLB1/HDLBP/SPTLC3/PPIP5K1/ERLIN1/ALDH1A1/NPC1/APOL1/MINPP1/DHRS13/GDE1/IPMK/SNCA/CBR4/ADH5/TPK1/SREBF2/DPM3/ABCA2/SMPD1/APP/CYB5R3/ABCA5/ERLIN2/RETSAT/THTPA/PARK7/MTMR7/CEBPA/PTS/LDLR/GK/LIPE/FDX1/SGPP2/SCAP/AKR7A2/SEC14L2/ABCG1/SLC5A3/PTK2B/CYP11A1/FDXR/ALDH3A2/DGAT1/DHCR24/SORD/TPI1/APOA1/PNLIP/DBH/ITPKA/CAT/ALDH1B1/PMVK/DGAT2/TM7SF2/DHRS3/STAR/RDH11/LPCAT3/ACLY/HSD17B7/SREBF1/VLDLR/ACSS1/ACSS2/SPTSSA/MVK/STARD4/DHRS9/GK5/ASAH1/CACNA1H/ABCA1/APOE/INSIG1/FDFT1/LSS/SQLE/PCSK9/HMGCR/IDI1/LHCGR/EBP/HMGCS1/NR1H4/DHCR7/SCARB1/NSDHL/CYP51A1/MVD/FDPS/IDH1/APOC1/MT3
GO:0008202	steroid metabolic process	302	-0.53393793557437	-2.26191289569401	2.67792222157697e-16	3.33026407475311e-13	2.58377211399731e-13	1355	tags=22%, list=8%, signal=21%	SREBF2/ABCA2/SMPD1/APP/CYB5R3/ABCA5/ERLIN2/ATP1A1/NR5A2/RORA/CEBPA/SCP2/LDLR/CYP19A1/LIPE/FDX1/SCAP/NR3C1/HSD17B4/SEC14L2/ABCG1/CYP11A1/FDXR/DHCR24/APOA1/CAT/PMVK/DGAT2/TM7SF2/STAR/LPCAT3/ACLY/HSD17B7/SREBF1/VLDLR/HSD17B12/HSD3B1/OSBPL6/MVK/STARD4/DHRS9/ASAH1/CACNA1H/ABCA1/APOE/INSIG1/FDFT1/LSS/SQLE/LIPA/PCSK9/HMGCR/IDI1/LHCGR/HSD11B1/EBP/HMGCS1/NR1H4/DHCR7/SCARB1/NSDHL/CYP51A1/HSD3B2/MVD/FDPS/APOC1/MT3
GO:0006091	generation of precursor metabolites and energy	436	-0.470718693878432	-2.06167857220315	6.31525437494051e-16	6.54470861723002e-13	5.07768610532498e-13	2776	tags=36%, list=16%, signal=31%	PDHB/NDUFB2/SDHC/CYC1/GHITM/SLC4A4/SLC25A13/AKR1B1/NDUFB5/NDUFB10/UQCRB/PHKB/ACADM/FECH/PSEN1/NDUFB1/NDUFV1/SRD5A1/UQCR11/SUCLG2/SUCLG1/STOML2/GSK3B/ADPGK/DLD/C2orf69/ABCD1/OXA1L/NDUFA12/G6PD/NUPR1/PFKFB2/MDH1B/NDUFC2/NDUFB3/NDUFA8/NDUFC1/NDUFS1/OGDH/PYGB/PPIF/ETFA/PFKM/DHRS2/TRAP1/PFKL/NDUFB8/TKT/COX7A2L/DGUOK/NDUFS8/TYRP1/KHK/SNCA/NDUFA7/POMC/SLC25A23/RBKS/ENO4/HDAC4/XYLB/NCF2/NDUFAF1/COX15/PINK1/ALDOA/ADH5/PID1/COX7C/GBE1/SLC25A18/APP/IDE/HKDC1/FBP1/PGM1/SUCLA2/SOD2/PPP1CB/THTPA/PARK7/DNAJC15/GFPT1/COX6C/GPI/NDUFA1/CEBPA/MRPS36/ETFB/PPP1R3G/GYS1/PGD/SLC25A4/CYP19A1/ACOX1/COX5B/SLC2A6/JMJD8/PGM2/ETFDH/FDX1/NHLRC1/RPE/PGAM1/AKR7A2/PPP1R3C/ENO1/MDH1/UQCRC2/PHKA2/FDXR/ME1/AOC2/CYB5R4/IGF2/PFKP/PDIA5/GNPDA1/TPI1/KL/GAA/NDUFS5/AACS/CAT/HMGCL/PHKA1/GYG2/DHTKD1/DHRS3/DLAT/AGL/TMEM135/ASPH/PGAM4/ACLY/GAPDH/ACSS1/HK2/ACSS2/VGF/ACSS3/ENO2/LDHA/PGK1/ACO1/P4HA2/CROT/NQO2/BNIP3/UCP2/CYB5A/ALDOC/AK4/IDH1/MLXIPL/MT3
GO:0006163	purine nucleotide metabolic process	465	-0.451895206827099	-1.98361754652388	6.53070691292089e-15	5.80113365493459e-12	4.50078643337089e-12	2396	tags=30%, list=14%, signal=26%	AFMID/FAR1/SUCLG2/SUCLG1/STOML2/APRT/GIMAP7/NME5/ADPGK/DLD/GUK1/SLC25A16/ABCD1/PARP10/NUDT5/NUDT18/NDUFA12/G6PD/NUPR1/PDE10A/NUDT7/PFKFB2/MDH1B/NDUFC2/NDUFB3/NDUFA8/NDUFC1/SLC4A7/NDUFS1/MTHFD1/DNM1L/OGDH/PFKM/PFKL/MLYCD/NDUFB8/TKT/FIGNL1/DGUOK/NUDT19/NDUFS8/OXSM/NPPC/SNCA/NDUFA7/LDHB/ACOT7/RBKS/ENO4/HDAC4/DCAKD/MCEE/MCCC2/PINK1/ALDOA/NME3/PPCS/CD38/PID1/APP/PANK3/PANK1/HKDC1/FBP1/PGM1/SUCLA2/FIS1/RAB23/GPI/NDUFA1/ACSL4/RORA/PDE7B/PPT1/NUDT2/NME1/PGD/PDE8A/SLC2A6/JMJD8/RPE/PGAM1/ADORA2B/ENTPD7/HSD17B4/ENO1/NQO1/MDH1/PAPSS2/GPAM/ME1/PAICS/DGAT1/FITM2/PFKP/NUDT16/ACOT4/TPI1/NDUFS5/ACSL3/SLC25A1/PMVK/DGAT2/NUDT12/TECR/AK2/DHTKD1/DLAT/PGAM4/ACLY/PDK1/ELOVL5/MPP1/GAPDH/ACSS1/HK2/HSD17B12/ACSS2/ACSL1/NME4/MVK/ENO2/LDHA/PGK1/CASK/PDK3/CROT/HMGCR/HMGCS1/ELOVL6/UCP2/ALDOC/ENPP3/MVD/AK4/IDH1/MLXIPL/QPRT
GO:0006695	cholesterol biosynthetic process	48	-0.836661910201631	-2.71174920820779	1.7157002122602e-14	1.06682239198339e-11	8.27689902398788e-12	1228	tags=54%, list=7%, signal=50%	CYB5R3/ERLIN2/SCAP/SEC14L2/ABCG1/DHCR24/PMVK/TM7SF2/LPCAT3/ACLY/HSD17B7/SREBF1/MVK/APOE/INSIG1/FDFT1/LSS/HMGCR/IDI1/EBP/HMGCS1/DHCR7/NSDHL/CYP51A1/MVD/FDPS
GO:1902653	secondary alcohol biosynthetic process	48	-0.836661910201631	-2.71174920820779	1.7157002122602e-14	1.06682239198339e-11	8.27689902398788e-12	1228	tags=54%, list=7%, signal=50%	CYB5R3/ERLIN2/SCAP/SEC14L2/ABCG1/DHCR24/PMVK/TM7SF2/LPCAT3/ACLY/HSD17B7/SREBF1/MVK/APOE/INSIG1/FDFT1/LSS/HMGCR/IDI1/EBP/HMGCS1/DHCR7/NSDHL/CYP51A1/MVD/FDPS
GO:0072521	purine-containing compound metabolic process	489	-0.445238182024934	-1.9678452035337	1.69737456402978e-14	1.06682239198339e-11	8.27689902398788e-12	2396	tags=29%, list=14%, signal=25%	AFMID/FAR1/MACROD2/SUCLG2/SUCLG1/STOML2/APRT/GIMAP7/NME5/ADPGK/DLD/GUK1/SLC25A16/ABCD1/PARP10/NUDT5/NUDT18/NDUFA12/G6PD/NUPR1/PDE10A/NUDT7/PFKFB2/MDH1B/NDUFC2/NDUFB3/NDUFA8/NDUFC1/SLC4A7/NDUFS1/MTHFD1/DNM1L/OGDH/PFKM/PFKL/MLYCD/NDUFB8/TKT/FIGNL1/DGUOK/NUDT19/NDUFS8/OXSM/NPPC/SNCA/NDUFA7/LDHB/ACOT7/RBKS/ENO4/HDAC4/DCAKD/MCEE/MCCC2/PINK1/ALDOA/NME3/PPCS/CD38/PID1/APP/PANK3/PANK1/HKDC1/FBP1/PGM1/SUCLA2/FIS1/RAB23/GPI/NDUFA1/ACSL4/RORA/PDE7B/PPT1/NUDT2/NME1/PGD/PDE8A/SLC2A6/JMJD8/PGM2/RPE/PGAM1/ADORA2B/ENTPD7/HSD17B4/ENPP4/ENO1/NQO1/MDH1/PAPSS2/GPAM/ME1/PAICS/DGAT1/FITM2/PFKP/NUDT16/ACOT4/TPI1/NDUFS5/ACSL3/SLC25A1/PMVK/DGAT2/NUDT12/TECR/AK2/DHTKD1/DLAT/PGAM4/ACLY/PDK1/ELOVL5/MPP1/GAPDH/ACSS1/HK2/HSD17B12/ACSS2/ACSL1/NME4/MVK/ENO2/LDHA/PGK1/CASK/PDK3/CROT/HMGCR/HMGCS1/ELOVL6/UCP2/ALDOC/ENPP3/MVD/AK4/IDH1/MLXIPL/QPRT
