ID	FC
LPCAT2	3.1072435844188213
GSTM1	3.1020701219582394
FCGR2B	3.0324572984536005
EPYC	3.0127006976510993
MMP10	2.919613864211785
CST2	2.86777143964421
LEFTY2	2.8639823137653186
FGG	2.863873628153935
MRPS2	2.70604087527766
CPA3	2.670564583193895
DSCAML1	2.4313641471940795
FOSB	2.405360518379645
CTSG	2.3923402629913646
HLA-DQA1	2.3484955632534508
LRP2BP	2.16966667878702
HBB	2.07668206299096
DIO2	2.0687237605499895
RBKS	2.038166537024895
GREM1	2.0166266561721096
UBE2QL1	2.009473518737175
IFI44L	2.00943725199786
SLC25A34	2.0087853149466603
RGS1	2.003934375327165
CCL8	1.9908091923431153
COL12A1	1.9665182773631305
CYP24A1	1.91206362836712
APOBEC3A	1.907130177682725
KERA	1.8885594936935701
LEFTY1	1.8661584646106855
CCL18	1.7954161394456105
ASPDH	1.7841676703413447
LINGO4	1.7833586033053148
KCND2	1.7766580975343103
FOS	1.7403350085558458
OBP2A	1.728319987508205
INHBA	1.7272178879183353
SPP1	1.7251836590457934
PZP	1.7111675521233503
LILRB3	1.709953989299695
IL6	1.691921429779065
PRUNE2	1.6844625265796864
ZBTB24	1.6627891437287445
ITGB3	1.6260478206623201
RXFP1	1.6241451071709339
DACT1	1.6096292632283693
ERP27	1.6082389168984097
HBA1	1.58436955201811
IL20RB	1.5834483277925648
IGFBP1	1.5805131650951996
ATP13A3	1.5756342245389305
FCN1	1.5690111998102
HMOX1	1.568465657192844
SEMA3A	1.56175458327486
SDS	1.5608401097250852
PSG6	1.544096155363441
LYG1	1.5432370844844856
SOCS3	1.5418297749010055
ADM	1.53045503857156
S100A8	1.5250256273713805
HBA2	1.5238604864873793
TEX12	1.5197253492036316
FCGR3B	1.5194344340393702
LILRA6	1.5190560393044699
MS4A14	1.515347903325325
PSG3	1.5054371458461606
OLR1	1.4932280995870801
ACSS1	1.4927693473757557
MMP8	1.4818306394448453
SEMA3G	1.4680132332350055
PRSS12	1.467036908168875
BCO2	1.464244318374801
KDR	1.4608362778915698
CMTM2	1.445715006519285
SERPINB7	1.437719797395005
PSG11	1.4352304623808299
LBH	1.4161775478173402
TNFSF14	1.412816504736825
C5orf46	1.4105308881621852
SLC2A1	1.4072562371974051
SLC34A2	1.4036141206282853
RGS4	1.3995710787645796
MAG	1.396444434421185
RPSAP58	1.3959735861922393
GSTM5	1.3929651553228553
GOLGA4	1.3870642044591195
INHBB	1.3835345293609098
SLC29A1	1.3804421211389748
MX1	1.3802650470550901
CELF6	1.3715957903138452
VMAC	1.3714419011701198
ATF3	1.3642475140468857
OSM	1.3634198063335852
CASP5	1.3504323013302102
LTBP2	1.349863012751614
EGR1	1.3487979110361294
SIRT5	1.3432395272458102
OR2A7	1.3370805259954204
TNC	1.33191305050934
ZNF321P	1.3218557172544556
IFI6	1.3193565082371705
SLA2	1.31762386086233
MLXIPL	1.3152761631574097
STON1-GTF2A1L	1.3055842484242155
DNAJC6	1.3049190154319397
YY2	1.301564603895505
SLC11A1	1.300696678169765
ZPLD1	1.2877447399483053
SLC5A3	1.28634899888843
PHKG1	1.2857607857583901
HTR2B	1.2846587919062857
SYNDIG1	1.2829021556636153
PDE7B	1.26874714325404
