ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0071219	cellular response to molecule of bacterial origin	206	0.533500601936366	2.07137774754385	6.37462646358288e-11	2.02350146098283e-07	1.62675372678864e-07	2992	tags=42%, list=19%, signal=34%	FCGR2B/CTSG/IL6/CXCL1/CCL2/ABCA1/CX3CL1/ZC3H12A/IL1B/LILRB2/TRIB1/SCARB1/HAMP/PDE4B/IL24/NOS2/CXCL2/WNT5A/CHMP5/CMPK2/CSF3/CD274/TLR2/PPBP/ADAM9/ZFP36/CD55/CCR5/EFNB2/CXCL11/MAPK14/LYN/MAPK8/CD180/IL1A/PLSCR4/IL10/AXL/CD80/CD86/SPI1/LBP/CDC73/PTAFR/NFKBIA/TBXA2R/ANKRD1/MTDH/CEBPB/PDCD1LG2/FZD5/PRKCE/ABL1/CCL3/CXCL9/SCIMP/DAB2IP/LY96/NR1D1/PLAA/EDNRB/TNF/CD6/CAMP/NFKBIZ/NOD2/NR1H4/TICAM2/TLR1/MEF2C/NLRP3/SLC7A5/CXCL3/SIRPA/TNFRSF1B/CD36/LITAF/TRAF6/CXCL6/LY86/TIFAB/PF4V1/IRAK2/RIPK2/TNFAIP3/KLRC4-KLRK1
GO:0071216	cellular response to biotic stimulus	231	0.52062579606957	2.04263453391922	7.53849992024331e-11	2.02350146098283e-07	1.62675372678864e-07	3399	tags=44%, list=21%, signal=35%	FCGR2B/CTSG/IL6/CXCL1/CCL2/ABCA1/CX3CL1/ZC3H12A/IL1B/LILRB2/TRIB1/SCARB1/HAMP/PDE4B/IL24/NOS2/CXCL2/WNT5A/CHMP5/CMPK2/CSF3/CD274/TLR2/CLEC7A/PPBP/ADAM9/ZFP36/CD55/CCR5/EFNB2/CXCL11/MAPK14/LYN/MAPK8/BTK/BCL2L11/CD180/IL1A/PLSCR4/EIF2AK3/IL10/AXL/TMCO1/CD80/CD86/SPI1/LBP/CDC73/PTAFR/NFKBIA/CDA/TBXA2R/ANKRD1/MTDH/CEBPB/PDCD1LG2/FZD5/PRKCE/ABL1/CCL3/CXCL9/SCIMP/DAB2IP/LY96/NR1D1/PLAA/EDNRB/TNF/CD6/CAMP/NFKBIZ/NOD2/NR1H4/TICAM2/TLR1/MEF2C/NLRP3/SYK/SLC7A5/CXCL3/SIRPA/TNFRSF1B/CD36/LITAF/TRAF6/CXCL6/LY86/TIFAB/PF4V1/IRAK2/TXNIP/RIPK2/TNFAIP3/KLRC4-KLRK1/CCDC47/HSPA5/ARID5A/RHOA/PTPN22/HAVCR2/TGFB1/SRC
GO:0002237	response to molecule of bacterial origin	330	0.473158576573003	1.91440093301519	9.8371485706506e-11	2.02350146098283e-07	1.62675372678864e-07	3641	tags=42%, list=23%, signal=33%	FCGR2B/CTSG/FOS/IL6/ADM/S100A8/SLC11A1/CXCL1/CCL2/ABCA1/CX3CL1/ZC3H12A/IL1B/LILRB2/CLDN1/C4B/MAOB/TRIB1/SCARB1/C5AR1/FGF10/EDN1/HAMP/PDE4B/IL24/NOS2/CXCL2/WNT5A/CHMP5/CMPK2/S100A9/PTGIR/CSF3/CD274/TLR2/PENK/PPBP/NR4A1/ADAM9/FOXP1/SMAD6/ZFP36/CD55/B2M/CCR5/EFNB2/ALAD/CXCL11/MAPK14/FGFR2/CD24/LYN/MAPK8/BTK/CD180/IL1A/PLSCR4/IL10/SOD2/ADAM17/AXL/CD80/CD86/SPI1/LBP/LOXL1/CDC73/HDAC2/PTAFR/NFKBIA/TAB2/P2RX7/CYP27B1/TBXA2R/ANKRD1/MTDH/CEBPB/PDCD1LG2/FZD5/PRKCE/RPS6KA3/ABL1/CCL3/CXCL9/SCIMP/LGALS9/DAB2IP/LY96/NR1D1/PLAA/EDNRB/TNF/CD6/CAMP/NFKBIZ/NOD2/NR1H4/CCR7/TICAM2/TLR1/MEF2C/NLRP3/PTGER4/SLC7A5/PRDX3/CXCL3/SIRPA/TNFRSF1B/CD36/LITAF/TRAF6/CXCL6/IFNAR1/LY86/TIFAB/PF4V1/IRAK2/RIPK2/TNFAIP3/KLRC4-KLRK1/PTGS2/PELI1/ARID5A/RHOA/PTPN22/THBD/HAVCR2/TGFB1/SRC/MPO/AKAP12/TIRAP/ARG1/LTA/AKIRIN2/GATA1/TNFRSF11A
GO:0002764	immune response-regulating signaling pathway	390	0.45384365707831	1.85806557793972	1.82170161689863e-10	2.81043016947036e-07	2.25938940011664e-07	3636	tags=37%, list=23%, signal=29%	FCGR2B/IL20RB/FCN1/SLA2/ZC3H12A/LILRB2/TNFRSF21/CLEC12B/BTN2A2/COLEC12/C5AR1/PDE4B/FPR1/THY1/MOG/CR1/FCGR3A/SLC46A2/PVRIG/KLRD1/TLR2/RSAD2/CLEC7A/IFIH1/LGALS3/HLA-DRB1/TEC/FOXP1/FPR3/PRNP/PAWR/MAP3K1/TSPAN6/MNDA/OAS1/LGR4/BTN3A3/C3AR1/CD24/IRF7/CTSS/LILRB4/LYN/MAPK8/BTK/PTPRC/UBASH3A/PLSCR1/GPLD1/OASL/LCK/PIK3AP1/KLRC2/F2RL1/EPG5/CD8A/USP15/LBP/ESR1/NFKBIA/SLC39A10/LACC1/KLRC3/MAPK10/SEC14L1/KLHL6/MEFV/KLRC4/BLNK/NR4A3/TLR5/PAK2/MAP3K7/UBQLN1/DDX3X/IFI35/PRKCE/PTK2/RPS6KA3/SHB/ABL1/KLRC1/SCIMP/HLA-DQB1/LAT2/DAB2IP/LY96/NR1D1/RTN4/VAV3/TNF/BTN3A2/CD300LF/NFKBIZ/NOD2/SPG21/DDX60/NR1H4/CCR7/TICAM2/TLR1/MEF2C/NLRP3/NLRP1/FCGR1A/SYK/HSPA1A/RC3H2/XIAP/CD36/TRAF6/PRKCQ/PIK3CA/OAS3/TLR7/GBP1/MICB/SLC15A3/WDFY1/GRB2/IRAK2/RIPK2/TNFAIP3/KLRC4-KLRK1/CD200R1/PELI1/TRAT1/CD47/CAV1/CARD11/PTPN22/HAVCR2/SRC/BTN2A1/CBLB/BTN3A1/TIFA/YES1/NCKAP1L/RIOK3/TIRAP/PUM2/PLEKHA1/LSM14A
GO:0071222	cellular response to lipopolysaccharide	197	0.529880698379296	2.05346533980718	4.40947761179235e-10	3.88726947748151e-07	3.12509292998156e-07	2992	tags=42%, list=19%, signal=35%	CTSG/IL6/CXCL1/CCL2/ABCA1/CX3CL1/ZC3H12A/IL1B/LILRB2/TRIB1/SCARB1/HAMP/PDE4B/IL24/NOS2/CXCL2/WNT5A/CHMP5/CMPK2/CSF3/CD274/TLR2/PPBP/ADAM9/ZFP36/CD55/CCR5/EFNB2/CXCL11/MAPK14/LYN/MAPK8/CD180/IL1A/PLSCR4/IL10/AXL/CD80/CD86/SPI1/LBP/CDC73/PTAFR/NFKBIA/TBXA2R/ANKRD1/MTDH/CEBPB/PDCD1LG2/PRKCE/ABL1/CCL3/CXCL9/SCIMP/DAB2IP/LY96/NR1D1/PLAA/EDNRB/TNF/CD6/CAMP/NFKBIZ/NOD2/NR1H4/TICAM2/MEF2C/NLRP3/SLC7A5/CXCL3/SIRPA/TNFRSF1B/CD36/LITAF/TRAF6/CXCL6/LY86/TIFAB/PF4V1/IRAK2/RIPK2/TNFAIP3/KLRC4-KLRK1
GO:0050900	leukocyte migration	365	0.453885843077871	1.85051295850226	3.95992410855624e-10	3.88726947748151e-07	3.12509292998156e-07	3646	tags=41%, list=23%, signal=33%	CTSG/GREM1/CCL8/CCL18/IL6/ITGB3/HMOX1/S100A8/TNFSF14/CXCL1/CCL2/VEGFA/CX3CL1/IL1B/DUSP1/ITGA3/BST1/CSF3R/C5AR1/EDN1/ITGB2/RET/PDE4B/GPR183/ITGA2/THY1/CXCL2/WNT5A/ICAM1/TREM1/S100A9/ECM1/ALOX5/PLA2G7/GCNT1/PPBP/MOSPD2/THBS1/SBDS/LGALS3/CCL17/IL34/PADI2/F11R/CH25H/S1PR1/CCL13/CCR5/CXCL11/MTUS1/SELL/LYVE1/C3AR1/CCL23/LYN/ADAM10/TGFB2/IL33/P2RX4/CXCR4/IL1A/IL10/IL4/LCK/IL6R/ADAM17/F2RL1/SELPLG/AIF1/ITGA6/SPNS2/CCR1/SPI1/LBP/EMP2/PTAFR/ROCK1/MMP2/ITGA9/IL27RA/CCL20/PTK2/ITGA4/ABL1/CCL3/CXCL9/CHST2/ITGB1/ADAM8/LGALS9/MCOLN2/VAV3/EDNRB/TNF/SLAMF8/NOD2/VEGFB/XG/CCR7/PTGER4/CCL28/JAM3/S100A12/SYK/ANO6/IL1R1/EDN2/CXCL3/SIRPA/SWAP70/TNFAIP6/HRH1/CCL26/CXCL6/PIK3R1/CXCL16/ABL2/LYST/WASL/DPP4/SFTPD/CXCR2/PF4V1/JAM2/STAT5B/KLRC4-KLRK1/CAMK1D/CD200R1/APP/TNFSF18/IL16/CD47/CCL7/PREX1/RHOA/EPS8/TBX21/PIKFYVE/IL23A/SRC/PAFAH1B1/CDC42/YES1/NCKAP1L/ANXA1/TIRAP/NEDD9/AIMP1/TRPM2/TNFRSF11A/CCL4
GO:0001819	positive regulation of cytokine production	449	0.432709129329061	1.78753301743175	3.19096492357361e-10	3.88726947748151e-07	3.12509292998156e-07	3574	tags=39%, list=22%, signal=31%	IL6/IL20RB/FCN1/HMOX1/MMP8/SERPINB7/OSM/EGR1/SLC11A1/HTR2B/F3/CX3CL1/IL1B/LILRB2/FFAR3/KLRF2/AGT/CD46/C5AR1/PDE4B/NOS2/WNT5A/FCGR3A/LILRA5/CD274/TLR2/RSAD2/CLEC7A/DHX36/SPHK1/SEMA7A/IFIH1/USP50/THBS1/NOX1/CD4/HIF1A/IL1RL1/PAEP/IFNGR1/PNP/FOXP1/CD55/B2M/MNDA/RUNX1/OAS1/IFI16/LUM/MAPK14/C3AR1/IRF7/STAT1/BTK/PIBF1/PTPRC/IL33/IL1A/C1QTNF3/EIF2AK3/IL10/IL4/PYHIN1/IL6R/ADAM17/F2RL1/ADORA2B/LRRK2/AIF1/TMF1/CLEC5A/CD80/CD86/LBP/HSP90AA1/HDAC2/TNFRSF8/ISG15/IL18R1/PTAFR/LACC1/EIF2AK2/P2RX7/MEFV/PANX1/HILPDA/NR4A3/TLR5/WNT11/MAP3K7/IL4R/CEBPB/DDX3X/CD84/IL27RA/FZD5/LY9/ABL1/CCL3/OAS2/SCIMP/ADAM8/LGALS9/LY96/MCOLN2/TMEM106A/TNF/CD6/BTN3A2/NOD2/NR1H4/CCR7/TICAM2/TLR1/NLRP3/TRIM16/PTGER4/NLRP1/IL26/SYK/IL6ST/SLC7A5/IL1R1/CD58/HSPA1A/GBP5/CD36/TRAF6/CHUK/PRKCQ/PIK3R1/OAS3/TLR7/MAPK13/STAT5B/RIPK2/UCN/KLRC4-KLRK1/TRIM32/POU2F2/PTGS2/APP/IL16/PELI1/IL17F/LPL/ARID5A/SLAMF6/WNT3A/CARD11/PTPN22/SIRT1/TBX21/PANX2/GPRC5B/ATF2/RAB1A/HEG1/IL23A/HAVCR2/TMED10/G3BP1/TGFB1/SRC/CHI3L1/BTN3A1/BMPR1A/PLA2R1/AKAP12/ANXA1/ATP6AP2/RIOK3/TIRAP/ARFGEF2/LTA
GO:0032496	response to lipopolysaccharide	314	0.465990383692711	1.87866783183842	8.76797468402976e-10	6.76339647189346e-07	5.43729798497793e-07	3641	tags=41%, list=23%, signal=33%	CTSG/FOS/IL6/ADM/S100A8/SLC11A1/CXCL1/CCL2/ABCA1/CX3CL1/ZC3H12A/IL1B/LILRB2/CLDN1/MAOB/TRIB1/SCARB1/FGF10/EDN1/HAMP/PDE4B/IL24/NOS2/CXCL2/WNT5A/CHMP5/CMPK2/S100A9/PTGIR/CSF3/CD274/TLR2/PENK/PPBP/NR4A1/ADAM9/FOXP1/SMAD6/ZFP36/CD55/CCR5/EFNB2/ALAD/CXCL11/MAPK14/FGFR2/LYN/MAPK8/BTK/CD180/IL1A/PLSCR4/IL10/SOD2/ADAM17/AXL/CD80/CD86/SPI1/LBP/LOXL1/CDC73/HDAC2/PTAFR/NFKBIA/TAB2/P2RX7/CYP27B1/TBXA2R/ANKRD1/MTDH/CEBPB/PDCD1LG2/PRKCE/RPS6KA3/ABL1/CCL3/CXCL9/SCIMP/LGALS9/DAB2IP/LY96/NR1D1/PLAA/EDNRB/TNF/CD6/CAMP/NFKBIZ/NOD2/NR1H4/CCR7/TICAM2/MEF2C/NLRP3/PTGER4/SLC7A5/PRDX3/CXCL3/SIRPA/TNFRSF1B/CD36/LITAF/TRAF6/CXCL6/IFNAR1/LY86/TIFAB/PF4V1/IRAK2/RIPK2/TNFAIP3/KLRC4-KLRK1/PTGS2/PELI1/ARID5A/RHOA/PTPN22/THBD/HAVCR2/TGFB1/SRC/MPO/AKAP12/TIRAP/ARG1/LTA/AKIRIN2/GATA1/TNFRSF11A
GO:0060326	cell chemotaxis	275	0.48237332208858	1.92251620168258	1.5268530759115e-09	1.04691225904998e-06	8.41644274476128e-07	3176	tags=39%, list=20%, signal=32%	CTSG/GREM1/CCL8/CCL18/IL6/S100A8/KDR/TNFSF14/CXCL1/CCL2/VEGFA/CX3CL1/IL1B/DUSP1/BST1/HBEGF/FGF2/CSF3R/C5AR1/EDN1/ITGB2/PDE4B/EPHA2/GPR183/CXCL2/WNT5A/TREM1/S100A9/ALOX5/PLA2G7/FGF18/PPBP/MOSPD2/THBS1/SBDS/NR4A1/LGALS3/CCL17/IL34/PADI2/CH25H/SMOC2/S1PR1/LOX/CCL13/CCR5/CXCL11/MTUS1/C3AR1/CCL23/LYN/ADAM10/TGFB2/P2RX4/CXCR4/IL10/IL4/IL6R/ADAM17/F2RL1/EGR3/AIF1/CCR1/MET/SPI1/LBP/ABCC1/PRKD1/MMP2/ITGA9/CCL20/PTK2/CCL3/CXCL9/ADAM8/LGALS9/VAV3/EDNRB/SLAMF8/NOD2/VEGFB/CCR7/CCL28/JAM3/S100A12/SYK/ANO6/EDN2/CXCL3/SWAP70/TNFAIP6/HRH1/CCL26/CXCL6/PRKCQ/CXCL16/LYST/DPP4/SFTPD/CXCR2/PF4V1/KLRC4-KLRK1/CAMK1D/SEMA5A/TNFSF18/IL16/CCL7/PREX1
GO:0030335	positive regulation of cell migration	483	0.417989030025273	1.72903962120686	2.9524934037878e-09	1.82198367947745e-06	1.4647475170581e-06	3559	tags=38%, list=22%, signal=30%	IL6/ITGB3/HMOX1/SEMA3A/SEMA3G/KDR/TNFSF14/F3/VEGFA/CX3CL1/ZC3H12A/IL1B/BMP2/CLDN1/FERMT3/AGT/SEMA3C/ITGA3/HBEGF/SCARB1/FGF2/RHOB/C5AR1/FGF10/EDN1/RET/ANXA3/EPHA2/ITGA2/TJP1/THY1/MMP7/MAP4K4/WNT5A/ICAM1/NTF3/ENPP2/CD274/IGF1R/PODXL/PLA2G7/FGF18/CLEC7A/MMP9/SEMA3B/SPHK1/SEMA6C/ATOH8/SEMA7A/MOSPD2/THBS1/ADAM9/ITGAV/LGALS3/HIF1A/IL34/FOXP1/SYNE2/NRP2/RIN2/TGFBR1/SMOC2/S1PR1/PDGFC/FOXF1/MYLK/SNAI1/LYVE1/C3AR1/EGFR/LYN/RDX/ADAM10/HDAC9/TGFB2/PTPRC/FOXO4/P2RX4/CXCR4/IL1A/GPLD1/GPNMB/IL4/BMPR2/SUN2/BAG4/ETS1/MCAM/IL6R/NFE2L2/SOD2/ADAM17/F2RL1/AIF1/ITGA6/CCR1/MET/SPI1/LBP/PTAFR/TMSB15B/PRKD1/PDPN/DAAM2/CAPN7/NR4A3/WNT11/MMP2/PRKCE/PIK3CB/CCL20/PTK2/ITGA4/ABL1/CCL3/ITGB1/ADAM8/LGALS9/DAB2IP/WNT7A/RTN4/PLAA/TNF/VEGFB/XG/CCR7/JAM3/PIK3R3/ANO6/ZNF268/IL1R1/CCAR1/GPI/EDN2/MYOC/SWAP70/TNFAIP6/CCL26/ITGA5/PIK3R1/CXCL16/DAB2/SEMA4F/DOCK5/ABL2/CASS4/CXCR2/JAM2/DOCK1/CAMK1D/MGAT5/SEMA5A/SMURF2/TRIM32/PTGS2/SDCBP/APP/TNFSF18/CD47/HSPA5/CCL7/IRS2/CAV1/RHOA/FGF9/SIRT1/IL23A/RRAS2/TGFB1/SRC/CDH5/CPNE3/CLASP2/CDC42/APC/GCNT2/NCKAP1L/AKAP12/ANXA1/SPAG9/TIRAP/ARF6/NEDD9
