Gene	Color
ABAT	plum1
ABCA10	darkgreen
ABCA12	green
ABCA8	green
ABCB11	darkgreen
ABCB6	darkgreen
ABCB9	darkgreen
ABLIM1	green
ACOXL	green
ACSM1	darkgreen
ACSM3	green
ACSM4	green
ACTG1	plum1
ACYP1	darkgreen
ADAM12	green
ADAMTS12	green
ADAMTS15	green
ADAMTS16	plum1
ADAMTS18	green
ADAMTSL1	darkgreen
ADARB2	green
ADPRH	steelblue
ADRB1	green
ADSSL1	green
AFAP1L2	green
AFF3	green
AFG3L2	darkgreen
AGAP4	green
AHRR	darkgreen
AK4	green
AKAP12	darkgreen
AKT3	green
AKTIP	darkgreen
ALDH18A1	plum1
ALDH1A2	darkgreen
ALDH8A1	green
ALDOA	darkgreen
ALG3	green
ALOX5	darkgreen
ALX4	darkgreen
AMN	darkgreen
AMOTL2	plum1
ANG	green
ANGEL2	green
ANGPT1	darkgreen
ANK2	green
ANKDD1A	steelblue
ANKRD18A	green
ANKRD42	darkgreen
ARAP2	green
ARG2	green
ARHGAP10	darkgreen
ARHGAP28	green
ARHGAP44	darkgreen
ARHGAP6	green
ARHGEF2	steelblue
ARIH2	steelblue
ARL4C	green
ARL5B	green
ARMCX4	darkgreen
ARRDC2	steelblue
ARVCF	green
ASF1A	green
ASPHD2	green
ATAD2	green
ATG4C	plum1
ATOH8	green
ATP1B3	green
ATP2B2	darkgreen
ATP6V1C1	darkgreen
ATP6V1E2	green
ATP9A	green
ATXN3	green
B3GALNT1	green
B3GNT7	green
B4GALNT4	green
B4GALT5	darkgreen
BACH2	green
BAG1	green
BATF3	steelblue
BCAM	green
BCAS1	green
BCL11A	green
BCL2	green
BCL7A	darkgreen
BEND6	plum1
BMP3	green
BMPR2	green
BNIP3	darkgreen
BOK	plum1
BOLA3	steelblue
BPHL	steelblue
BRD7	steelblue
BRD8	steelblue
BRI3BP	darkgreen
BTNL9	green
BUB1	plum1
C11orf1	darkgreen
C11orf87	darkgreen
C11orf95	green
C16orf58	plum1
C17orf100	steelblue
C18orf54	darkgreen
C1QTNF6	green
C1orf198	green
C1orf216	darkgreen
C20orf197	green
C2CD4C	plum1
C2CD4D	green
C2orf88	darkgreen
C4A	darkgreen
C5	green
C5orf34	green
C6orf120	green
C7	green
C9orf43	darkgreen
C9orf64	steelblue
CA9	darkgreen
CABLES1	darkgreen
CACNB3	green
CADM1	green
CALB2	steelblue
CALHM2	darkgreen
CAMK1D	darkgreen
CAMKMT	steelblue
CAPN2	green
CARHSP1	darkgreen
CASR	green
CBLB	darkgreen
CBLN1	plum1
CBX2	green
CCDC130	steelblue
CCDC150	green
CCDC152	green
CCDC50	green
CCDC6	darkgreen
CCDC7	green
CCDC74A	green
CCDC74B	plum1
CCDC89	green
CCNB1IP1	green
CCNG1	darkgreen
CCNL1	steelblue
CCT6B	green
CCZ1	green
CD101	steelblue
CD24	green
CD59	darkgreen
CDC14A	green
CDC25A	green
CDC25B	steelblue
CDC42SE1	plum1
CDC6	plum1
CDC7	green
CDCA7	green
CDH12	darkgreen
CDH18	green
CDH3	green
CDH4	green
CDHR1	green
CDK14	green
CDK2AP1	green
CDK6	green
CDK9	steelblue
CDKAL1	green
CDKN1C	green
CDKN2A	green
CDRT1	green
CDS1	green
CEACAM1	steelblue
CEACAM21	green
CELF5	darkgreen
CENPE	green
CENPL	green
CENPO	plum1
CENPV	plum1
CEP120	green
CEP57	green
CHD4	steelblue
CHDH	darkgreen
CHKB	darkgreen
CHRD	green
CHRNA10	steelblue
CHST14	green
CHST7	green
CITED1	green
CKAP2L	green
CLCNKB	green
CLDN1	green
CLDN18	green
CLEC3A	green
CLEC4M	green
CLGN	darkgreen
CLIC3	steelblue
CLIC6	green
CLSTN2	green
CNNM2	darkgreen
CNTN1	green
CNTN4	green
CNTNAP5	darkgreen
COL11A1	green
COL4A3	green
COL4A4	green
COL6A2	green
COL9A2	darkgreen
COLQ	green
CORO2A	green
CPAMD8	green
CPEB3	green
CPT1A	darkgreen
CPXM1	green
CRB1	green
CREBZF	darkgreen
CRHBP	green
CRIM1	green
CRMP1	green
CSGALNACT1	green
CSMD3	green
CSPG5	plum1
CSRP1	plum1
CSTB	plum1
CSTF2T	darkgreen
CTNNA2	green
CTRC	steelblue
CXCL6	plum1
CXXC4	darkgreen
CYB5R2	green
CYP27B1	steelblue
CYP2A6	green
CYP2C8	green
CYP3A4	darkgreen
CYP3A7	darkgreen
CYYR1	green
DAAM1	green
DAAM2	green
DACH1	darkgreen
DACH2	green
DACT1	plum1
DACT3	green
DAPK1	green
DAPL1	green
DBN1	plum1
DCAF12L2	plum1
DCHS1	green
DCLRE1B	green
DDA1	plum1
DDHD1	green
DDIT4	green
DENND2A	green
DENND5B	darkgreen
DEPTOR	green
DERA	green
DES	darkgreen
DHDH	green
DKC1	green
DLG3	green
DLL3	green
DMKN	green
DNAAF1	green
DNAH14	darkgreen
DNAJC22	green
DNER	green
DNM1	green
DOK4	green
DOK6	green
DPF3	green
DPP10	green
DPY19L2	green
DPYSL4	darkgreen
DSP	green
DTNA	green
DYM	green
EAF1	darkgreen
EBF3	green
ECHS1	steelblue
ECM2	green
EFCAB3	green
EFCAB7	darkgreen
EFHD1	green
EFNA3	green
EGFLAM	green
EHD3	darkgreen
ELF2	green
EML1	green
EML5	green
ENO4	green
ENPP1	green
ENTPD3	green
EPB41L4A	green
EPDR1	green
EPHA6	darkgreen
EPHB4	plum1
EPS8	green
ERCC6L	darkgreen
ERI2	green
ERP27	green
ESPNL	green
ESR2	green
ETNK2	green
F3	green
F5	green
FABP3	steelblue
FABP5	green
FAHD2A	green
FAM104B	steelblue
FAM122B	green
FAM122C	darkgreen
FAM135A	darkgreen
FAM13C	green
FAM153B	darkgreen
FAM155A	green
FAM160A1	green
FAM169A	green
FAM171A2	green
FAM189A2	green
FAM72D	green
FANK1	green
FARP2	green
FAT2	darkgreen
FAT3	green
FAT4	green
FBLN7	darkgreen
FBXL14	green
FBXO17	darkgreen
FBXO3	darkgreen
FERMT2	plum1
FGF10	plum1
FGF12	green
FGF9	green
FH	steelblue
FIBIN	green
FILIP1	darkgreen
FITM2	green
FKBP11	green
FKBP2	green
FLNA	plum1
FMO5	green
FOXP2	green
FRRS1	green
FRZB	green
FSHR	green
FSTL1	green
FYN	green
GABRB1	green
GABRB3	green
GALNT13	darkgreen
GAPDH	darkgreen
GATAD1	steelblue
GATM	green
GDF7	green
GFRA1	green
GHR	green
GIPC2	green
GLIS3	green
GLT8D2	darkgreen
GNB5	green
GNRHR	green
GOLGA7	darkgreen
GOT2	green
GPC4	green
GPC6	darkgreen
GPM6B	green
GPR146	darkgreen
GPR151	green
GPR161	plum1
GPR176	darkgreen
GPR18	plum1
GPR63	green
GPX3	green
GRB14	green
GREB1	green
GRID2	green
GRIK1	green
GRIN2A	green
GRPEL1	steelblue
GSTA1	green
GSTA2	green
GUCY1A2	green
GYS1	darkgreen
GZF1	green
H2AFY2	plum1
HAND2	green
HAO2	green
HECW2	green
HELB	darkgreen
HEPH	green
HERC6	green
HES1	green
HGFAC	green
HHIP	green
HIF3A	green
HIP1	steelblue
HIPK3	green
HIVEP1	steelblue
HLA-B	green
HNF4A	green
HOMER1	green
HOMER2	green
HOOK1	darkgreen
HOPX	green
HPCAL4	green
HPSE	darkgreen
HS3ST3A1	green
HSPB8	green
HSPB9	darkgreen
HTR1B	green
HTRA1	plum1
HUS1B	plum1
HYDIN	darkgreen
ID1	plum1
IFI35	green
IFT52	green
IGBP1	green
IGFBP1	green
IGFBP3	green
IGFBP5	green
IGFBP7	green
IGSF11	green
IGSF3	green
IKZF4	steelblue
IL20RB	steelblue
ILDR2	darkgreen
IMPG1	green
INPP1	darkgreen
INPP5A	darkgreen
INSR	green
IRAK1	green
IRAK1BP1	green
IRF1	steelblue
IRF2BP2	green
IRS1	green
IRS2	steelblue
ISM1	green
ITGA11	green
ITGA3	plum1
ITGA9	green
ITGB5	plum1
JMJD7	darkgreen
JUP	green
KALRN	darkgreen
KANK1	green
KCNG1	plum1
KCNJ8	green
KCNQ1	green
KCNQ5	green
KCNS1	green
KCTD15	green
KDM1A	green
KDM4D	green
KDM5A	green
KIAA0895	green
KIAA1211	green
KIAA1217	green
KIAA1841	darkgreen
KIDINS220	green
KIF11	green
KIF18A	plum1
KIF1A	darkgreen
KIF3C	green
KL	green
KLC3	green
KLF12	green
KLHDC8A	green
KLHDC9	darkgreen
KLHL13	darkgreen
KLHL24	green
KTI12	green
LAD1	steelblue
LAGE3	darkgreen
LANCL3	green
LARP6	green
LAYN	green
LCA5	green
LEAP2	darkgreen
LINGO2	darkgreen
LONRF2	green
LOX	green
LOXL4	green
LPL	green
LRAT	green
LRIG1	darkgreen
LRIG3	darkgreen
LRP11	green
LRP2	green
LRP5	green
LRP5L	green
LRRC1	darkgreen
LRRC15	green
LRRC17	green
LRRC2	darkgreen
LRRC49	green
LRRC8C	green
LRRFIP2	green
LRRN1	green
LRTM2	green
LSAMP	darkgreen
LZTS1	green
MAMDC2	darkgreen
MANBA	green
MANBAL	darkgreen
MAOA	green
MAOB	green
MAP9	darkgreen
MAPK8IP1	plum1
MARCKS	green
MARK1	green
MASP2	darkgreen
MATN2	green
MATN3	green
MBD2	steelblue
MBOAT2	green
MCF2	green
