Gene	Color
AACS	green
ABCB6	midnightblue
ABCC1	green
ABHD5	green
ABI1	green
ABI3BP	green
ABL2	green
ACTL10	green
ADAMTS19	green
ADAMTS4	midnightblue
ADAMTS5	green
ADARB1	green
ADCY9	green
ADORA1	green
AEBP1	green
AFF4	green
AGA	green
AGXT2	green
AK8	green
AKT1S1	midnightblue
ALDH1A1	green
ALDH5A1	green
ALKBH4	midnightblue
ALKBH7	green
ALS2	midnightblue
AMFR	green
ANKRD53	green
ANO9	green
ANTXR1	green
AP1G2	green
AP3B2	green
APBB2	green
APOC1	green
APOL6	green
ARL3	green
ARL8B	green
ARMC12	green
ARMC9	green
ARSG	midnightblue
ASB13	green
ASPDH	midnightblue
ASPM	green
ATF6	green
ATG9B	green
ATL1	green
ATOH8	green
ATP13A3	green
ATP6AP2	green
ATP6V1C1	green
ATP6V1D	green
ATP6V1E2	midnightblue
ATP6V1H	green
ATP8A2	green
ATP8B1	midnightblue
AURKB	green
AXIN1	green
B3GNT5	green
B3GNT8	green
BAG4	green
BASP1	green
BCAT2	green
BCO2	green
BET1	midnightblue
BHMT2	green
BIRC5	green
BLOC1S2	green
BMP2	green
BMPR2	green
BNIP3L	green
BORA	green
BPGM	green
BPHL	green
BRF2	green
BRWD1	green
BTBD2	green
BUB1B	green
C16orf86	green
C1QTNF7	midnightblue
C1orf122	green
C1orf127	green
C20orf85	green
C3AR1	midnightblue
C4orf46	midnightblue
C6orf52	midnightblue
C6orf62	green
CAB39L	green
CABIN1	green
CACHD1	green
CALM2	green
CAPN3	midnightblue
CAPN5	green
CARHSP1	green
CASP5	green
CAST	green
CAV2	green
CCDC122	green
CCDC159	green
CCDC33	green
CCDC69	green
CCDC71L	midnightblue
CCDC8	green
CCDC91	green
CCL8	green
CCNB1	green
CCNB2	green
CCNF	green
CCNH	green
CCNJ	midnightblue
CCR5	green
CCZ1B	green
CD302	green
CD59	green
CD69	green
CD82	green
CDC20	green
CDCA3	green
CDCA5	green
CDH13	green
CDH20	green
CDHR4	green
CDK14	green
CDKN2B	midnightblue
CDT1	green
CELSR1	midnightblue
CENPM	green
CEP164	green
CEP89	green
CFL2	green
CGB2	green
CHAC1	green
CHD6	midnightblue
CHMP2B	green
CHMP5	green
CHRDL1	green
CHST15	midnightblue
CHSY1	midnightblue
CIDEB	green
CISH	midnightblue
CITED2	green
CIZ1	green
CKB	green
CKLF-CMTM1	green
CKMT2	green
CLCNKB	green
CLDN23	green
CLEC11A	green
CLEC12A	midnightblue
CLEC12B	midnightblue
CLEC2D	green
CLIC2	midnightblue
CLIP3	green
CLIP4	green
CLN8	green
CMPK2	green
CMTM1	green
CNKSR2	green
CNOT10	midnightblue
CNOT2	green
CNTF	midnightblue
CNTNAP1	midnightblue
CNTROB	green
COG5	green
COG8	green
COL12A1	midnightblue
COL18A1	green
COL23A1	midnightblue
CORO1C	green
CPA4	green
CPD	green
CPEB4	green
CPSF4	midnightblue
CREG1	green
CRIP1	green
CRISPLD2	green
CRYGN	green
CSGALNACT2	green
CST2	green
CTBS	green
CTIF	green
CTNNB1	midnightblue
CTSB	green
CTSK	green
CTSO	green
CTSS	green
CYP3A5	green
DALRD3	green
DCBLD1	green
DCBLD2	green
DDHD1	green
DDX11	green
DENND5B	green
DERL1	green
DGKD	midnightblue
DHRS4	green
DHRSX	green
DHX36	green
DIO3	green
DIP2B	green
DISC1	green
DLG5	green
DNAAF2	midnightblue
DNAJB9	green
DNAJC3	green
DNM1	green
DOCK8	midnightblue
DOK7	midnightblue
DPY19L1	green
DPYD	green
DPYSL2	green
DST	green
DSTYK	green
DTX3L	green
DUSP16	midnightblue
E2F1	green
E4F1	green
EAF1	green
EAPP	green
EBP	green
ECE1	green
ECH1	green
EFCAB3	green
EFEMP1	midnightblue
EFHD1	midnightblue
EFNB2	green
EIF2AK3	green
EIF4EBP2	green
EIF4G3	green
ELL2	green
ELMOD2	green
ELOVL4	green
EML1	green
EML2	green
EML5	green
ENO3	midnightblue
EPDR1	green
EPG5	green
EPHA2	midnightblue
EPHB1	green
EPS15	green
EPSTI1	green
EPYC	green
ERBB3	green
ERLEC1	green
ERMP1	green
ERV3-1	green
ESPL1	green
ESYT3	green
ETV2	green
ETV7	green
EXOC6B	green
F3	green
FAAH	green
FADS1	green
FAHD2A	midnightblue
FAM107B	green
FAM124A	green
FAM126B	green
FAM180A	green
FAM183A	green
FAM20C	green
FAM214A	green
FAM27C	green
FAM53B	green
FAM89A	green
FAM91A1	green
FAM98C	green
FAN1	green
FANCA	green
FANK1	midnightblue
FASN	green
FASTKD2	midnightblue
FBXL2	green
FBXO33	green
FBXW7	green
FDXR	midnightblue
FERMT3	midnightblue
FGA	green
FGB	green
FGD6	green
FGF2	green
FGL2	midnightblue
FHL1	green
FHL3	green
FKBP7	green
FLRT1	green
FMO4	green
FNDC3A	green
FNDC3B	green
FOSB	green
FOXN3	midnightblue
FOXRED1	midnightblue
FRMD3	green
FSBP	green
GAB2	midnightblue
GABRE	midnightblue
