Gene	Color
AACS	darkolivegreen
ABCA1	magenta
ABCC4	magenta
ABHD2	magenta
ABHD6	magenta
ACAT2	darkolivegreen
ACER2	magenta
ACO1	magenta
ACOT13	magenta
ACOX1	magenta
ACSS2	darkolivegreen
ACSS3	magenta
ACTA1	magenta
ADAMTS4	mediumpurple3
ADCY3	darkolivegreen
ADD3	magenta
ADH1B	magenta
AGAP1	magenta
AGBL2	magenta
AGK	magenta
AGL	magenta
AK2	darkolivegreen
AK7	mediumpurple3
AKAP1	magenta
AKAP13	magenta
ALDH5A1	magenta
ALDOC	darkolivegreen
ALG1L	darkolivegreen
ALOXE3	magenta
ANO10	magenta
ANP32A	magenta
ANXA6	magenta
AOX1	mediumpurple3
AP1S1	darkolivegreen
APBA2	magenta
APCDD1L	mediumpurple3
APOA1	darkolivegreen
APOBEC3G	mediumpurple3
APOO	darkolivegreen
APOOL	magenta
ARF3	magenta
ARHGAP12	magenta
ARL4A	magenta
ARL8B	mediumpurple3
ASPH	magenta
ATP6V0D2	mediumpurple3
AUTS2	magenta
AZGP1	magenta
B3GALNT2	darkolivegreen
B4GALT1	magenta
BAAT	magenta
BACE2	magenta
BACH1	mediumpurple3
BAG4	magenta
BAZ1B	magenta
BCAP31	mediumpurple3
BEX1	magenta
BHMT2	magenta
BLVRA	magenta
BNIP3L	magenta
BST2	mediumpurple3
BTC	mediumpurple3
BUD31	magenta
C12orf75	magenta
C17orf58	darkolivegreen
C1R	magenta
C1orf109	magenta
C2CD2	magenta
C2orf72	magenta
C3orf49	magenta
C6orf62	darkolivegreen
C6orf89	magenta
C9orf116	darkolivegreen
C9orf78	magenta
CA5B	magenta
CABIN1	magenta
CADPS2	magenta
CALR	magenta
CASK	magenta
CASP10	magenta
CASP6	magenta
CASP7	magenta
CBLL1	magenta
CBR3	magenta
CCDC102B	magenta
CCDC124	magenta
CCDC134	magenta
CCDC36	magenta
CCDC69	magenta
CCDC85C	magenta
CCKBR	magenta
CD9	mediumpurple3
CD99L2	magenta
CDC14B	magenta
CDC42BPB	magenta
CDH16	mediumpurple3
CDK15	magenta
CDK19	magenta
CDKL2	magenta
CDKN2AIP	mediumpurple3
CDKN2C	magenta
CELA2A	darkolivegreen
CELF4	magenta
CEP57L1	magenta
CETN2	darkolivegreen
CHAD	magenta
CHKA	magenta
CHRM4	mediumpurple3
CLDN3	magenta
CLPTM1	magenta
CLUAP1	magenta
CNOT10	magenta
COBLL1	magenta
COPB1	darkolivegreen
COPS6	magenta
CPEB2	magenta
CREG1	mediumpurple3
CRLF1	magenta
CROT	mediumpurple3
CSRP2	magenta
CTSC	mediumpurple3
CXADR	magenta
CYB5A	mediumpurple3
CYB5B	darkolivegreen
CYP11A1	darkolivegreen
CYP7B1	magenta
DCAF12	magenta
DCLRE1A	magenta
DDB2	mediumpurple3
DDO	mediumpurple3
DDX27	magenta
DGKG	magenta
DHCR7	darkolivegreen
DHRS3	mediumpurple3
DIRAS3	magenta
DIS3L2	magenta
DNAAF2	magenta
DNAJC11	magenta
DNAJC17	magenta
DNM2	magenta
DOCK5	magenta
DOCK9	magenta
DPM3	darkolivegreen
DTHD1	magenta
DUOX2	darkolivegreen
DUOXA2	darkolivegreen
DUSP10	mediumpurple3
DUSP19	magenta
EBP	darkolivegreen
EDEM1	magenta
EIF2AK4	magenta
ENO2	magenta
ENPP5	magenta
EPB41L1	magenta
EPB41L4B	magenta
EPHA4	magenta
EPS8L1	magenta
ERGIC1	magenta
ERN1	magenta
ERRFI1	mediumpurple3
EVC	magenta
EVC2	darkolivegreen
F12	magenta
F8	magenta
FADS1	darkolivegreen
FADS2	darkolivegreen
FAH	magenta
FAM102B	magenta
FAM117B	magenta
FAM120A	magenta
FAM126B	magenta
FAM162A	darkolivegreen
FAM166A	magenta
FAM171A1	magenta
FAM177A1	darkolivegreen
FAM199X	magenta
FAM49A	magenta
FAM50B	magenta
FAM71F1	magenta
FAM8A1	magenta
FANCA	magenta
FASN	magenta
FBXL17	magenta
FBXW10	magenta
FBXW11	magenta
FBXW7	magenta
FBXW8	magenta
FCRLB	magenta
FDPS	darkolivegreen
FECH	magenta
FEZ1	magenta
FGF18	magenta
FICD	magenta
FJX1	magenta
FN3KRP	magenta
FNBP1	magenta
FNIP2	magenta
FOXC1	mediumpurple3
FOXO3	magenta
FRMD3	mediumpurple3
FRS3	magenta
FSTL3	mediumpurple3
FTO	magenta
GALC	magenta
GARNL3	magenta
GAS2	magenta
GDE1	magenta
GINS3	magenta
GK5	magenta
GLB1	magenta
GLI2	magenta
GM2A	mediumpurple3
GMDS	magenta
GMPPB	darkolivegreen
GNA12	magenta
GNPDA1	mediumpurple3
GNS	magenta
GOPC	mediumpurple3
GPI	magenta
GPR34	magenta
GPR89B	magenta
GPX2	magenta
GRIA3	darkolivegreen
GSK3B	magenta
GXYLT2	darkolivegreen
GYG2	magenta
GYPE	magenta
HDLBP	magenta
HEXB	mediumpurple3
HHAT	magenta
HK2	magenta
HLA-A	darkolivegreen
HMGCL	darkolivegreen
HMGCLL1	magenta
HMGN4	magenta
HNRNPH1	magenta
HOOK3	magenta
HOXC4	mediumpurple3
HOXC6	mediumpurple3
HPS5	mediumpurple3
HSD11B1	darkolivegreen
HSD17B7	darkolivegreen
HSP90B1	magenta
HTATIP2	magenta
HTRA3	magenta
HYAL3	darkolivegreen
IDH1	mediumpurple3
IGF2	magenta
INHA	magenta
INSL6	magenta
INTS2	magenta
IPCEF1	magenta
ITIH5	magenta
ITM2A	magenta
ITPR1	magenta
ITPR2	magenta
JMJD8	magenta
KATNA1	darkolivegreen
KCTD12	magenta
KCTD21	magenta
KCTD3	magenta
KIAA0825	darkolivegreen
KIF13A	magenta
KIF9	magenta
KLHDC8B	mediumpurple3
KLHL5	magenta
KRT18	magenta
LCT	magenta
LDLRAD3	magenta
LEFTY2	magenta
LGALS12	magenta
LIPE	magenta
LIPH	magenta
LMAN2L	magenta
LMLN	magenta
LMO1	magenta
LMTK2	magenta
LPAR3	magenta
LPCAT3	magenta
LPIN1	magenta
LRP4	magenta
LRRC27	magenta
LRRC43	mediumpurple3
LSS	darkolivegreen
LTA4H	mediumpurple3
MAGED1	magenta
MAN2A1	magenta
MAP3K7	magenta
MAPK11	darkolivegreen
MAPK14	magenta
MAPK8IP2	magenta
MAPKAPK5	magenta
MBNL2	magenta
MCC	magenta
MCCC2	darkolivegreen
MCHR1	magenta
MCM6	magenta
MDH1	darkolivegreen
MED10	magenta
MEIS3	magenta
MGAT4A	magenta
MGAT5	magenta
MMAB	darkolivegreen
MMP15	magenta
MOCOS	magenta
MOXD1	mediumpurple3
MPHOSPH6	mediumpurple3
MPI	darkolivegreen
MRAP	darkolivegreen
MRPL49	darkolivegreen
MTM1	magenta
MTMR4	magenta
MVD	darkolivegreen
MVK	darkolivegreen
N6AMT1	magenta
NAP1L1	darkolivegreen
NASP	magenta
NAT8L	magenta
NCSTN	magenta
NECAB1	magenta
NELL2	mediumpurple3
NEURL2	magenta
NHSL1	magenta
NKAIN1	darkolivegreen
NNMT	darkolivegreen
NOL12	magenta
NOMO1	mediumpurple3
NOMO2	magenta
NONO	mediumpurple3
NPAS2	magenta
NR1H4	mediumpurple3
NSUN4	magenta
NT5C1A	mediumpurple3
NUCB2	magenta
NUDCD2	magenta
NUDT19	magenta
NYNRIN	magenta
OSBP	magenta
P2RX6	magenta
P4HB	magenta
PANK1	magenta
PAPSS2	magenta
PARD6B	magenta
PARP3	darkolivegreen
PCCB	darkolivegreen
PCDH19	magenta
PCDHA10	magenta
PDE1C	magenta
PDE8A	magenta
PDIA4	magenta
PDIA5	magenta
PDIA6	mediumpurple3
PDK1	darkolivegreen
PDK3	magenta
PDLIM7	mediumpurple3
PDXK	magenta
PEX11B	darkolivegreen
PEX19	darkolivegreen
PFKFB4	darkolivegreen
PGA3	magenta
PGAP2	magenta
PGRMC1	darkolivegreen
PHF21B	magenta
PHF23	mediumpurple3
PHLPP1	magenta
PIK3C2B	magenta
PLAG1	magenta
PLCXD3	darkolivegreen
PLEKHA2	magenta
PLEKHA7	magenta
PLEKHB2	magenta
PLEKHG1	magenta
PLOD1	magenta
PLXNB3	magenta
PLXNC1	magenta
PNLDC1	magenta
PNPLA3	magenta
PODXL	magenta
POLR2D	magenta
POLR3GL	magenta
PORCN	magenta
PPFIA3	magenta
PPFIA4	magenta
PPIL4	magenta
PPM1G	magenta
PPM1L	magenta
PPP1CC	magenta
PPP3CA	magenta
PRDX3	darkolivegreen
PRDX4	darkolivegreen
PRICKLE2	magenta
PRKAA1	magenta
PRPF38A	magenta
PRPF40B	magenta
PSPH	darkolivegreen
PTGES	darkolivegreen
PTPN14	magenta
PTPRA	magenta
PXK	magenta
PXN	magenta
PYCR1	magenta
PYY	magenta
QPCTL	magenta
QPRT	darkolivegreen
RAB11FIP3	magenta
RANGAP1	magenta
RANGRF	magenta
RASA3	magenta
RAVER2	magenta
RBBP9	magenta
RBMS3	magenta
RCAN1	magenta
RCAN2	mediumpurple3
RCCD1	magenta
RCOR2	magenta
REEP6	magenta
REP15	mediumpurple3
RGS7	magenta
RHBDL3	magenta
RHOBTB2	magenta
RHOT1	magenta
RHOU	magenta
RIMKLA	darkolivegreen
RND1	mediumpurple3
RNF144A	magenta
RNFT2	magenta
RPN1	magenta
RPN2	magenta
RRAGB	mediumpurple3
RRP1	magenta
RWDD1	magenta
RWDD3	magenta
S100A6	magenta
S1PR1	magenta
SCARB1	magenta
SCD5	magenta
SCML1	magenta
SEL1L3	magenta
SEMA5B	magenta
SERPINB1	mediumpurple3
SERPINB6	mediumpurple3
SETD6	magenta
SFMBT1	mediumpurple3
SFMBT2	magenta
