Gene	Color
AADAC	purple
ACTC1	bisque4
ACTR3B	purple
ACTR5	purple
ADAM9	purple
ADAMTS15	bisque4
ADAMTS8	bisque4
ADCK5	purple
ADH1B	bisque4
ADK	purple
ALDH1A3	bisque4
ALKBH2	purple
ALPK3	purple
AMOTL2	purple
ANGPT2	purple
ANGPTL1	bisque4
ANP32B	purple
ANXA13	purple
AP4E1	purple
APOE	purple
ARF5	purple
ARFRP1	purple
ARHGAP42	purple
ASIP	purple
ATAD3B	purple
ATMIN	purple
B3GALT6	purple
B3GNT3	purple
B4GALNT1	purple
BAMBI	bisque4
BAX	purple
BCL7C	purple
BEND6	bisque4
BHLHB9	purple
BRAT1	purple
BUD13	purple
C12orf76	purple
C16orf91	purple
C19orf25	purple
C19orf48	purple
C1R	purple
C1orf198	purple
C20orf27	purple
C8orf82	purple
C9orf24	purple
CA5B	purple
CALD1	purple
CBR4	purple
CCDC102A	bisque4
CCDC124	purple
CCDC167	purple
CCDC30	purple
CCNB1IP1	purple
CCR10	purple
CCS	purple
CD3D	purple
CDK4	purple
CGREF1	bisque4
CHCHD5	purple
CHODL	bisque4
CKLF	purple
CLDN18	purple
CLEC3B	purple
CLIC6	purple
CNPY4	purple
COL1A1	purple
COL6A1	bisque4
CRELD1	purple
CRIM1	purple
CSAG1	purple
CST11	purple
CST3	purple
CTHRC1	purple
CTU2	purple
CYC1	purple
CYHR1	purple
CYP2J2	purple
CYP2R1	purple
CYP4B1	bisque4
DCN	purple
DCP2	purple
DDX49	purple
DDX58	purple
DHX37	purple
DIRC3	bisque4
DNAJC17	purple
DOK2	purple
DPM3	purple
ECI1	purple
ECSIT	purple
EDEM3	purple
EEF1B2	purple
EEF1D	purple
EGFR	purple
EIF3F	purple
EIF3G	purple
EML6	purple
ERCC1	purple
ETFDH	purple
EXOSC5	purple
FAU	purple
FBXL15	purple
FBXL6	purple
FGG	purple
FHL5	bisque4
GJA1	purple
GNB2	purple
GNLY	purple
GPR153	bisque4
GSS	purple
GSTM2	purple
GTF3C1	purple
HAUS7	purple
HMBS	purple
HSD17B10	purple
HSPBP1	purple
HYAL3	purple
IFNAR1	purple
IFT43	purple
IGF2R	purple
IL2RG	purple
INHA	purple
INTS9	purple
IPP	bisque4
IQGAP2	purple
ISCA2	purple
ITGAV	purple
ITPA	purple
ITPKA	purple
ITSN1	purple
IZUMO4	purple
JAZF1	bisque4
KCNIP3	bisque4
KDM1B	purple
KIAA1614	bisque4
KIAA1958	purple
KIFC3	bisque4
KLHL22	purple
KLK7	bisque4
KPTN	purple
LAMA2	purple
LENG1	purple
LGALS9B	bisque4
LHFPL3	bisque4
LHPP	purple
LIN7B	purple
LINGO2	bisque4
LRP11	purple
LRR1	purple
LSM7	purple
METTL7A	purple
MLST8	purple
MORC3	purple
MPP5	purple
MRPL24	purple
MRPS11	purple
MRTO4	purple
MZB1	purple
NDUFA2	purple
NDUFB7	purple
NECAB3	purple
NEFH	bisque4
NFIX	bisque4
NHP2	purple
NINL	purple
NIPBL	purple
NKD2	purple
NME2	purple
NSDHL	purple
NSUN5	purple
NT5C	purple
NUDT3	purple
OMP	purple
OR1Q1	purple
PAQR7	purple
PBX1	bisque4
PCDHB9	purple
PDE4A	purple
PDZK1IP1	purple
PES1	purple
PGM2L1	purple
PHACTR2	purple
PHB	purple
PHB2	purple
PHLDB1	bisque4
PHLDB2	purple
PIM2	bisque4
PIN1	purple
PKNOX1	purple
PLAC8L1	purple
PLAC9	purple
PLEKHA4	bisque4
PLEKHF1	purple
PLK1	purple
PMEL	purple
PMF1	purple
PNPLA4	purple
POLR2E	purple
POLR2G	purple
POLR3K	purple
PPIP5K1	purple
PQBP1	purple
PRPS2	bisque4
PRUNE2	purple
PSMD9	purple
PSRC1	purple
PTK2	purple
PTPN7	purple
PYY	purple
QTRT1	purple
R3HCC1	purple
RECQL4	purple
REM1	purple
RGS14	purple
RHOC	purple
RNASEH2B	purple
RPL10A	purple
RPL11	purple
RPL12	purple
RPL13A	purple
RPL14	purple
RPL17	purple
RPL19	purple
RPL24	purple
RPL27	purple
RPL29	purple
RPL3	purple
RPL35	purple
RPL35A	purple
RPL37A	purple
RPL39	purple
RPL4	purple
RPL41	purple
RPL6	purple
RPL8	purple
RPLP0	purple
RPRM	bisque4
RPS10	purple
RPS11	purple
RPS12	purple
RPS13	purple
RPS14	purple
RPS15A	purple
RPS16	purple
RPS21	purple
RPS24	purple
RPS27A	purple
RPS29	purple
RPS3A	purple
RPS5	purple
RPS7	purple
RPS8	purple
RPSA	purple
RRP9	purple
RUNX1	purple
RXFP1	purple
SAMD15	purple
SARS2	purple
SCARF2	purple
SCGB1D4	purple
SCUBE2	purple
SEC14L1	purple
SEC24A	purple
SF3B5	purple
SHISA3	bisque4
SIVA1	purple
SLC16A6	purple
SLC23A1	bisque4
SLC29A1	purple
SLC6A13	purple
SNAI2	bisque4
SNRPD2	purple
SNURF	purple
SNX32	purple
SP100	purple
SPINK2	purple
SSBP4	purple
ST3GAL3	bisque4
STOM	purple
STOML2	purple
SULF2	purple
SYNPO	purple
TACO1	purple
TAF13	purple
TBCB	purple
TCEA2	purple
TCEAL3	purple
THYN1	purple
TIMM10	purple
TIMM13	purple
TLCD2	purple
TMEM204	purple
TMEM42	purple
TMSB4X	purple
TNFAIP2	purple
TP53I3	purple
TRERF1	bisque4
TRMT61A	purple
TUFT1	purple
UBA6	purple
UROD	purple
VEGFB	purple
VSTM2L	bisque4
VTI1A	purple
ZCCHC24	purple
ZNF117	purple
ZNF205	purple
ZNF37A	purple
ZNF480	purple
ZNF552	purple
ZNF675	purple
ZNF701	purple
ZNF800	purple
ZNF816	purple
ZNF880	bisque4
