Term	Category	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
axonal fasciculation	GOTERM_BP_DIRECT	3	3.79746835443038	0.0022178846378241	SEMA5A, SEMA3A, RTN4	73	19	19453	42.07570295602019	0.7725834619629993	1.0	1.0
negative regulation of axon extension	GOTERM_BP_DIRECT	3	3.79746835443038	0.0047984161389926	SEMA5A, SEMA3C, SEMA3A	73	28	19453	28.5513698630137	0.9595725790292452	1.0	1.0
semaphorin-plexin signaling pathway	GOTERM_BP_DIRECT	3	3.79746835443038	0.0078463250993015	SEMA5A, SEMA3C, SEMA3A	73	36	19453	22.20662100456621	0.994774154853608	1.0	1.0
positive regulation of epithelial cell migration	GOTERM_BP_DIRECT	3	3.79746835443038	0.0091631214790117	BMPR2, ITGA3, RTN4	73	39	19453	20.498419388830342	0.9978450243560538	1.0	1.0
negative chemotaxis	GOTERM_BP_DIRECT	3	3.79746835443038	0.009622477330067	SEMA5A, SEMA3C, SEMA3A	73	40	19453	19.985958904109587	0.9984183257900784	1.0	1.0
neural crest cell migration	GOTERM_BP_DIRECT	3	3.79746835443038	0.0136536258629485	SEMA5A, SEMA3C, SEMA3A	73	48	19453	16.65496575342466	0.9998958534786532	1.0	1.0
positive regulation of cell migration	GOTERM_BP_DIRECT	5	6.329113924050633	0.0172301318762517	SEMA5A, SEMA3C, SEMA3A, PDGFC, F3	73	267	19453	4.990251911138474	0.9999907663743884	1.0	1.0
dichotomous subdivision of terminal units	GOTERM_BP_DIRECT	2	2.5316455696202533	0.0183715331038279	SEMA3C, SEMA3A	73	5	19453	106.5917808219178	0.9999957465116728	1.0	1.0
response to xenobiotic stimulus	GOTERM_BP_DIRECT	5	6.329113924050633	0.0194373465365759	SEMA3C, MAOB, LOX, ITGA3, TNFRSF11B	73	277	19453	4.810098412541417	0.9999979390980565	1.0	1.0
Rho protein signal transduction	GOTERM_BP_DIRECT	3	3.79746835443038	0.0201776262322114	ITGA3, PLEKHG5, RHOB	73	59	19453	13.54980264685396	0.9999987546716488	1.0	1.0
activation of Janus kinase activity	GOTERM_BP_DIRECT	2	2.5316455696202533	0.0220056985503401	GHR, PRLR	73	6	19453	88.82648401826484	0.999999641632777	1.0	1.0
positive regulation of angiogenesis	GOTERM_BP_DIRECT	4	5.063291139240507	0.0236967019321541	SEMA5A, F3, RTN4, RHOB	73	166	19453	6.421191615778182	0.9999998870119466	1.0	1.0
positive regulation of axon extension	GOTERM_BP_DIRECT	2	2.5316455696202533	0.0256265958470872	SEMA5A, BMPR2	73	7	19453	76.13698630136986	0.9999999698104968	1.0	1.0
activation of transmembrane tyrosine kinase activity	GOTERM_BP_DIRECT	2	2.5316455696202533	0.0256265958470872	PDGFC, PRLR	73	7	19453	76.13698630136986	0.9999999698104968	1.0	1.0
positive regulation of endothelial cell migration	GOTERM_BP_DIRECT	3	3.79746835443038	0.0262989594083498	BMPR2, ATOH8, RHOB	73	68	19453	11.756446414182111	0.9999999809498687	1.0	1.0
positive regulation of protein kinase B signaling	GOTERM_BP_DIRECT	4	5.063291139240507	0.0312803805751484	SEMA5A, PDGFC, F3, RTN4	73	185	19453	5.761717882265828	0.9999999993775138	1.0	1.0
mitral valve morphogenesis	GOTERM_BP_DIRECT	2	2.5316455696202533	0.0328287768599124	BMPR2, SOX4	73	9	19453	59.21765601217656	0.9999999997858366	1.0	1.0
positive regulation of endothelial cell proliferation	GOTERM_BP_DIRECT	3	3.79746835443038	0.0338614915094118	SEMA5A, BMPR2, F3	73	78	19453	10.249209694415171	0.9999999998949792	1.0	1.0
axon guidance	GOTERM_BP_DIRECT	4	5.063291139240507	0.035725492920964	SEMA5A, TTC8, SEMA3C, SEMA3A	73	195	19453	5.466245170354759	0.999999999971036	1.0	1.0
response to toxic substance	GOTERM_BP_DIRECT	3	3.79746835443038	0.036276982664126	NQO1, MAOB, BPHL	73	81	19453	9.86960933536276	0.999999999980224	1.0	1.0
limb bud formation	GOTERM_BP_DIRECT	2	2.5316455696202533	0.0399784562032018	SEMA3C, SOX4	73	11	19453	48.45080946450809	0.9999999999984815	1.0	1.0
cardiac right ventricle morphogenesis	GOTERM_BP_DIRECT	2	2.5316455696202533	0.0470760112485922	SEMA3C, SOX4	73	13	19453	40.99683877766069	0.9999999999999892	1.0	1.0
