ID	Type	Exp	Gene
GSM3119483	Control	7.36403821857714	ITGA3
GSM3119484	Control	7.68401538365677	ITGA3
GSM3119485	Control	7.22738623626491	ITGA3
GSM3119486	RSA	8.88261482892737	ITGA3
GSM3119487	RSA	7.88959096331189	ITGA3
GSM3119488	RSA	8.22545477899873	ITGA3
GSM5393469	Control	7.57702145150519	ITGA3
GSM5393470	Control	7.41567914629436	ITGA3
GSM5393471	Control	7.14882301253992	ITGA3
GSM5393472	RSA	7.87866637545706	ITGA3
GSM5393473	RSA	8.79045382883409	ITGA3
GSM5393474	RSA	8.46539474732087	ITGA3
GSM3119483	Control	7.55701123046733	PLEKHG5
GSM3119484	Control	7.63202918020538	PLEKHG5
GSM3119485	Control	7.45902444235394	PLEKHG5
GSM3119486	RSA	6.69662533465864	PLEKHG5
GSM3119487	RSA	6.8210033755401	PLEKHG5
GSM3119488	RSA	7.07086491478346	PLEKHG5
GSM5393469	Control	7.81258043503562	PLEKHG5
GSM5393470	Control	7.32663407662147	PLEKHG5
GSM5393471	Control	7.17146015713577	PLEKHG5
GSM5393472	RSA	6.77062638444843	PLEKHG5
GSM5393473	RSA	7.51610261914186	PLEKHG5
GSM5393474	RSA	6.7412250237254	PLEKHG5
GSM3119483	Control	9.47185021895399	RHOB
GSM3119484	Control	9.78154034547382	RHOB
GSM3119485	Control	10.0648760111992	RHOB
GSM3119486	RSA	11.942243045085	RHOB
GSM3119487	RSA	11.4886706194344	RHOB
GSM3119488	RSA	11.0988670132332	RHOB
GSM5393469	Control	10.252819088283	RHOB
GSM5393470	Control	10.2243700181829	RHOB
GSM5393471	Control	10.4276662410808	RHOB
GSM5393472	RSA	10.6844814530166	RHOB
GSM5393473	RSA	11.0537122803634	RHOB
GSM5393474	RSA	11.0418859265202	RHOB
GSM3119483	Control	3.48124240477722	GHR
GSM3119484	Control	3.33274310524984	GHR
GSM3119485	Control	3.47773909144922	GHR
GSM3119486	RSA	3.79328027132053	GHR
GSM3119487	RSA	3.71133382560063	GHR
GSM3119488	RSA	3.9580604228351	GHR
GSM5393469	Control	3.84878089689853	GHR
GSM5393470	Control	3.34985858960563	GHR
GSM5393471	Control	3.51333285894706	GHR
GSM5393472	RSA	3.49315611504387	GHR
GSM5393473	RSA	3.54286305868917	GHR
GSM5393474	RSA	4.15077269434422	GHR
GSM3119483	Control	9.38138445181269	PRLR
GSM3119484	Control	8.46033503819365	PRLR
GSM3119485	Control	8.19800994074864	PRLR
GSM3119486	RSA	9.76485934240808	PRLR
GSM3119487	RSA	8.48047226241815	PRLR
GSM3119488	RSA	8.9019806727738	PRLR
GSM5393469	Control	8.94655619108943	PRLR
GSM5393470	Control	8.68105209006513	PRLR
GSM5393471	Control	7.82766177529234	PRLR
GSM5393472	RSA	8.33070188015655	PRLR
GSM5393473	RSA	9.68685944858935	PRLR
GSM5393474	RSA	9.77379157296803	PRLR
GSM3119483	Control	6.56636499972593	SEMA5A
GSM3119484	Control	6.94330651826602	SEMA5A
GSM3119485	Control	7.42611694125051	SEMA5A
GSM3119486	RSA	7.11690428787365	SEMA5A
GSM3119487	RSA	7.15930048360838	SEMA5A
GSM3119488	RSA	6.69576786579352	SEMA5A
GSM5393469	Control	6.69460950265286	SEMA5A
GSM5393470	Control	7.01862244034304	SEMA5A
GSM5393471	Control	6.58025950294654	SEMA5A
GSM5393472	RSA	6.93288724588269	SEMA5A
GSM5393473	RSA	7.63477478834867	SEMA5A
GSM5393474	RSA	7.26365058250464	SEMA5A
GSM3119483	Control	4.48313636103535	PDGFC
GSM3119484	Control	4.54348642191915	PDGFC
GSM3119485	Control	3.97409546276406	PDGFC
GSM3119486	RSA	5.15277170679177	PDGFC
GSM3119487	RSA	4.59470517962462	PDGFC
GSM3119488	RSA	5.12130805066825	PDGFC
GSM5393469	Control	4.30435035539182	PDGFC
GSM5393470	Control	4.73790582239504	PDGFC
GSM5393471	Control	4.16138378435328	PDGFC
GSM5393472	RSA	4.69840867989933	PDGFC
GSM5393473	RSA	4.91807573610119	PDGFC
GSM5393474	RSA	5.12058907300098	PDGFC
GSM3119483	Control	8.72055403601057	F3
GSM3119484	Control	8.42984045713856	F3
GSM3119485	Control	8.52079547726296	F3
GSM3119486	RSA	10.7210983155083	F3
GSM3119487	RSA	9.33213614665603	F3
GSM3119488	RSA	10.4774954894778	F3
GSM5393469	Control	9.4328673096345	F3
GSM5393470	Control	8.95825855416804	F3
GSM5393471	Control	8.59972328609692	F3
GSM5393472	RSA	9.37189756331404	F3
GSM5393473	RSA	10.1452779061237	F3
GSM5393474	RSA	9.56623423212834	F3
GSM3119483	Control	9.03600686699704	RTN4
GSM3119484	Control	9.11268008692316	RTN4
GSM3119485	Control	9.45313322055207	RTN4
GSM3119486	RSA	9.76151169915315	RTN4
GSM3119487	RSA	9.65484881124851	RTN4
GSM3119488	RSA	9.4011450134278	RTN4
GSM5393469	Control	9.45664929293156	RTN4
GSM5393470	Control	8.97030787374036	RTN4
GSM5393471	Control	9.34653801647448	RTN4
GSM5393472	RSA	9.39433897623034	RTN4
GSM5393473	RSA	9.79027923270037	RTN4
GSM5393474	RSA	9.60319805343436	RTN4
GSM3119483	Control	4.48313636103535	PDGFC
GSM3119484	Control	4.54348642191915	PDGFC
GSM3119485	Control	3.97409546276406	PDGFC
GSM3119486	RSA	5.15277170679177	PDGFC
GSM3119487	RSA	4.59470517962462	PDGFC
GSM3119488	RSA	5.12130805066825	PDGFC
GSM5393469	Control	4.30435035539182	PDGFC
GSM5393470	Control	4.73790582239504	PDGFC
GSM5393471	Control	4.16138378435328	PDGFC
GSM5393472	RSA	4.69840867989933	PDGFC
GSM5393473	RSA	4.91807573610119	PDGFC
GSM5393474	RSA	5.12058907300098	PDGFC
GSM3119483	Control	9.38138445181269	PRLR
GSM3119484	Control	8.46033503819365	PRLR
GSM3119485	Control	8.19800994074864	PRLR
GSM3119486	RSA	9.76485934240808	PRLR
GSM3119487	RSA	8.48047226241815	PRLR
GSM3119488	RSA	8.9019806727738	PRLR
GSM5393469	Control	8.94655619108943	PRLR
GSM5393470	Control	8.68105209006513	PRLR
GSM5393471	Control	7.82766177529234	PRLR
GSM5393472	RSA	8.33070188015655	PRLR
GSM5393473	RSA	9.68685944858935	PRLR
GSM5393474	RSA	9.77379157296803	PRLR
