Chemical Name	Chemical ID	CAS RN	Interaction	Interaction Actions	Reference Count	Organism Count
1,2-Dimethylhydrazine	D019813	540-73-8	1,2-Dimethylhydrazine results in decreased expression of GHR mRNA	decreases^expression	1	1
1,2-dithiol-3-thione	C049325		1,2-dithiol-3-thione results in decreased expression of GHR mRNA	decreases^expression	2	2
1-Naphthylisothiocyanate	D015058	551-06-4	1-Naphthylisothiocyanate results in decreased expression of GHR mRNA	decreases^expression	1	1
2-(1'H-indole-3'-carbonyl)thiazole-4-carboxylic acid methyl ester	C548651		2-(1'H-indole-3'-carbonyl)thiazole-4-carboxylic acid methyl ester results in decreased expression of GHR mRNA	decreases^expression	1	1
2,2-(2-chlorophenyl-4'-chlorophenyl)-1,1-dichloroethene	C054919		2,2-(2-chlorophenyl-4'-chlorophenyl)-1,1-dichloroethene results in decreased expression of GHR mRNA	decreases^expression	1	1
2,6-dinitrotoluene	C023514	606-20-2	2,6-dinitrotoluene results in decreased expression of GHR mRNA	decreases^expression	1	1
3,4,5,3',4'-pentachlorobiphenyl	C023035	57465-28-8	3,4,5,3',4'-pentachlorobiphenyl results in decreased expression of GHR mRNA	decreases^expression	1	1
4,4'-diaminodiphenylmethane	C009505	101-77-9	4,4'-diaminodiphenylmethane results in decreased expression of GHR mRNA	decreases^expression	1	1
4-toluidine	C029370	106-49-0	4-toluidine results in decreased expression of GHR mRNA	decreases^expression	1	1
9,10-Dimethyl-1,2-benzanthracene	D015127	57-97-6	9,10-Dimethyl-1,2-benzanthracene results in decreased expression of GHR mRNA	decreases^expression	1	1
acetamide	C030686	60-35-5	acetamide results in decreased expression of GHR mRNA	decreases^expression	1	1
Acetaminophen	D000082	103-90-2	Acetaminophen results in decreased expression of GHR mRNA	decreases^expression	2	1
Acrylamide	D020106	79-06-1	Acrylamide results in decreased expression of GHR mRNA	decreases^expression	1	1
Aflatoxin B1	D016604	1162-65-8	Aflatoxin B1 results in decreased expression of GHR mRNA	decreases^expression	3	2
Amitrole	D000640	61-82-5	Amitrole results in decreased expression of GHR mRNA	decreases^expression	1	1
Ammonium Chloride	D000643	12125-02-9	Ammonium Chloride results in decreased expression of GHR mRNA	decreases^expression	1	1
arsenite	C015001	15502-74-6	arsenite results in decreased expression of GHR mRNA	decreases^expression	1	1
Asbestos, Crocidolite	D017638	12001-28-4	Asbestos, Crocidolite results in decreased expression of GHR mRNA	decreases^expression	2	2
