Chemical Name	Chemical ID	CAS RN	Interaction	Interaction Actions	Reference Count	Organism Count
1,2,5,6-dibenzanthracene	C026486	53-70-3	1,2,5,6-dibenzanthracene results in decreased expression of PDGFC mRNA	decreases^expression	1	1
1-Methyl-4-phenylpyridinium	D015655	48134-75-4	1-Methyl-4-phenylpyridinium results in decreased expression of PDGFC mRNA	decreases^expression	1	1
2-methoxy-N-(3-methyl-2-oxo-1,2,3,4-tetrahydroquinazolin-6-yl)benzenesulfonamide	C577942		2-methoxy-N-(3-methyl-2-oxo-1,2,3,4-tetrahydroquinazolin-6-yl)benzenesulfonamide results in decreased expression of PDGFC mRNA	decreases^expression	1	1
7,8-Dihydro-7,8-dihydroxybenzo(a)pyrene 9,10-oxide	D015123	55097-80-8	7,8-Dihydro-7,8-dihydroxybenzo(a)pyrene 9,10-oxide results in decreased expression of PDGFC mRNA	decreases^expression	1	1
Acetaminophen	D000082	103-90-2	Acetaminophen results in decreased expression of PDGFC mRNA	decreases^expression	1	1
Air Pollutants	D000393		Air Pollutants analog results in decreased expression of PDGFC mRNA	decreases^expression	1	1
aristolochic acid I	C000228	313-67-7	aristolochic acid I results in decreased expression of PDGFC mRNA	decreases^expression	1	1
Benzo(a)pyrene	D001564	50-32-8	Benzo(a)pyrene results in decreased expression of PDGFC mRNA	decreases^expression	4	1
bis(4-hydroxyphenyl)sulfone	C543008	80-09-1	bis(4-hydroxyphenyl)sulfone results in decreased expression of PDGFC mRNA	decreases^expression	1	1
bisphenol A	C006780	80-05-7	bisphenol A results in decreased expression of PDGFC mRNA	decreases^expression	4	2
bis(tri-n-butyltin)oxide	C005961		bis(tri-n-butyltin)oxide results in decreased expression of PDGFC mRNA	decreases^expression	1	1
Cadmium Chloride	D019256	10108-64-2	Cadmium Chloride results in decreased expression of PDGFC mRNA	decreases^expression	1	1
Cannabidiol	D002185	13956-29-1	Cannabidiol results in decreased expression of PDGFC mRNA	decreases^expression	1	1
chromium hexavalent ion	C074702	18540-29-9	chromium hexavalent ion results in decreased expression of PDGFC mRNA	decreases^expression	1	1
cobaltous chloride	C018021	7646-79-9	cobaltous chloride results in decreased expression of PDGFC mRNA	decreases^expression	2	2
cyanoginosin LR	C057862		cyanoginosin LR results in decreased expression of PDGFC mRNA	decreases^expression	1	1
Cyclosporine	D016572	59865-13-3	Cyclosporine results in decreased expression of PDGFC mRNA	decreases^expression	1	1
deoxynivalenol	C007262	51481-10-8	deoxynivalenol results in decreased expression of PDGFC mRNA	decreases^expression	1	1
Dietary Fats	D004041		Dietary Fats results in decreased expression of PDGFC mRNA	decreases^expression	1	1
Doxorubicin	D004317	23214-92-8	Doxorubicin results in decreased expression of PDGFC mRNA	decreases^expression	1	1
Endosulfan	D004726	115-29-7	Endosulfan results in decreased expression of PDGFC mRNA	decreases^expression	1	1
Fenretinide	D017313	65646-68-6	Fenretinide results in decreased expression of PDGFC mRNA	decreases^expression	1	1
GSK1210151A	C568713		GSK1210151A results in decreased expression of PDGFC mRNA	decreases^expression	1	1
jinfukang	C544151		jinfukang results in decreased expression of PDGFC mRNA	decreases^expression	1	1
(+)-JQ1 compound	C561695		(+)-JQ1 compound results in decreased expression of PDGFC mRNA	decreases^expression	2	2
manganese chloride	C025340	7773-01-5	manganese chloride results in decreased expression of PDGFC mRNA	decreases^expression	1	1
N-(2-(1,1'-bicyclopropyl)-2-ylphenyl)-3-(difluoromethyl)-1-methyl-1H-pyrazole-4-carboxamide	C583365		N-(2-(1,1'-bicyclopropyl)-2-ylphenyl)-3-(difluoromethyl)-1-methyl-1H-pyrazole-4-carboxamide results in decreased expression of PDGFC mRNA	decreases^expression	1	1
Ozone	D010126	10028-15-6	Ozone results in decreased expression of PDGFC mRNA	decreases^expression	1	1
Palm Oil	D000073878		Palm Oil results in decreased expression of PDGFC mRNA	decreases^expression	1	1
Phenobarbital	D010634	50-06-6	Phenobarbital results in decreased expression of PDGFC mRNA	decreases^expression	1	1
phosphinothricin	C003121	51276-47-2	phosphinothricin results in decreased expression of PDGFC mRNA	decreases^expression	1	1
potassium chromate(VI)	C027373	7789-00-6	potassium chromate(VI) results in decreased expression of PDGFC mRNA	decreases^expression	2	1
Quercetin	D011794	117-39-5	Quercetin results in decreased expression of PDGFC mRNA	decreases^expression	1	1
S-(1,2-dichlorovinyl)cysteine	C039961	627-72-5	S-(1,2-dichlorovinyl)cysteine results in decreased expression of PDGFC mRNA	decreases^expression	1	1
S-2-pentyl-4-pentynoic hydroxamic acid	C513635		S-2-pentyl-4-pentynoic hydroxamic acid results in decreased expression of PDGFC mRNA	decreases^expression	1	1
Silicon Dioxide	D012822	7631-86-9	Silicon Dioxide analog results in decreased expression of PDGFC mRNA	decreases^expression	1	1
Silver Compounds	D018030		Silver Compounds results in decreased expression of PDGFC mRNA	decreases^expression	1	1
T-2 Toxin	D013605	21259-20-1	T-2 Toxin results in decreased expression of PDGFC mRNA	decreases^expression	1	1
Tetrachlorodibenzodioxin	D013749	1746-01-6	Tetrachlorodibenzodioxin results in decreased expression of PDGFC mRNA	decreases^expression	2	1
Tobacco Smoke Pollution	D014028		Tobacco Smoke Pollution results in decreased expression of PDGFC mRNA	decreases^expression	2	1
Tretinoin	D014212	302-79-4	Tretinoin results in decreased expression of PDGFC protein	decreases^expression	1	1
Valproic Acid	D014635	99-66-1	Valproic Acid results in decreased expression of PDGFC mRNA	decreases^expression	1	1
Zoledronic Acid	D000077211		Zoledronic Acid results in decreased expression of PDGFC mRNA	decreases^expression	1	1
