Chemical Name	Chemical ID	CAS RN	Interaction	Interaction Actions	Reference Count	Organism Count
1,2-Dimethylhydrazine	D019813	540-73-8	1,2-Dimethylhydrazine results in decreased expression of PRLR mRNA	decreases^expression	1	1
1-Naphthylisothiocyanate	D015058	551-06-4	1-Naphthylisothiocyanate results in decreased expression of PRLR mRNA	decreases^expression	1	1
2',3,3',4',5-pentachloro-4-hydroxybiphenyl	C111118		2',3,3',4',5-pentachloro-4-hydroxybiphenyl results in decreased expression of PRLR mRNA	decreases^expression	1	1
2,3,7,8-tetrachlorodibenzofuran	C014211	51207-31-9	2,3,7,8-tetrachlorodibenzofuran results in decreased expression of PRLR mRNA	decreases^expression	1	1
3,4,5,3',4'-pentachlorobiphenyl	C023035	57465-28-8	3,4,5,3',4'-pentachlorobiphenyl results in decreased expression of PRLR mRNA	decreases^expression	1	1
3-hydroxyacetanilide	C026137	621-42-1	3-hydroxyacetanilide results in decreased expression of PRLR mRNA	decreases^expression	1	1
4,4'-diaminodiphenylmethane	C009505	101-77-9	4,4'-diaminodiphenylmethane results in decreased expression of PRLR mRNA	decreases^expression	1	1
acetamide	C030686	60-35-5	acetamide results in decreased expression of PRLR mRNA	decreases^expression	1	1
Acetaminophen	D000082	103-90-2	Acetaminophen results in decreased expression of PRLR mRNA	decreases^expression	2	2
Acrylamide	D020106	79-06-1	Acrylamide results in decreased expression of PRLR mRNA	decreases^expression	2	2
Aflatoxin B1	D016604	1162-65-8	Aflatoxin B1 results in decreased expression of PRLR mRNA	decreases^expression	1	1
Amitrole	D000640	61-82-5	Amitrole results in decreased expression of PRLR mRNA	decreases^expression	1	1
Antirheumatic Agents	D018501		Antirheumatic Agents results in decreased expression of PRLR mRNA	decreases^expression	1	1
AZM551248	C547126		AZM551248 results in decreased expression of PRLR mRNA	decreases^expression	1	1
benz(a)anthracene	C030935	56-55-3	benz(a)anthracene results in decreased expression of PRLR mRNA	decreases^expression	1	1
Benzo(a)pyrene	D001564	50-32-8	Benzo(a)pyrene results in decreased expression of PRLR mRNA	decreases^expression	3	2
bisphenol A	C006780	80-05-7	bisphenol A results in decreased expression of PRLR mRNA	decreases^expression	3	2
bisphenol A	C006780	80-05-7	bisphenol A results in decreased expression of PRLR protein	decreases^expression	1	1
Cadmium	D002104	7440-43-9	Cadmium results in decreased expression of PRLR mRNA	decreases^expression	1	1
Carbon Tetrachloride	D002251	56-23-5	Carbon Tetrachloride results in decreased expression of PRLR mRNA	decreases^expression	2	2
Chloroquine	D002738	54-05-7	Chloroquine results in decreased expression of PRLR mRNA	decreases^expression	1	1
clothianidin	C480342		clothianidin results in decreased expression of PRLR mRNA	decreases^expression	1	1
copper(II) nitrate	C516433		copper(II) nitrate results in decreased expression of PRLR mRNA	decreases^expression	1	1
Cyclophosphamide	D003520	50-18-0	Cyclophosphamide results in decreased expression of PRLR mRNA	decreases^expression	1	1
Cyclosporine	D016572	59865-13-3	Cyclosporine results in decreased expression of PRLR mRNA	decreases^expression	3	3
cyproconazole	C093628		cyproconazole results in decreased expression of PRLR mRNA	decreases^expression	1	1
deoxynivalenol	C007262	51481-10-8	deoxynivalenol results in decreased expression of PRLR mRNA	decreases^expression	1	1
Dextran Sulfate	D016264	9042-14-2	Dextran Sulfate results in decreased expression of PRLR mRNA	decreases^expression	1	1
Diazinon	D003976	333-41-5	Diazinon results in decreased expression of PRLR mRNA	decreases^expression	1	1
Dibutyl Phthalate	D003993	84-74-2	Dibutyl Phthalate results in decreased expression of PRLR mRNA	decreases^expression	1	1
Diethylstilbestrol	D004054	56-53-1	Diethylstilbestrol results in decreased expression of PRLR mRNA	decreases^expression	2	1
entinostat	C118739		entinostat results in decreased expression of PRLR mRNA	decreases^expression	1	1
epoxiconazole	C109476		epoxiconazole results in decreased expression of PRLR mRNA	decreases^expression	2	1
Estradiol	D004958	50-28-2	Estradiol results in decreased expression of PRLR mRNA	decreases^expression	1	1
Ethinyl Estradiol	D004997	57-63-6	Ethinyl Estradiol results in decreased expression of PRLR mRNA	decreases^expression	1	1
Ethyl Methanesulfonate	D005020	62-50-0	Ethyl Methanesulfonate results in decreased expression of PRLR mRNA	decreases^expression	1	1
Flavonoids	D005419		Flavonoids results in decreased expression of PRLR mRNA	decreases^expression	1	1
Folic Acid	D005492	59-30-3	Folic Acid results in decreased expression of PRLR mRNA	decreases^expression	2	2
fumonisin B1	C056933	116355-83-0	fumonisin B1 results in decreased expression of PRLR mRNA	decreases^expression	1	1
Gentamicins	D005839		Gentamicins results in decreased expression of PRLR mRNA	decreases^expression	1	1
glycidamide	C071834		glycidamide results in decreased expression of PRLR mRNA	decreases^expression	1	1
glyphosate	C010974	1071-83-6	glyphosate results in decreased expression of PRLR mRNA	decreases^expression	1	1
Hydrogen Peroxide	D006861	7722-84-1	Hydrogen Peroxide results in decreased expression of PRLR mRNA	decreases^expression	1	1
(+)-JQ1 compound	C561695		(+)-JQ1 compound results in decreased expression of PRLR mRNA	decreases^expression	2	1
lead acetate	C008261	301-04-2	lead acetate results in decreased expression of PRLR mRNA	decreases^expression	1	1
