Chemical Name	Chemical ID	CAS RN	Interaction	Interaction Actions	Reference Count	Organism Count
1,2-Dimethylhydrazine	D019813	540-73-8	[1,2-Dimethylhydrazine co-treated with Folic Acid] results in decreased expression of GHR mRNA	affects^cotreatment|decreases^expression	1	1
1,2-Dimethylhydrazine	D019813	540-73-8	1,2-Dimethylhydrazine results in decreased expression of GHR mRNA	decreases^expression	1	1
1,2-dithiol-3-thione	C049325		1,2-dithiol-3-thione results in decreased expression of GHR mRNA	decreases^expression	2	2
1-Methyl-3-isobutylxanthine	D015056	28822-58-4	[INS protein co-treated with Dexamethasone co-treated with 1-Methyl-3-isobutylxanthine co-treated with Indomethacin] results in increased expression of GHR mRNA	affects^cotreatment|increases^expression	1	1
1-Naphthylisothiocyanate	D015058	551-06-4	1-Naphthylisothiocyanate results in decreased expression of GHR mRNA	decreases^expression	1	1
2-(1'H-indole-3'-carbonyl)thiazole-4-carboxylic acid methyl ester	C548651		2-(1'H-indole-3'-carbonyl)thiazole-4-carboxylic acid methyl ester results in decreased expression of GHR mRNA	decreases^expression	1	1
2,2-(2-chlorophenyl-4'-chlorophenyl)-1,1-dichloroethene	C054919		2,2-(2-chlorophenyl-4'-chlorophenyl)-1,1-dichloroethene results in decreased expression of GHR mRNA	decreases^expression	1	1
2,4-dinitrotoluene	C016403	121-14-2	2,4-dinitrotoluene affects the expression of GHR mRNA	affects^expression	1	1
2,6-dinitrotoluene	C023514	606-20-2	2,6-dinitrotoluene results in decreased expression of GHR mRNA	decreases^expression	1	1
3,4,5,3',4'-pentachlorobiphenyl	C023035	57465-28-8	3,4,5,3',4'-pentachlorobiphenyl results in decreased expression of GHR mRNA	decreases^expression	1	1
3,4,5,3',4'-pentachlorobiphenyl	C023035	57465-28-8	3,4,5,3',4'-pentachlorobiphenyl results in increased expression of GHR mRNA	increases^expression	1	1
4,4'-diaminodiphenylmethane	C009505	101-77-9	4,4'-diaminodiphenylmethane results in decreased expression of GHR mRNA	decreases^expression	1	1
4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide	C459179		[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of GHR mRNA	affects^cotreatment|increases^expression	1	1
4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide	C459179		[NOG protein co-treated with Valproic Acid co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of GHR mRNA	affects^cotreatment|increases^expression	1	1
4-toluidine	C029370	106-49-0	4-toluidine results in decreased expression of GHR mRNA	decreases^expression	1	1
4-vinyl-1-cyclohexene dioxide	C012606		4-vinyl-1-cyclohexene dioxide affects the expression of GHR mRNA	affects^expression	1	1
9,10-Dimethyl-1,2-benzanthracene	D015127	57-97-6	9,10-Dimethyl-1,2-benzanthracene results in decreased expression of GHR mRNA	decreases^expression	1	1
acetamide	C030686	60-35-5	acetamide results in decreased expression of GHR mRNA	decreases^expression	1	1
Acetaminophen	D000082	103-90-2	Acetaminophen affects the expression of GHR mRNA	affects^expression	1	1
Acetaminophen	D000082	103-90-2	Acetaminophen results in decreased expression of GHR mRNA	decreases^expression	2	1
Acetaminophen	D000082	103-90-2	Acetaminophen results in increased expression of GHR mRNA	increases^expression	2	1
Acetaminophen	D000082	103-90-2	Acetaminophen results in increased expression of GHR protein	increases^expression	1	1
Acetaminophen	D000082	103-90-2	GHR gene mutant form results in increased susceptibility to Acetaminophen	increases^response to substance	1	1
Acetaminophen	D000082	103-90-2	GHR protein affects the susceptibility to Acetaminophen	affects^response to substance	1	1
Acetaminophen	D000082	103-90-2	N-(2-(4-(2-methoxyphenyl)-1-piperazinyl)ethyl)-N-(2-pyridinyl)cyclohexanecarboxamide inhibits the reaction [Acetaminophen results in increased expression of GHR mRNA]	decreases^reaction|increases^expression	1	1
Acrylamide	D020106	79-06-1	Acrylamide results in decreased expression of GHR mRNA	decreases^expression	1	1
Aflatoxin B1	D016604	1162-65-8	Aflatoxin B1 affects the expression of GHR protein	affects^expression	1	1
Aflatoxin B1	D016604	1162-65-8	Aflatoxin B1 results in decreased expression of GHR mRNA	decreases^expression	3	2
Aflatoxin B1	D016604	1162-65-8	Aflatoxin B1 results in decreased methylation of GHR gene	decreases^methylation	1	1
Aflatoxin B1	D016604	1162-65-8	Aflatoxin B1 results in increased methylation of GHR intron	increases^methylation	1	1
Air Pollutants	D000393		[Air Pollutants results in increased abundance of [Ozone co-treated with Soot]] which results in decreased expression of GHR mRNA	affects^cotreatment|decreases^expression|increases^abundance	1	1
Air Pollutants	D000393		[Air Pollutants results in increased abundance of Ozone] which results in decreased expression of GHR mRNA	decreases^expression|increases^abundance	1	1
alpha-Chlorohydrin	D000517	96-24-2	alpha-Chlorohydrin results in increased expression of GHR mRNA	increases^expression	1	1
Amitrole	D000640	61-82-5	Amitrole results in decreased expression of GHR mRNA	decreases^expression	1	1
Ammonium Chloride	D000643	12125-02-9	Ammonium Chloride affects the expression of GHR mRNA	affects^expression	1	1
Ammonium Chloride	D000643	12125-02-9	Ammonium Chloride results in decreased expression of GHR mRNA	decreases^expression	1	1
arsenite	C015001	15502-74-6	arsenite results in decreased expression of GHR mRNA	decreases^expression	1	1
Asbestos, Crocidolite	D017638	12001-28-4	Asbestos, Crocidolite results in decreased expression of GHR mRNA	decreases^expression	2	2
Asbestos, Serpentine	D017632		Asbestos, Serpentine results in increased expression of GHR mRNA	increases^expression	1	1
Atrazine	D001280	1912-24-9	Atrazine affects the methylation of GHR gene	affects^methylation	1	1
AZM551248	C547126		AZM551248 results in decreased expression of GHR mRNA	decreases^expression	1	1
Bacitracin	D001414	1405-87-4	Bacitracin affects the expression of GHR mRNA	affects^expression	1	1
Benzo(a)pyrene	D001564	50-32-8	Benzo(a)pyrene affects the methylation of GHR 5' UTR	affects^methylation	1	1
Benzo(a)pyrene	D001564	50-32-8	Benzo(a)pyrene results in decreased expression of GHR mRNA	decreases^expression	3	2
Benzo(a)pyrene	D001564	50-32-8	Benzo(a)pyrene results in increased expression of GHR mRNA	increases^expression	1	1
Benzo(a)pyrene	D001564	50-32-8	Benzo(a)pyrene results in increased methylation of GHR promoter	increases^methylation	1	1
bis(4-hydroxyphenyl)sulfone	C543008	80-09-1	[bis(4-hydroxyphenyl)sulfone co-treated with Tretinoin] results in decreased expression of GHR mRNA	affects^cotreatment|decreases^expression	1	1
bis(4-hydroxyphenyl)sulfone	C543008	80-09-1	bis(4-hydroxyphenyl)sulfone results in increased expression of GHR mRNA	increases^expression	1	1
bismuth tripotassium dicitrate	C002791	57644-54-9	bismuth tripotassium dicitrate results in decreased expression of GHR mRNA	decreases^expression	1	1
bisphenol A	C006780	80-05-7	bisphenol A affects the expression of GHR mRNA	affects^expression	1	1
bisphenol A	C006780	80-05-7	[bisphenol A co-treated with GH1 protein] results in increased activity of GHR protein	affects^cotreatment|increases^activity	1	1
bisphenol A	C006780	80-05-7	bisphenol A results in decreased expression of GHR mRNA	decreases^expression	4	2
bisphenol A	C006780	80-05-7	bisphenol A results in decreased methylation of GHR gene	decreases^methylation	1	1
bisphenol A	C006780	80-05-7	bisphenol A results in increased expression of GHR mRNA	increases^expression	3	2
bisphenol A	C006780	80-05-7	ESR1 protein inhibits the reaction [[bisphenol A co-treated with GH1 protein] results in increased activity of GHR protein]	affects^cotreatment|decreases^reaction|increases^activity	1	1
bisphenol F	C000611646		bisphenol F results in increased expression of GHR mRNA	increases^expression	1	1
Bortezomib	D000069286		Bortezomib results in increased expression of GHR mRNA	increases^expression	1	1
Buspirone	D002065	36505-84-7	Buspirone results in decreased expression of GHR mRNA	decreases^expression	1	1
butylbenzyl phthalate	C027561	85-68-7	butylbenzyl phthalate results in increased expression of GHR mRNA	increases^expression	1	1
Cadmium	D002104	7440-43-9	GHR gene mutant form results in decreased susceptibility to Cadmium	decreases^response to substance	1	1
Cadmium Chloride	D019256	10108-64-2	Cadmium Chloride affects the expression of GHR mRNA	affects^expression	1	1
caffeic acid phenethyl ester	C055494	104594-70-9	[Diethylnitrosamine co-treated with caffeic acid phenethyl ester] results in increased expression of GHR mRNA	affects^cotreatment|increases^expression	1	1
Calcitriol	D002117	32222-06-3	[Calcium co-treated with Calcitriol] affects the expression of GHR mRNA	affects^cotreatment|affects^expression	1	1
Calcium	D002118	7440-70-2	Calcium affects the expression of GHR mRNA	affects^expression	1	1
Calcium	D002118	7440-70-2	[Calcium co-treated with Calcitriol] affects the expression of GHR mRNA	affects^cotreatment|affects^expression	1	1
Capsaicin	D002211	404-86-4	Capsaicin results in increased expression of GHR protein	increases^expression	1	1
Capsaicin	D002211	404-86-4	[Naproxen co-treated with Sumatriptan] inhibits the reaction [Capsaicin results in increased expression of GHR protein]	affects^cotreatment|decreases^reaction|increases^expression	1	1
Capsaicin	D002211	404-86-4	Naproxen inhibits the reaction [Capsaicin results in increased expression of GHR protein]	decreases^reaction|increases^expression	1	1
Capsaicin	D002211	404-86-4	Sumatriptan inhibits the reaction [Capsaicin results in increased expression of GHR protein]	decreases^reaction|increases^expression	1	1
Carbon Tetrachloride	D002251	56-23-5	Carbon Tetrachloride affects the expression of GHR mRNA	affects^expression	1	1
Carbon Tetrachloride	D002251	56-23-5	Carbon Tetrachloride results in decreased expression of GHR mRNA	decreases^expression	3	2
Cellulose	D002482	9004-34-6	[perfluorooctane sulfonic acid co-treated with Cellulose] results in decreased expression of GHR mRNA	affects^cotreatment|decreases^expression	1	1
CGP 52608	C092451	87958-67-6	CGP 52608 promotes the reaction [RORA protein binds to GHR gene]	affects^binding|increases^reaction	1	1
Chelating Agents	D002614		[Chelating Agents binds to Copper] which results in decreased expression of GHR mRNA	affects^binding|decreases^expression	1	1
Chlorine	D002713	7782-50-5	Chlorine results in decreased expression of GHR mRNA	decreases^expression	1	1
Chlorine	D002713	7782-50-5	[Ozone co-treated with Chlorine] affects the expression of GHR mRNA	affects^cotreatment|affects^expression	1	1
Chlormequat	D002716	999-81-5	Chlormequat results in decreased expression of GHR mRNA	decreases^expression	1	1
Chlorodiphenyl (54% Chlorine)	D020111	11097-69-1	Chlorodiphenyl (54% Chlorine) results in decreased expression of GHR mRNA	decreases^expression	1	1
Choline	D002794	62-49-7	[Methionine deficiency co-treated with Choline deficiency co-treated with Folic Acid deficiency] results in decreased expression of GHR mRNA	affects^cotreatment|decreases^expression	1	1
Ciguatoxins	D002922	11050-21-8	Ciguatoxins affects the expression of GHR mRNA	affects^expression	1	1
Cisplatin	D002945	15663-27-1	Cisplatin results in decreased expression of GHR mRNA	decreases^expression	1	1
Cisplatin	D002945	15663-27-1	Cisplatin results in increased expression of GHR mRNA	increases^expression	1	1
