Chemical Name	Chemical ID	CAS RN	Interaction	Interaction Actions	Reference Count	Organism Count
1,2-Dimethylhydrazine	D019813	540-73-8	1,2-Dimethylhydrazine affects the expression of ITGA3 mRNA	affects^expression	1	1
1,2-Dimethylhydrazine	D019813	540-73-8	1,2-Dimethylhydrazine results in increased expression of ITGA3 mRNA	increases^expression	1	1
1-Methyl-3-isobutylxanthine	D015056	28822-58-4	[INS protein co-treated with Dexamethasone co-treated with 1-Methyl-3-isobutylxanthine co-treated with Indomethacin co-treated with bisphenol A] results in decreased expression of ITGA3 mRNA	affects^cotreatment|decreases^expression	1	1
1-Methyl-4-phenylpyridinium	D015655	48134-75-4	1-Methyl-4-phenylpyridinium results in increased expression of ITGA3 mRNA	increases^expression	1	1
1-Naphthylisothiocyanate	D015058	551-06-4	1-Naphthylisothiocyanate results in increased expression of ITGA3 mRNA	increases^expression	1	1
4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide	C459179		[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of ITGA3 mRNA	affects^cotreatment|increases^expression	1	1
Acetaminophen	D000082	103-90-2	Acetaminophen results in increased expression of ITGA3 mRNA	increases^expression	2	1
Acrolein	D000171	107-02-8	[Acrolein co-treated with methacrylaldehyde co-treated with alpha-pinene co-treated with Ozone] results in decreased expression of ITGA3 mRNA	affects^cotreatment|decreases^expression	1	1
Acrolein	D000171	107-02-8	[Air Pollutants results in increased abundance of [Acrolein co-treated with methacrylaldehyde co-treated with alpha-pinene co-treated with Ozone]] which results in decreased expression of ITGA3 mRNA	affects^cotreatment|decreases^expression|increases^abundance	1	1
Acrylamide	D020106	79-06-1	Acrylamide results in decreased expression of ITGA3 mRNA	decreases^expression	1	1
Aflatoxin B1	D016604	1162-65-8	Aflatoxin B1 affects the expression of ITGA3 protein	affects^expression	1	1
Aflatoxin B1	D016604	1162-65-8	Aflatoxin B1 results in decreased methylation of ITGA3 intron	decreases^methylation	1	1
Aflatoxin B1	D016604	1162-65-8	Aflatoxin B1 results in increased expression of ITGA3 mRNA	increases^expression	2	1
Air Pollutants	D000393		Air Pollutants analog results in increased expression of ITGA3 mRNA	increases^expression	1	1
Air Pollutants	D000393		[Air Pollutants results in increased abundance of [Acrolein co-treated with methacrylaldehyde co-treated with alpha-pinene co-treated with Ozone]] which results in decreased expression of ITGA3 mRNA	affects^cotreatment|decreases^expression|increases^abundance	1	1
Air Pollutants	D000393		[Air Pollutants results in increased abundance of Particulate Matter] which results in increased expression of ITGA3 mRNA	increases^abundance|increases^expression	1	1
alpha-pinene	C005451	80-56-8	[Acrolein co-treated with methacrylaldehyde co-treated with alpha-pinene co-treated with Ozone] results in decreased expression of ITGA3 mRNA	affects^cotreatment|decreases^expression	1	1
