Chemical Name	Chemical ID	CAS RN	Interaction	Interaction Actions	Reference Count	Organism Count
1,2-Dimethylhydrazine	D019813	540-73-8	1,2-Dimethylhydrazine results in decreased expression of PRLR mRNA	decreases^expression	1	1
14-deoxy-11,12-didehydroandrographolide	C495626		14-deoxy-11,12-didehydroandrographolide results in increased expression of PRLR mRNA	increases^expression	1	1
17 alpha-Hydroxyprogesterone Caproate	D000077713		17 alpha-Hydroxyprogesterone Caproate results in increased expression of PRLR mRNA alternative form	increases^expression	1	1
1-Naphthylisothiocyanate	D015058	551-06-4	1-Naphthylisothiocyanate results in decreased expression of PRLR mRNA	decreases^expression	1	1
2-(1H-indazol-4-yl)-6-(4-methanesulfonylpiperazin-1-ylmethyl)-4-morpholin-4-ylthieno(3,2-d)pyrimidine	C532162		[PIK3CA gene mutant form results in increased susceptibility to 2-(1H-indazol-4-yl)-6-(4-methanesulfonylpiperazin-1-ylmethyl)-4-morpholin-4-ylthieno(3,2-d)pyrimidine] which results in increased expression of PRLR mRNA	increases^expression|increases^response to substance	1	1
2,2,5,7,8-pentamethyl-1-hydroxychroman	C029141	950-99-2	2,2,5,7,8-pentamethyl-1-hydroxychroman results in increased expression of PRLR mRNA	increases^expression	1	1
2,2-bis(4-hydroxyphenyl)-1,1,1-trichloroethane	C404910	2971-36-0	2,2-bis(4-hydroxyphenyl)-1,1,1-trichloroethane affects the reaction [FSHB protein affects the expression of PRLR mRNA]	affects^expression|affects^reaction	1	1
2',3,3',4',5-pentachloro-4-hydroxybiphenyl	C111118		2',3,3',4',5-pentachloro-4-hydroxybiphenyl results in decreased expression of PRLR mRNA	decreases^expression	1	1
2,3,7,8-tetrachlorodibenzofuran	C014211	51207-31-9	2,3,7,8-tetrachlorodibenzofuran results in decreased expression of PRLR mRNA	decreases^expression	1	1
2,4-dinitrotoluene	C016403	121-14-2	2,4-dinitrotoluene affects the expression of PRLR mRNA	affects^expression	1	1
3,4,3',4'-tetrachlorobiphenyl	C028451		3,4,3',4'-tetrachlorobiphenyl inhibits the reaction [Dietary Fats results in increased expression of PRLR mRNA]	decreases^reaction|increases^expression	1	1
3,4,5,3',4'-pentachlorobiphenyl	C023035	57465-28-8	3,4,5,3',4'-pentachlorobiphenyl results in decreased expression of PRLR mRNA	decreases^expression	1	1
3-hydroxyacetanilide	C026137	621-42-1	3-hydroxyacetanilide results in decreased expression of PRLR mRNA	decreases^expression	1	1
4-(2-bromo-6-pyrrolidin-1-ylpyridine-4-sulfonyl)phenylamine	C473484		4-(2-bromo-6-pyrrolidin-1-ylpyridine-4-sulfonyl)phenylamine results in increased expression of PRLR mRNA	increases^expression	1	1
4,4'-diaminodiphenylmethane	C009505	101-77-9	4,4'-diaminodiphenylmethane results in decreased expression of PRLR mRNA	decreases^expression	1	1
acetamide	C030686	60-35-5	acetamide results in decreased expression of PRLR mRNA	decreases^expression	1	1
Acetaminophen	D000082	103-90-2	Acetaminophen affects the expression of PRLR mRNA	affects^expression	1	1
Acetaminophen	D000082	103-90-2	Acetaminophen results in decreased expression of PRLR mRNA	decreases^expression	2	2
Acetylcysteine	D000111	616-91-1	Acetylcysteine inhibits the reaction [[indole-3-carbinol co-treated with Diethylnitrosamine] results in increased expression of PRLR mRNA]	affects^cotreatment|decreases^reaction|increases^expression	1	1
